method,target,theta_deg,success,depth,axis_err_deg,lateral_mm
target,diagonal_early,-5.0,False,0.1239,0.607,3.518
no_adapt,diagonal_early,5.0,True,0.0704,5.078,0.483
rigid,diagonal_early,5.0,True,0.0705,2.126,1.639
source,diagonal_early,5.0,True,0.0708,1.435,1.688
target,diagonal_early,5.0,True,0.0707,0.789,1.716
no_adapt,diagonal_early,-10.0,False,0.0942,0.784,15.287
rigid,diagonal_early,-10.0,True,0.0711,1.896,1.986
source,diagonal_early,-10.0,True,0.0711,1.009,1.929
target,diagonal_early,-10.0,True,0.0713,1.117,1.976
no_adapt,diagonal_early,10.0,True,0.0709,0.191,1.542
rigid,diagonal_early,10.0,True,0.0712,2.946,1.829
source,diagonal_early,10.0,True,0.0704,0.875,1.702
target,diagonal_early,10.0,True,0.0718,1.847,1.723
no_adapt,diagonal_late,-5.0,False,0.0941,0.491,19.992
rigid,diagonal_late,-5.0,True,0.0713,1.728,1.596
source,diagonal_late,-5.0,False,0.1243,0.079,3.805
target,diagonal_late,-5.0,True,0.0708,0.472,1.809
no_adapt,diagonal_late,5.0,True,0.0707,3.767,2.362
rigid,diagonal_late,5.0,True,0.0708,1.618,1.549
source,diagonal_late,5.0,True,0.0708,1.617,1.549
target,diagonal_late,5.0,True,0.0707,1.927,1.631
no_adapt,diagonal_late,-10.0,False,0.0941,0.682,19.908
rigid,diagonal_late,-10.0,True,0.0711,0.331,1.821
source,diagonal_late,-10.0,True,0.0712,0.457,1.888
target,diagonal_late,-10.0,True,0.0712,0.548,1.912
no_adapt,diagonal_late,10.0,True,0.0719,3.410,0.921
rigid,diagonal_late,10.0,True,0.0714,0.442,1.847
source,diagonal_late,10.0,True,0.0713,0.414,1.800
target,diagonal_late,10.0,True,0.0712,0.631,1.835
no_adapt,diagonal_late,-5.0,False,0.0944,1.684,19.134
rigid,diagonal_late,-5.0,True,0.0711,0.318,1.589
source,diagonal_late,-5.0,True,0.0711,0.330,1.593
target,diagonal_late,-5.0,True,0.0711,0.305,1.581
no_adapt,diagonal_late,5.0,True,0.0715,3.046,1.387
rigid,diagonal_late,5.0,True,0.0705,0.568,1.558
source,diagonal_late,5.0,True,0.0703,0.274,1.501
target,diagonal_late,5.0,True,0.0704,0.304,1.463
no_adapt,diagonal_late,-10.0,False,0.0942,0.831,19.474
rigid,diagonal_late,-10.0,True,0.0717,0.368,1.679
source,diagonal_late,-10.0,True,0.0714,0.261,1.805
target,diagonal_late,-10.0,True,0.0716,0.316,1.675
no_adapt,diagonal_late,10.0,True,0.0719,4.967,1.205
rigid,diagonal_late,10.0,True,0.0697,2.121,1.424
source,diagonal_late,10.0,True,0.0716,0.318,1.608
target,diagonal_late,10.0,True,0.0716,0.355,1.645
no_adapt,diagonal_late,-5.0,False,0.0942,0.986,19.537
rigid,diagonal_late,-5.0,True,0.0706,0.261,1.656
source,diagonal_late,-5.0,True,0.0710,0.375,1.768
target,diagonal_late,-5.0,False,0.1221,0.330,3.655
no_adapt,diagonal_late,5.0,True,0.0715,8.128,2.636
rigid,diagonal_late,5.0,True,0.0718,1.569,1.963
source,diagonal_late,5.0,True,0.0715,0.242,1.745
target,diagonal_late,5.0,True,0.0707,0.193,1.708
no_adapt,diagonal_late,-10.0,False,0.0942,0.913,18.237
rigid,diagonal_late,-10.0,True,0.0711,0.264,1.748
source,diagonal_late,-10.0,True,0.0715,0.594,1.921
target,diagonal_late,-10.0,True,0.0711,0.296,1.751
no_adapt,diagonal_late,10.0,True,0.0616,8.353,0.626
rigid,diagonal_late,10.0,True,0.0711,1.198,1.767
source,diagonal_late,10.0,True,0.0711,0.153,1.634
target,diagonal_late,10.0,True,0.0716,0.180,1.852
no_adapt,diagonal_late,-5.0,False,0.0940,0.419,13.780
rigid,diagonal_late,-5.0,True,0.0713,1.314,1.615
source,diagonal_late,-5.0,True,0.0713,0.625,1.584
target,diagonal_late,-5.0,True,0.0713,1.966,1.409
no_adapt,diagonal_late,5.0,True,0.0716,4.511,2.098
rigid,diagonal_late,5.0,True,0.0715,0.388,1.281
source,diagonal_late,5.0,True,0.0712,0.691,1.138
target,diagonal_late,5.0,True,0.0702,1.291,1.131
no_adapt,diagonal_late,-10.0,False,0.0942,0.698,18.096
rigid,diagonal_late,-10.0,True,0.0718,0.201,1.679
source,diagonal_late,-10.0,True,0.0716,0.624,1.703
target,diagonal_late,-10.0,True,0.0711,0.705,1.250
no_adapt,diagonal_late,10.0,True,0.0714,3.252,1.057
rigid,diagonal_late,10.0,True,0.0719,1.915,1.261
source,diagonal_late,10.0,True,0.0709,1.980,1.615
target,diagonal_late,10.0,True,0.0711,0.402,1.492
no_adapt,diagonal_late,-5.0,False,0.0940,0.242,20.560
rigid,diagonal_late,-5.0,True,0.0716,0.080,2.026
source,diagonal_late,-5.0,True,0.0708,0.734,1.834
target,diagonal_late,-5.0,True,0.0715,1.196,1.927
no_adapt,diagonal_late,5.0,True,0.0718,2.188,1.290
rigid,diagonal_late,5.0,True,0.0713,0.736,1.884
source,diagonal_late,5.0,True,0.0716,0.204,2.004
target,diagonal_late,5.0,True,0.0715,0.468,1.835
no_adapt,diagonal_late,-10.0,False,0.0941,0.652,16.469
rigid,diagonal_late,-10.0,False,0.1239,0.930,4.007
source,diagonal_late,-10.0,True,0.0716,0.178,2.035
target,diagonal_late,-10.0,True,0.0717,0.638,2.058
no_adapt,diagonal_late,10.0,True,0.0685,8.033,1.023
rigid,diagonal_late,10.0,True,0.0718,1.310,1.698
source,diagonal_late,10.0,True,0.0716,0.680,1.838
target,diagonal_late,10.0,True,0.0717,0.338,2.015
