mode_id,block_id,pitch_deg,success_terminal,terminal_depth,terminal_lateral,E1,E2,E3,n_steps
lift_early,0,5.0,True,0.0692,0.0021,279,372,380,381
diagonal_late,0,-2.5,True,0.0692,0.0021,251,327,336,337
diagonal_late,1,-2.5,True,0.0714,0.0020,248,321,329,330
diagonal_late,2,-2.5,True,0.0692,0.0021,250,328,337,338
diagonal_late,3,-2.5,True,0.0690,0.0021,250,328,336,338
diagonal_late,4,-2.5,True,0.0689,0.0020,251,327,336,337
diagonal_late,0,2.5,True,0.0705,0.0021,251,328,336,337
diagonal_late,1,2.5,True,0.0707,0.0021,249,324,332,333
diagonal_late,2,2.5,True,0.0706,0.0020,251,328,336,337
diagonal_late,3,2.5,True,0.0706,0.0021,251,328,336,337
diagonal_late,4,2.5,True,0.0705,0.0021,251,328,336,337
lift_early,1,5.0,True,0.0719,0.0018,276,362,370,371
diagonal_late,0,-5.0,True,0.0701,0.0021,250,331,340,341
diagonal_late,1,-5.0,True,0.0701,0.0020,247,327,336,337
diagonal_late,2,-5.0,True,0.0700,0.0021,249,333,342,343
diagonal_late,3,-5.0,True,0.0707,0.0020,250,333,341,342
diagonal_late,4,-5.0,True,0.0699,0.0020,250,331,340,341
diagonal_late,0,5.0,True,0.0702,0.0021,252,335,343,344
diagonal_late,1,5.0,True,0.0701,0.0021,249,331,339,340
diagonal_late,2,5.0,True,0.0701,0.0021,251,334,342,343
diagonal_late,3,5.0,True,0.0702,0.0021,252,335,343,344
diagonal_late,4,5.0,True,0.0700,0.0021,252,335,343,344
lift_early,2,5.0,True,0.0712,0.0014,279,375,383,384
diagonal_late,0,-7.5,True,0.0702,0.0021,250,341,350,351
diagonal_late,1,-7.5,True,0.0712,0.0021,247,337,346,347
diagonal_late,2,-7.5,True,0.0701,0.0021,249,343,352,353
diagonal_late,3,-7.5,True,0.0706,0.0021,250,343,352,353
diagonal_late,4,-7.5,True,0.0701,0.0021,250,341,350,351
diagonal_late,0,7.5,True,0.0709,0.0013,252,343,352,353
diagonal_late,1,7.5,True,0.0702,0.0020,250,347,355,356
diagonal_late,2,7.5,True,0.0718,0.0021,252,344,351,352
diagonal_late,3,7.5,True,0.0716,0.0021,252,342,349,350
diagonal_late,4,7.5,True,0.0685,0.0021,252,344,351,353
lift_early,3,5.0,True,0.0696,0.0021,280,377,385,386
diagonal_late,0,-10.0,True,0.0694,0.0020,250,338,348,349
diagonal_late,1,-10.0,True,0.0695,0.0020,247,335,344,345
diagonal_late,2,-10.0,True,0.0690,0.0020,249,339,348,350
diagonal_late,3,-10.0,True,0.0715,0.0019,250,339,348,349
diagonal_late,4,-10.0,True,0.0714,0.0020,250,338,347,348
diagonal_late,0,10.0,True,0.0708,0.0020,252,351,359,360
diagonal_late,1,10.0,True,0.0712,0.0019,251,342,350,351
diagonal_late,2,10.0,True,0.0691,0.0021,253,344,352,353
diagonal_late,3,10.0,True,0.0697,0.0020,250,347,355,356
diagonal_late,4,10.0,True,0.0704,0.0018,252,351,359,360
lift_early,4,5.0,True,0.0699,0.0021,280,375,383,384
diagonal_late,0,-12.5,True,0.0697,0.0021,250,343,352,353
diagonal_late,1,-12.5,True,0.0711,0.0021,247,340,349,350
diagonal_late,2,-12.5,True,0.0698,0.0020,250,344,353,354
diagonal_late,3,-12.5,True,0.0703,0.0017,250,344,354,355
diagonal_late,4,-12.5,True,0.0708,0.0020,250,343,352,353
diagonal_late,0,12.5,True,0.0687,0.0020,253,344,352,353
diagonal_late,1,12.5,True,0.0717,0.0021,253,346,353,354
diagonal_late,2,12.5,True,0.0685,0.0021,253,345,353,354
diagonal_late,3,12.5,True,0.0696,0.0020,253,356,364,365
diagonal_late,4,12.5,True,0.0688,0.0020,253,344,352,353
lift_early,0,-7.5,True,0.0703,0.0020,280,362,371,372
diagonal_late,0,-15.0,True,0.0702,0.0021,250,350,360,361
diagonal_late,1,-15.0,True,0.0714,0.0021,247,349,359,360
diagonal_late,2,-15.0,True,0.0717,0.0021,250,351,360,361
diagonal_late,3,-15.0,True,0.0700,0.0018,250,351,361,362
diagonal_late,4,-15.0,True,0.0700,0.0021,250,349,359,360
diagonal_late,0,15.0,True,0.0710,0.0021,254,344,352,353
diagonal_late,1,15.0,True,0.0705,0.0021,253,349,357,358
diagonal_late,2,15.0,True,0.0686,0.0021,254,346,354,355
diagonal_late,3,15.0,True,0.0686,0.0020,254,351,359,360
diagonal_late,4,15.0,True,0.0690,0.0020,254,345,353,354
lift_early,1,-7.5,True,0.0719,0.0013,275,358,368,369
lift_early,2,-7.5,True,0.0700,0.0020,278,359,368,369
lift_early,3,-7.5,True,0.0705,0.0018,279,361,370,371
lift_early,4,-7.5,True,0.0707,0.0020,280,362,371,372
lift_early,3,0.0,True,0.0710,0.0020,279,350,358,359
lift_early,0,7.5,True,0.0685,0.0021,280,379,387,388
lift_early,1,7.5,True,0.0689,0.0017,277,363,372,373
lift_early,2,7.5,True,0.0719,0.0005,279,368,377,378
lift_early,3,7.5,True,0.0683,0.0021,280,368,375,377
lift_early,4,7.5,True,0.0703,0.0014,280,379,387,388
lift_early,0,-10.0,True,0.0717,0.0021,279,366,375,376
lift_early,1,-10.0,True,0.0703,0.0019,275,370,380,381
lift_early,2,-10.0,True,0.0691,0.0020,278,368,377,379
lift_early,3,-10.0,True,0.0708,0.0016,279,374,384,385
lift_early,4,-10.0,True,0.0715,0.0012,279,371,381,382
lift_early,4,0.0,True,0.0711,0.0020,280,353,361,362
lift_early,0,10.0,True,0.0688,0.0021,280,374,382,383
lift_early,1,10.0,True,0.0701,0.0021,277,376,384,385
lift_early,2,10.0,True,0.0704,0.0018,280,373,381,382
lift_early,3,10.0,True,0.0693,0.0003,280,375,385,386
lift_early,4,10.0,True,0.0690,0.0018,280,380,388,389
lift_early,0,-12.5,True,0.0718,0.0022,279,384,393,394
lift_early,1,-12.5,True,0.0710,0.0016,275,372,382,383
lift_early,2,-12.5,True,0.0702,0.0020,279,384,393,394
lift_early,3,-12.5,True,0.0709,0.0019,279,385,394,395
lift_early,4,-12.5,True,0.0710,0.0016,279,378,388,389
lift_early,0,-2.5,True,0.0704,0.0021,280,351,359,360
lift_early,0,12.5,True,0.0710,0.0021,281,376,384,385
lift_early,1,12.5,True,0.0705,0.0015,278,371,380,381
lift_early,2,12.5,True,0.0708,0.0021,280,376,384,385
lift_early,3,12.5,True,0.0713,0.0020,280,376,384,385
lift_early,4,12.5,True,0.0711,0.0019,281,374,382,383
lift_early,0,-15.0,True,0.0710,0.0017,279,377,387,388
lift_early,1,-15.0,True,0.0718,0.0020,275,382,393,394
lift_early,2,-15.0,True,0.0708,0.0022,279,385,395,396
lift_early,3,-15.0,True,0.0698,0.0021,278,378,388,389
lift_early,4,-15.0,True,0.0695,0.0017,279,377,388,389
lift_early,1,-2.5,True,0.0698,0.0021,275,347,356,357
lift_early,0,15.0,True,0.0711,0.0016,282,387,395,396
lift_early,1,15.0,True,0.0704,0.0020,279,376,384,385
lift_early,2,15.0,True,0.0692,0.0018,280,381,390,391
lift_early,3,15.0,True,0.0706,0.0018,282,386,394,395
lift_early,4,15.0,True,0.0712,0.0021,282,385,393,394
lift_late,0,0.0,True,0.0714,0.0021,280,348,356,357
lift_late,1,0.0,True,0.0714,0.0020,275,339,347,348
lift_late,2,0.0,True,0.0697,0.0020,279,339,348,349
lift_late,3,0.0,True,0.0704,0.0020,279,347,355,356
lift_late,4,0.0,True,0.0700,0.0020,280,340,349,350
lift_early,2,-2.5,True,0.0698,0.0019,279,350,359,360
lift_late,0,-2.5,True,0.0696,0.0020,280,348,357,358
lift_late,1,-2.5,True,0.0706,0.0020,275,347,356,357
lift_late,2,-2.5,True,0.0693,0.0021,279,355,364,365
lift_late,3,-2.5,True,0.0691,0.0021,279,355,364,365
lift_late,4,-2.5,True,0.0710,0.0020,280,356,364,365
lift_late,0,2.5,True,0.0712,0.0021,279,347,355,356
lift_late,1,2.5,True,0.0713,0.0020,276,352,360,361
lift_late,2,2.5,True,0.0705,0.0021,279,347,355,356
lift_late,3,2.5,True,0.0693,0.0020,279,355,364,365
lift_late,4,2.5,True,0.0706,0.0021,279,346,354,355
