domain,condition,dataset,episode,seed,source,radius_mm,status,grip_frame,apex_frame,near_target_frame,terminal_frame,grip_to_apex_s,apex_to_near_s,near_to_terminal_s,lift_height_m,terminal_x_m,terminal_y_m,terminal_z_m,near_frame_solver_phase,apex_frame_solver_phase
real,upright,insert_jc_fix_3,23,-1,/home/rocos/sia/maniskill_spectrum/real_relation_consistency/fk_results/trajectories/insert_jc_fix_3_023.npz,40.0,ok,156,223,269,474,2.2333333333333334,1.5333333333333334,6.833333333333333,0.07266567019825731,0.5143527005157086,0.11293055479539313,0.13900811177704114,,
real,upright,insert_jc_fix_3,24,-1,/home/rocos/sia/maniskill_spectrum/real_relation_consistency/fk_results/trajectories/insert_jc_fix_3_024.npz,40.0,ok,133,192,220,417,1.9666666666666666,0.9333333333333333,6.566666666666666,0.07804644532262583,0.5151602471589509,0.10967601951147986,0.14234085035008898,,
real,upright,insert_jc_fix_3,25,-1,/home/rocos/sia/maniskill_spectrum/real_relation_consistency/fk_results/trajectories/insert_jc_fix_3_025.npz,40.0,ok,132,198,230,449,2.2,1.0666666666666667,7.3,0.09702286874548408,0.5133097229270621,0.11140566958121419,0.1380740755474492,,
real,upright,insert_jc_fix_3,26,-1,/home/rocos/sia/maniskill_spectrum/real_relation_consistency/fk_results/trajectories/insert_jc_fix_3_026.npz,40.0,ok,143,208,233,430,2.1666666666666665,0.8333333333333334,6.566666666666666,0.10663950581757767,0.5105068552561789,0.10685764412126171,0.14070073230685146,,
real,upright,insert_jc_fix_3,27,-1,/home/rocos/sia/maniskill_spectrum/real_relation_consistency/fk_results/trajectories/insert_jc_fix_3_027.npz,40.0,ok,198,268,301,498,2.3333333333333335,1.1,6.566666666666666,0.09217388640557125,0.512354458133383,0.10987242557504628,0.14027501702379058,,
real,upright,insert_jc_fix_3,28,-1,/home/rocos/sia/maniskill_spectrum/real_relation_consistency/fk_results/trajectories/insert_jc_fix_3_028.npz,40.0,ok,185,253,277,461,2.2666666666666666,0.8,6.133333333333334,0.08714532958725632,0.5197199744399155,0.10964430074516004,0.14163102537050273,,
real,upright,insert_jc_fix_3,29,-1,/home/rocos/sia/maniskill_spectrum/real_relation_consistency/fk_results/trajectories/insert_jc_fix_3_029.npz,40.0,ok,176,247,276,462,2.3666666666666667,0.9666666666666667,6.2,0.08252494940968022,0.5145538062010898,0.10809043231113453,0.14485038879744924,,
real,upright,insert_jc_fix_3,30,-1,/home/rocos/sia/maniskill_spectrum/real_relation_consistency/fk_results/trajectories/insert_jc_fix_3_030.npz,40.0,ok,189,243,292,474,1.8,1.6333333333333333,6.066666666666666,0.11966434349542845,0.5163546337162379,0.11475658103104883,0.14312329005302088,,
real,upright,insert_jc_fix_3,31,-1,/home/rocos/sia/maniskill_spectrum/real_relation_consistency/fk_results/trajectories/insert_jc_fix_3_031.npz,40.0,ok,141,186,232,428,1.5,1.5333333333333334,6.533333333333333,0.08540926369120458,0.5123375430878767,0.11368860746737294,0.1444680227171929,,
real,upright,insert_jc_fix_3,32,-1,/home/rocos/sia/maniskill_spectrum/real_relation_consistency/fk_results/trajectories/insert_jc_fix_3_032.npz,40.0,ok,173,253,296,463,2.6666666666666665,1.4333333333333333,5.566666666666666,0.1358235007730514,0.5102896386372813,0.10628267716369437,0.1400647288298545,,
real,upright,insert_jc_fix_3,33,-1,/home/rocos/sia/maniskill_spectrum/real_relation_consistency/fk_results/trajectories/insert_jc_fix_3_033.npz,40.0,ok,135,195,229,421,2.0,1.1333333333333333,6.4,0.06414370878867082,0.5123638050409931,0.10988602787655585,0.13822934737786002,,
real,upright,insert_jc_fix_3,34,-1,/home/rocos/sia/maniskill_spectrum/real_relation_consistency/fk_results/trajectories/insert_jc_fix_3_034.npz,40.0,ok,140,213,244,448,2.433333333333333,1.0333333333333334,6.8,0.07483793055145857,0.5161731498970539,0.1137504020166784,0.14119050361911387,,
real,upright,insert_jc_fix_3,35,-1,/home/rocos/sia/maniskill_spectrum/real_relation_consistency/fk_results/trajectories/insert_jc_fix_3_035.npz,40.0,ok,254,359,395,626,3.5,1.2,7.7,0.08343669286031624,0.5140034531713463,0.10978096991653881,0.13935205766071462,,
real,upright,insert_jc_fix_3,36,-1,/home/rocos/sia/maniskill_spectrum/real_relation_consistency/fk_results/trajectories/insert_jc_fix_3_036.npz,40.0,ok,136,223,274,415,2.9,1.7,4.7,0.10961263592085649,0.5132766243769391,0.11206729623092135,0.13880500112338504,,
real,upright,insert_jc_fix_3,37,-1,/home/rocos/sia/maniskill_spectrum/real_relation_consistency/fk_results/trajectories/insert_jc_fix_3_037.npz,40.0,ok,160,253,311,478,3.1,1.9333333333333333,5.566666666666666,0.10679929919879153,0.5109660835610421,0.11394265931953103,0.1395405480052637,,
real,upright,insert_jc_fix_3,38,-1,/home/rocos/sia/maniskill_spectrum/real_relation_consistency/fk_results/trajectories/insert_jc_fix_3_038.npz,40.0,ok,151,238,266,445,2.9,0.9333333333333333,5.966666666666667,0.08169964260018991,0.5223162838154075,0.11604125671814405,0.1416954260813064,,
real,upright,insert_jc_fix_3,39,-1,/home/rocos/sia/maniskill_spectrum/real_relation_consistency/fk_results/trajectories/insert_jc_fix_3_039.npz,40.0,ok,216,316,384,536,3.3333333333333335,2.2666666666666666,5.066666666666666,0.10943200759906155,0.5163947689922351,0.11154136687329759,0.1413357158999879,,
real,upright,insert_jc_fix_3,40,-1,/home/rocos/sia/maniskill_spectrum/real_relation_consistency/fk_results/trajectories/insert_jc_fix_3_040.npz,40.0,ok,156,214,255,438,1.9333333333333333,1.3666666666666667,6.1,0.09363903668025142,0.5168922911957101,0.10887762388952835,0.14980885898008675,,
real,upright,insert_jc_fix_3,41,-1,/home/rocos/sia/maniskill_spectrum/real_relation_consistency/fk_results/trajectories/insert_jc_fix_3_041.npz,40.0,ok,167,239,286,452,2.4,1.5666666666666667,5.533333333333333,0.10112413723296595,0.518523253455923,0.11023708144017028,0.14551682117584092,,
real,upright,insert_jc_fix_3,42,-1,/home/rocos/sia/maniskill_spectrum/real_relation_consistency/fk_results/trajectories/insert_jc_fix_3_042.npz,40.0,ok,142,240,268,426,3.2666666666666666,0.9333333333333333,5.266666666666667,0.09284230181210151,0.5168856868430741,0.11147211045359415,0.13846471600674068,,
real,upright,insert_jc_fix_3,43,-1,/home/rocos/sia/maniskill_spectrum/real_relation_consistency/fk_results/trajectories/insert_jc_fix_3_043.npz,40.0,ok,199,273,330,515,2.466666666666667,1.9,6.166666666666667,0.10638287617755532,0.51341217650835,0.10619533867728578,0.14196913831253574,,
real,upright,insert_jc_fix_3,44,-1,/home/rocos/sia/maniskill_spectrum/real_relation_consistency/fk_results/trajectories/insert_jc_fix_3_044.npz,40.0,ok,179,241,298,468,2.066666666666667,1.9,5.666666666666667,0.06640591823646835,0.5178945440966525,0.11565495206009906,0.14395110233949324,,
real,upright,insert_jc_fix_3,45,-1,/home/rocos/sia/maniskill_spectrum/real_relation_consistency/fk_results/trajectories/insert_jc_fix_3_045.npz,40.0,ok,247,342,391,572,3.1666666666666665,1.6333333333333333,6.033333333333333,0.08253733681905492,0.5226600235858718,0.11953772759882073,0.14739011981011807,,
real,upright,insert_jc_fix_3,46,-1,/home/rocos/sia/maniskill_spectrum/real_relation_consistency/fk_results/trajectories/insert_jc_fix_3_046.npz,40.0,ok,202,280,345,523,2.6,2.1666666666666665,5.933333333333334,0.09543683583288418,0.5223867905173704,0.11727960388981044,0.14467663372456976,,
real,upright,insert_jc_fix_3,47,-1,/home/rocos/sia/maniskill_spectrum/real_relation_consistency/fk_results/trajectories/insert_jc_fix_3_047.npz,40.0,ok,231,318,398,792,2.9,2.6666666666666665,13.133333333333333,0.0903538138850227,0.5153373716385385,0.11502666891374025,0.14710976996494726,,
real,upright,insert_jc_fix_3,48,-1,/home/rocos/sia/maniskill_spectrum/real_relation_consistency/fk_results/trajectories/insert_jc_fix_3_048.npz,40.0,ok,203,300,343,630,3.2333333333333334,1.4333333333333333,9.566666666666666,0.08080147466686358,0.5205578903678365,0.11643287033814809,0.14530439422034033,,
real,upright,insert_jc_fix_3,49,-1,/home/rocos/sia/maniskill_spectrum/real_relation_consistency/fk_results/trajectories/insert_jc_fix_3_049.npz,40.0,ok,166,249,326,595,2.7666666666666666,2.566666666666667,8.966666666666667,0.11406401602241642,0.513116875860932,0.11447585440720841,0.14661294143279113,,
real,tilted,insert_10degree,0,-1,/home/rocos/sia/maniskill_spectrum/real_relation_consistency/fk_results/trajectories/insert_10degree_000.npz,40.0,ok,352,449,673,1031,3.2333333333333334,7.466666666666667,11.933333333333334,0.10612684632930108,0.515949710819029,0.10100636402677615,0.14295645956289568,,
real,tilted,insert_10degree,1,-1,/home/rocos/sia/maniskill_spectrum/real_relation_consistency/fk_results/trajectories/insert_10degree_001.npz,40.0,ok,335,391,500,986,1.8666666666666667,3.6333333333333333,16.2,0.06322075887569881,0.5164699181997436,0.09839258702337345,0.14348817707129777,,
