task,seed,subset_id,protocol,sample_size,repeat,model,fit_success,fit_error,fit_seconds,alpha_pre,alpha_post,e_alpha,delta_others_max,m4_correct,switch_detected,switch_status,switch_location,alpha_pre_du,alpha_pre_dv,alpha_pre_dw,alpha_pre_roll,alpha_pre_pitch,alpha_pre_yaw,delta_du,delta_dv,delta_dw,delta_roll,delta_pitch,delta_yaw
keyed,20260818,3,qualified,8,0,Pdiag finite (SE(3)),True,,25.26277236299984,0.8420201894751426,0.2888280812547594,0.10298387419859893,0.06989887846654552,True,True,detected,0.6091055736449277,0.6548197373973262,1.0276296084526266,0.7614241676193171,0.7912069994509153,0.8057739498606525,0.8420201894751425,-0.44310608880010227,0.06989887846654552,-0.23603217874455018,-0.19440393712611492,-0.2410031868674819,0.553192108220383
keyed,20260818,11,qualified,15,2,Frame-weighted (SE(3)),True,,0.006783472000279289,0.5581956829400396,0.6205520620894509,0.22773333912136973,-0.062356379149411056,False,False,right_censored,,0.5581956829400396,0.5581956829400396,0.5581956829400396,0.5581956829400396,0.5581956829400396,0.5581956829400396,-0.062356379149411056,-0.062356379149411056,-0.062356379149411056,-0.062356379149411056,-0.062356379149411056,-0.062356379149411056
keyed,20260818,11,qualified,15,2,Full operator (SE(3)),True,,0.0006774469998163113,0.8156237334954182,0.21521446830647137,0.08788745078131946,-0.12849871225436216,True,True,detected,0.6037289547256721,0.8119904031555627,0.7364419665474317,0.9490606076829127,0.7979379762400677,0.8322862216667319,0.8156237334954182,-0.18593641680289885,-0.2618829441771411,-0.12849871225436216,-0.2012047630647269,-0.16820075046843286,0.6004092651889468
keyed,20260818,11,qualified,15,2,Pdiag pointwise (SE(3)),True,,0.01684580700020888,0.8169512436734294,0.2115501461910461,0.23068973583547078,-0.15127113852019503,True,True,detected,0.6027087904892873,-0.07176809970424483,0.5064943817201297,0.9366888646049203,0.7959900928389171,0.8233636019906431,0.8169512436734295,-0.3849646806459891,-0.2728270182272525,-0.15127113852019503,-0.2022453225041403,-0.17743525440760044,0.6054010974823834
keyed,20260818,11,qualified,15,2,Pdiag finite (SE(3)),True,,29.40924885300001,0.7996127030354009,0.28390660171940235,0.10070661305659975,-0.15807308357391692,True,True,detected,0.6094187732575899,0.7772167338035075,0.6858001700621112,0.8338044511914374,0.7798759391590913,0.8138823399112398,0.7996127030354009,-0.20206678257720623,-0.26175361857996704,-0.15807308357391692,-0.18324252720987966,-0.20080907892859678,0.5157061013159985
keyed,20260818,8,random,15,2,Frame-weighted (SE(3)),True,,0.0027191310000489466,0.8708258765570797,0.8285932997837879,0.1372756017890175,0.04223257677329206,False,False,right_censored,,0.8708258765570798,0.8708258765570798,0.8708258765570798,0.8708258765570798,0.8708258765570798,0.8708258765570798,0.04223257677329206,0.04223257677329206,0.04223257677329206,0.04223257677329206,0.04223257677329206,0.04223257677329206
keyed,20260818,8,random,15,2,Full operator (SE(3)),True,,0.00034454299975550384,0.8126507289285059,0.2047316907490394,0.14656829861460752,-0.19885837780029514,True,True,detected,0.6004714254370552,0.714826772530415,0.6370673994009898,0.6350964681610742,0.8007773476002246,0.7720072935274348,0.8126507289285059,-0.28193680423596246,-0.3598198183601722,-0.41462042945314637,-0.19885837780029514,-0.226168294146037,0.6079190381794665
keyed,20260818,8,random,15,2,Pdiag pointwise (SE(3)),True,,0.005816072000015993,0.8164502106644806,0.20819768525743967,0.1340451608088355,-0.024123168287591645,True,True,detected,0.6018214233965699,1.2823168465375492,0.6538683469860155,0.993964230326532,0.7975470313951313,0.7687035277593516,0.8164502106644808,-0.14073099032212566,-0.2025324286731236,-0.024123168287591645,-0.20127350613074624,-0.22927337427693228,0.6082525254070412
keyed,20260818,8,random,15,2,Pdiag finite (SE(3)),True,,29.579549511000096,0.7663648849305987,0.27332294170062094,0.10074669033594483,-0.025248089960246523,False,True,detected,0.6061908690071265,0.7186976852966231,0.8364672238379116,0.9752241123748315,0.8678711505098231,0.7897699375090821,0.7663648849305988,-0.3399486750628089,-0.16977294162221201,-0.025248089960246523,-0.12438343349640513,-0.19828848004742128,0.49304194322997785
keyed,20270818,0,random,8,0,Frame-weighted (SE(3)),True,,0.006888742999763053,0.47379086881069477,0.48711241077937584,0.2919544330172962,-0.013321541968680961,False,True,detected,0.6275104484967845,0.4737908688106948,0.4737908688106948,0.4737908688106948,0.4737908688106948,0.4737908688106948,0.4737908688106948,-0.013321541968680961,-0.013321541968680961,-0.013321541968680961,-0.013321541968680961,-0.013321541968680961,-0.013321541968680961
keyed,20270818,0,random,8,0,Full operator (SE(3)),True,,0.0006581450002158817,0.8160881173693758,0.20465995209533452,0.08789490162181961,0.02405639934858006,True,True,detected,0.6029200808267726,0.8651238496004247,0.8624241922997649,1.2253012397780116,0.8118644443990002,0.8144589638094624,0.8160881173693759,-0.13407234677429092,-0.12419990121016322,0.02405639934858006,-0.1703972855204321,-0.18720017028145297,0.6114281652740414
