phase,phase_code,phase_progress,global_bin,alpha_x,alpha_y,alpha_yaw,alpha_x_ci_low,alpha_x_ci_high,alpha_y_ci_low,alpha_y_ci_high,alpha_yaw_ci_low,alpha_yaw_ci_high,off_diagonal_fro
Enter key,4,0.041666666666666664,26,1.0012676281094801,1.023303989119154,1.0001614526465186,0.99790765363952,1.0049825208893635,1.0034074071062014,1.0453011556314384,0.9995211364068004,1.0011366601556828,0.039260020262537165
Enter key,4,0.08333333333333333,27,1.0003433579757424,1.020237381296285,1.0001857062223523,0.9978986695152325,1.002275887440373,1.0016450030602213,1.0407485728401653,0.9995441899573844,1.0012222291470936,0.04004732603068546
Enter key,4,0.125,28,1.0005206479976443,1.014724429283152,1.0002387594891435,0.9977178753436279,1.0041199123495208,0.9911064653065357,1.0374475339008988,0.9995901809939548,1.0013193944920848,0.03880135933047309
Enter key,4,0.16666666666666666,29,0.9989954028191728,1.0105463678404836,1.000445219607277,0.9922160885001922,1.0081642317291046,0.9822074278022421,1.036073226877568,0.9994798095805986,1.0023976848294371,0.07914181132254024
Enter key,4,0.20833333333333334,30,0.995236617500694,1.0088724259890889,1.0001952991999652,0.9794140170505509,1.0072483998892787,0.9800332962110229,1.03465514916319,0.9995962966754676,1.0011258327342671,0.030294998041550884
Enter key,4,0.25,31,1.0000350404791392,1.0096959453823877,1.000184540315557,0.9956133986231556,1.0051540614641479,0.9798870222460859,1.036521992978131,0.9995966370522111,1.0010878570633412,0.029053698234346174
Enter key,4,0.2916666666666667,32,1.0015219291356934,1.0092270353723571,1.000183822061646,0.9984409273875874,1.0062730264922828,0.979816134942291,1.0357703574905934,0.9995907445799962,1.0011533313035148,0.02870834273732686
Enter key,4,0.3333333333333333,33,1.0015213358341915,1.0113017933879802,1.000142796339784,0.9976615684019379,1.0049536593635582,0.9838662501123142,1.0356393391834984,0.9994889538922949,1.0011832161658838,0.030912804620786227
Enter key,4,0.375,34,1.0012278158294121,1.0173219742185824,1.000194676688968,0.9988143291722155,1.0049794055651973,0.9969951423163208,1.0377276728480125,0.9995214897929957,1.0012747756109133,0.03298316508048387
Enter key,4,0.4166666666666667,35,1.0019637481462196,1.0224577091842313,1.000217109189678,0.9985088320354438,1.0068269821116789,1.0026981839868492,1.0455547273045747,0.9995347938775232,1.0013213312983449,0.03394589002723879
Enter key,4,0.4583333333333333,36,1.002932677619018,1.0243313000027012,1.0002028552076476,0.9984653791238359,1.0080592962884654,1.003437791883265,1.0486084620372038,0.9995319176226897,1.00127228075936,0.036025577321733775
Enter key,4,0.5,37,1.0024039298535357,1.0243848013482422,1.0001979048224232,0.999132124942501,1.0064490949961515,1.0036576854283477,1.0484404944705772,0.9995115867536701,1.0012789564274307,0.03476330712318417
Enter key,4,0.5416666666666666,38,1.0024754330364631,1.0236537601131865,1.0001956541937311,0.999318940962683,1.0065076015700165,1.003437801020647,1.0472664437406012,0.9995355639602835,1.0012686945520466,0.03458099979736921
Enter key,4,0.5833333333333334,39,1.0020137351066443,1.021147744713632,1.00017133520449,0.9992430992033102,1.0046415990248752,1.0017190714827862,1.0419870892661074,0.9995303339063742,1.001267873983218,0.038094355710749706
Enter key,4,0.625,40,1.0009339288891232,1.0165508983264864,1.0002157501297524,0.9988533645065363,1.0034907039140006,0.9934464808674381,1.0389326952667697,0.9995222809467206,1.001365055456796,0.0380003007035928
Enter key,4,0.6666666666666666,41,1.0018829844344161,1.0141566725375226,1.0002355616124246,0.9990308395909122,1.0053054350017756,0.9854634701189184,1.0420000385892139,0.9995770577149237,1.001386305733885,0.037998357193093565
Enter key,4,0.7083333333333334,42,1.002523233234698,1.0137220265706872,1.0002313496633415,0.998898584506308,1.0068591992361966,0.9836076044196115,1.042952684979127,0.9995461620500968,1.0013569777993787,0.04074657056437597
Enter key,4,0.75,43,1.001697845687168,1.0135619341850612,1.000241879795501,0.9994364209446267,1.0045100574754822,0.9835222736220929,1.0426551373342263,0.9995508255225451,1.001373965614191,0.04204305374310841
Enter key,4,0.7916666666666666,44,1.0019162540628215,1.0134341134266311,1.0002347468899464,0.9994245589829595,1.0050050917915623,0.9840124348432876,1.0418643063844952,0.9995728691669021,1.00137729172517,0.04290493758004925
Enter key,4,0.8333333333333334,45,1.0004869218585717,1.0145303462002495,1.0001891867608075,0.9987946292291815,1.0023891432314154,0.9883710883043464,1.0403982981551418,0.9995426107881713,1.0013156846102387,0.04614909759320432
Enter key,4,0.875,46,0.9992659627702484,1.0144871775190551,1.0001604096319094,0.9955100111565243,1.0020421989862587,0.9925650275339473,1.0378457456275043,0.9995333021877448,1.0012266286025835,0.045755680462213774
Enter key,4,0.9166666666666666,47,1.0010346217329062,1.01387986762666,1.0001414197879324,0.9980126232037404,1.0050785096998018,0.9917795464899646,1.0389097930854363,0.9995129524934575,1.0011645391830635,0.046331088675591395
Enter key,4,0.9583333333333334,48,1.0009993985776822,1.014123330654363,1.0001216889340387,0.9975107621312337,1.0053577953543347,0.9921178856167977,1.0390042939062616,0.9994541729642062,1.0012147055182654,0.048192944941132534
Enter key,4,1.0,49,1.0000238546569753,1.0142464128343545,1.0001198602719457,0.9970768856195271,1.0031058176582166,0.9926591599345387,1.0388113339720915,0.9994600202447357,1.0012112222073328,0.04838382896797823
