pair_key,family,claim,source_task,target_task,seed,sample_size,repeat,method,target_nominal_trajectories,target_interventions_for_fit,target_interventions_for_validation,source_sample_size,fit_success,fit_error,fit_seconds,m_transfer_correct,e_alpha,e_task,alpha_active_du,alpha_active_dv,alpha_active_dw,alpha_active_roll,alpha_active_pitch,alpha_active_yaw
bowl_stove_to_bowl_plate,support_to_stacking,upright xyz placement transfers across support surfaces,bowl_on_stove,bowl_on_plate,20260818,8,0,TP-GMM SE(3) target scratch,0,8,0,0,True,,2.3311857429798692,True,0.1011057774153834,1.1434260166834168e-05,0.5951905940385777,0.7580027802645689,0.6691731137713902,0.05053653945971881,0.013199645241694924,0.006873375914647983
bowl_stove_to_bowl_plate,support_to_stacking,upright xyz placement transfers across support surfaces,bowl_on_stove,bowl_on_plate,20270818,8,0,Ours transfer: source Pdiag N=30 + target nominal N=1,1,0,8,30,True,,0.0,True,4.334104309708051e-05,1.9649346519674813e-09,1.0060832723265658,1.0111814912015857,1.008568674881298,0.0028783115682674953,0.0005921973347770994,0.0005131797385333902
bowl_stove_to_bowl_plate,support_to_stacking,upright xyz placement transfers across support surfaces,bowl_on_stove,bowl_on_plate,20270818,8,0,Frame-weighted target scratch,0,8,0,0,True,,0.002265718998387456,False,0.14925838647981673,6.355595803207574e-06,0.5715000490210544,0.5715000490210544,0.5715000490210544,0.5715000490210544,0.5715000490210544,0.5715000490210544
bowl_stove_to_bowl_plate,support_to_stacking,upright xyz placement transfers across support surfaces,bowl_on_stove,bowl_on_plate,20270818,8,0,Phase scalar GP target scratch,0,8,0,0,True,,0.097350656054914,False,0.14926135855715292,6.3557529135568835e-06,0.5758458824432215,0.5758458824432215,0.5758458824432215,0.5758458824432215,0.5758458824432215,0.5758458824432215
bowl_stove_to_bowl_plate,support_to_stacking,upright xyz placement transfers across support surfaces,bowl_on_stove,bowl_on_plate,20270818,8,0,Pdiag finite target scratch,0,8,0,0,True,,1.2504030908457935,True,8.635004797084808e-05,8.275547407237632e-08,1.006577325017677,1.0050183537545672,1.0131428753872123,0.019451323275909177,0.00903178428396913,0.002758848788518861
bowl_stove_to_bowl_plate,support_to_stacking,upright xyz placement transfers across support surfaces,bowl_on_stove,bowl_on_plate,20270818,8,0,TP-GMM SE(3) target scratch,0,8,0,0,True,,2.331601944984868,True,0.10035545853069298,6.360599100097766e-06,0.6802873893645145,0.7419724343599512,0.6691752928483091,0.004800461415018553,0.009117176985668607,0.001923292566717194
bowl_stove_to_bowl_plate,support_to_stacking,upright xyz placement transfers across support surfaces,bowl_on_stove,bowl_on_plate,20280818,8,0,Ours transfer: source Pdiag N=30 + target nominal N=1,1,0,8,30,True,,0.0,True,4.334104309708051e-05,1.9512590720096476e-09,1.0060832723265658,1.0111814912015857,1.008568674881298,0.0028783115682674953,0.0005921973347770994,0.0005131797385333902
bowl_stove_to_bowl_plate,support_to_stacking,upright xyz placement transfers across support surfaces,bowl_on_stove,bowl_on_plate,20280818,8,0,Frame-weighted target scratch,0,8,0,0,True,,0.002309069037437439,False,0.15313541336797676,6.8026153859697215e-06,0.6083460509914594,0.6083460509914594,0.6083460509914594,0.6083460509914594,0.6083460509914594,0.6083460509914594
bowl_stove_to_bowl_plate,support_to_stacking,upright xyz placement transfers across support surfaces,bowl_on_stove,bowl_on_plate,20280818,8,0,Phase scalar GP target scratch,0,8,0,0,True,,0.09397064498625696,False,0.15313807086822945,6.8027935828571585e-06,0.612972070889136,0.612972070889136,0.612972070889136,0.612972070889136,0.612972070889136,0.612972070889136
bowl_stove_to_bowl_plate,support_to_stacking,upright xyz placement transfers across support surfaces,bowl_on_stove,bowl_on_plate,20280818,8,0,Pdiag finite target scratch,0,8,0,0,True,,1.0652116839773953,True,6.483853646976579e-05,1.3384588741314214e-08,1.0121044232659977,0.9970611449324697,1.0179007081327665,0.0039863686947964475,0.001382964934930075,2.4546014328391466e-09
