seed,condition_id,generator,method,segment,position_rmse_mm,orientation_rmse_deg,axis_rmse_deg
20270818,43,mixed,No adaptation,All assembly,13.811402834364793,4.660234821438623,4.65805713335881
20270818,47,mixed,No adaptation,All assembly,8.803830419662756,2.16023489379488,2.1278948253980436
20270818,51,mixed,No adaptation,All assembly,7.105199516402231,2.6776612726475526,2.671642482678057
20270818,55,mixed,No adaptation,All assembly,22.844283060093833,11.57330258602976,11.545489126934067
20270818,59,mixed,No adaptation,All assembly,20.605144950139103,13.045531385039238,13.028447987455277
20270818,63,mixed,No adaptation,All assembly,17.010303295288782,8.124689716754528,8.114070524101963
20270818,67,mixed,No adaptation,All assembly,37.14656183779852,16.497156167129813,16.457332460899334
20270818,71,mixed,No adaptation,All assembly,30.32678537928897,13.490183321669424,13.47880110784612
20270818,1,du,No adaptation,Align,11.296957916608857,0.49851920189267096,0.3178493750491528
20270818,2,du,No adaptation,Align,11.48622034769858,0.475292054348491,0.29941112720803736
20270818,3,dv,No adaptation,Align,10.938167599433132,0.8117882926605946,0.7931101656699322
20270818,4,dv,No adaptation,Align,19.47225348101739,0.8097355861566595,0.6758819407050863
20270818,5,dw,No adaptation,Align,16.89228680540111,0.8865148189922007,0.7787385147367873
20270818,6,dw,No adaptation,Align,11.949676108672518,0.8843171901994623,0.6171343477344495
20270818,7,roll,No adaptation,Align,32.49591459723974,12.171079795158741,12.169288424137683
20270818,8,roll,No adaptation,Align,30.07584568700493,10.95449398388991,10.91054918291109
20270818,9,pitch,No adaptation,Align,29.625625184806694,10.70505983782664,10.70132590707174
20270818,10,pitch,No adaptation,Align,29.174377091257124,11.551492796456705,11.546286039640073
20270818,11,yaw,No adaptation,Align,4.326209075431922,0.6142004418554449,0.35386492181111484
20270818,12,yaw,No adaptation,Align,3.71873623958132,0.6760318464116183,0.5328623692778647
20270818,13,yaw,No adaptation,Align,3.6449675177651337,0.956771828234776,0.7351790805041489
20270818,14,yaw,No adaptation,Align,2.3174552199039655,0.5737033823544693,0.4209834150965208
20270818,15,mixed,No adaptation,Align,27.574403251404135,9.528672794361656,9.515572043722146
20270818,19,mixed,No adaptation,Align,32.91148429961299,11.115889284134582,11.087761234313154
20270818,23,mixed,No adaptation,Align,11.341565878987605,1.4091056952897698,1.3062575416518256
20270818,27,mixed,No adaptation,Align,29.29154071445917,11.256590562222346,11.234191105269842
20270818,31,mixed,No adaptation,Align,13.869278257576168,4.546105439913108,4.494131541617188
20270818,35,mixed,No adaptation,Align,15.42319512855539,5.57721675203461,5.533430443930444
20270818,39,mixed,No adaptation,Align,32.09086259572395,13.854019542345513,13.735646887487492
20270818,43,mixed,No adaptation,Align,13.827044237764744,3.8435860640609136,3.8331662704032023
20270818,47,mixed,No adaptation,Align,7.018926836279675,2.011693486840475,1.8790734536854548
20270818,51,mixed,No adaptation,Align,5.388561860648889,2.1950047457477835,2.167377610364119
20270818,55,mixed,No adaptation,Align,23.500950488322157,9.073895399259014,9.020994296727503
20270818,59,mixed,No adaptation,Align,25.899690525930378,10.259372582357674,10.24451670697198
20270818,63,mixed,No adaptation,Align,17.661746609495903,6.208078009392805,6.171618005163684
20270818,67,mixed,No adaptation,Align,42.086314459308056,12.393850489215497,12.377884962362492
20270818,71,mixed,No adaptation,Align,33.10710681024899,10.713049444377928,10.681341245307824
20270818,1,du,No adaptation,Insert,14.845282587699058,0.260266101178044,0.21257502832659436
20270818,2,du,No adaptation,Insert,15.203299711707325,0.2232665918488082,0.21940046846357955
20270818,3,dv,No adaptation,Insert,15.073188921238083,0.22476572681577553,0.22141764613361234
20270818,4,dv,No adaptation,Insert,15.013215710222626,0.22473048391131775,0.22255520203305554
20270818,5,dw,No adaptation,Insert,15.24409075000067,0.3082320002514258,0.3063151512841246
20270818,6,dw,No adaptation,Insert,15.27866834963625,0.21897344698490595,0.21377183242805162
20270818,7,roll,No adaptation,Insert,18.38911973744449,15.005552851468241,15.005193855746814
20270818,8,roll,No adaptation,Insert,18.486548220394535,15.048071479374565,15.047875854286163
20270818,9,pitch,No adaptation,Insert,19.3310749414331,14.539961409093156,14.539929994396212
20270818,10,pitch,No adaptation,Insert,19.945693394465412,15.195337455747417,15.19508712895639
20270818,11,yaw,No adaptation,Insert,0.6612042966397399,0.20299061970987795,0.20248316929495822
20270818,12,yaw,No adaptation,Insert,0.6893881314030529,0.24689975704490047,0.2384081652269043
20270818,13,yaw,No adaptation,Insert,0.5816955712911441,0.31246109862032656,0.3093591011009024
20270818,14,yaw,No adaptation,Insert,0.5852521611031875,0.31508057419666785,0.311352080183921
20270818,15,mixed,No adaptation,Insert,20.085904972237973,12.853273071831786,12.85239526329148
20270818,19,mixed,No adaptation,Insert,23.38319143301477,14.76858044902665,14.76444813430954
20270818,23,mixed,No adaptation,Insert,12.12035757061078,1.1149672619076565,1.1122013697517903
20270818,27,mixed,No adaptation,Insert,21.41810352574324,14.868004251662368,14.865021927930512
20270818,31,mixed,No adaptation,Insert,13.290725333904515,6.442448559893569,6.4414550908151735
20270818,35,mixed,No adaptation,Insert,10.294436411166615,6.776535677493395,6.771719539805717
20270818,39,mixed,No adaptation,Insert,22.415961305334967,18.50371478564442,18.44444410813216
20270818,43,mixed,No adaptation,Insert,13.06640189187257,4.89096147430359,4.890915728693084
20270818,47,mixed,No adaptation,Insert,9.03438917077583,2.1712378165642443,2.1687406749232263
20270818,51,mixed,No adaptation,Insert,7.558082494491019,2.8915908837196667,2.8913737218505595
20270818,55,mixed,No adaptation,Insert,20.68315030958401,12.261148487171452,12.238629077013012
20270818,59,mixed,No adaptation,Insert,16.60776286204417,13.8267180320613,13.809892010920704
20270818,63,mixed,No adaptation,Insert,16.029282502495327,8.70648951274058,8.701810510471091
20270818,67,mixed,No adaptation,Insert,32.33749096099466,17.65010407728006,17.60519700002506
20270818,71,mixed,No adaptation,Insert,27.096540868550697,14.283500799020619,14.277889090769564
20270818,1,du,Identity,All assembly,4.351856018812385,0.36023779139431605,0.28306962958092413
20270818,2,du,Identity,All assembly,4.701271852272985,0.33614410919463267,0.2790566088291403
20270818,3,dv,Identity,All assembly,4.6183814798445795,0.4760701786822104,0.4668722012157555
20270818,4,dv,Identity,All assembly,6.207790144220714,0.4778593035780962,0.42089441070385786
20270818,5,dw,Identity,All assembly,4.773136796943355,0.525485520332275,0.4776952447209312
20270818,6,dw,Identity,All assembly,8.047643931378198,0.4908367185978282,0.37247750679073155
20270818,7,roll,Identity,All assembly,23.527133989900246,3.64184853118555,3.6390361165158533
20270818,8,roll,Identity,All assembly,24.04225940349331,3.933158547693715,3.9013353018423387
20270818,9,pitch,Identity,All assembly,23.199128039625162,4.07907638040864,4.073747698456748
