sample_index,source_progress,phase,phase_index,phase_progress,generator,mean,sd,seed_20260818,seed_20270818,seed_20280818
4,0.041666666666666664,Align,0,0.16666666666666666,dv,0.10687589317619695,0.033291376228583094,0.1392259283157788,0.10868481708328846,0.0727169341295236
5,0.05208333333333333,Align,0,0.20833333333333334,dv,0.15592029793353487,0.057011160094885445,0.19855033382636295,0.17804814367261934,0.09116241630162238
6,0.0625,Align,0,0.25,dv,0.2122703498182141,0.0830978666640455,0.26303209884186707,0.25740677156170527,0.11637217905106997
7,0.07291666666666666,Align,0,0.2916666666666667,dv,0.2757673641962575,0.10781062991982648,0.33054665953147383,0.34518966582026644,0.15156576723703222
8,0.08333333333333333,Align,0,0.3333333333333333,dv,0.34826000993265577,0.12959468982361497,0.4014549148721653,0.44279269490539047,0.20053242002041158
9,0.09375,Align,0,0.375,dv,0.43102871392821723,0.14703355163510565,0.4770263201038147,0.5495644666069143,0.26649535507392297
10,0.10416666666666666,Align,0,0.4166666666666667,dv,0.5219419427362192,0.15749540426215153,0.5569398038484512,0.6589945073261394,0.3498915170340671
11,0.11458333333333333,Align,0,0.4583333333333333,dv,0.6144936928698944,0.1581972251659869,0.6375099350684409,0.7599220286457251,0.44604911489551735
12,0.125,Align,0,0.5,dv,0.699853305332171,0.1488783030453989,0.7121049382124954,0.8422272270618182,0.5452277507221994
13,0.13541666666666666,Align,0,0.5416666666666666,dv,0.7705309239391035,0.1326012169089401,0.7738109093752454,0.901461719848791,0.6363201425932741
14,0.14583333333333331,Align,0,0.5833333333333334,dv,0.8229304610483409,0.11368332085009225,0.8183651910881825,0.9388276469105505,0.71159854514629
15,0.15625,Align,0,0.625,dv,0.8575773407933177,0.09548574257675602,0.8453826062480674,0.9585746204603317,0.768774795671554
16,0.16666666666666666,Align,0,0.6666666666666666,dv,0.8779153142007013,0.07985179117952486,0.8579385941328205,0.9658588315116019,0.8099485169576817
17,0.17708333333333331,Align,0,0.7083333333333334,dv,0.8889286705925921,0.06743372781312422,0.8615935667439852,0.9657381398140756,0.8394543052197154
18,0.1875,Align,0,0.75,dv,0.8959473898830285,0.05774655284688551,0.8631720734522682,0.9626241954400149,0.8620459007568021
19,0.19791666666666666,Align,0,0.7916666666666666,dv,0.9034531901282247,0.04915200625352222,0.8689646278528218,0.9597336598974772,0.8816612826343753
20,0.20833333333333331,Align,0,0.8333333333333334,dv,0.913982498764344,0.039764981286060375,0.8825841239101004,0.9586965147979739,0.9006668575849581
21,0.21875,Align,0,0.875,dv,0.927625587720736,0.02886932297230516,0.9036033450375557,0.9596526202639691,0.919620797860683
22,0.22916666666666666,Align,0,0.9166666666666666,dv,0.9424981540947678,0.017428049234638733,0.9280286230463353,0.9618453679079894,0.9376204713299788
23,0.23958333333333331,Align,0,0.9583333333333334,dv,0.9559707464278616,0.007389756388469563,0.9504624392072935,0.9643686942542564,0.9530811058220352
24,0.25,Align,0,1.0,dv,0.965938354480845,0.0011770943303758428,0.9665479346690158,0.9666856385563147,0.9645814902172044
25,0.25,Enter,1,0.0,dv,0.965938354480845,0.0011770943303758428,0.9665479346690158,0.9666856385563147,0.9645814902172044
26,0.2604166666666667,Enter,1,0.041666666666666664,dv,0.9715135588966565,0.0027970314213930205,0.9743432365614684,0.9687503588340127,0.9714470812944886
27,0.2708333333333333,Enter,1,0.08333333333333333,dv,0.9730794574225955,0.0019891902745332165,0.9744738314038219,0.9708015526049629,0.9739629882590014
28,0.28125,Enter,1,0.125,dv,0.9719720778616746,0.00204772760396078,0.9696119224616555,0.9730279049848513,0.9732764061385172
29,0.2916666666666667,Enter,1,0.16666666666666666,dv,0.9699679012181007,0.00597965098644925,0.9635155435485893,0.9753228205955873,0.9710653395101256
30,0.3020833333333333,Enter,1,0.20833333333333334,dv,0.9686341913093822,0.008836842206732816,0.9596017814581104,0.9772615346899574,0.9690392577800788
31,0.3125,Enter,1,0.25,dv,0.9687284949726841,0.009406612163234565,0.9594868575939223,0.978291828842529,0.968406798481601
32,0.32291666666666663,Enter,1,0.2916666666666667,dv,0.9699741781511119,0.007826158106559882,0.9623805281955491,0.9780137747434348,0.969528231514352
33,0.3333333333333333,Enter,1,0.3333333333333333,dv,0.9713709657252396,0.005324195520139914,0.9657920732521134,0.9763973802263629,0.9719234436972426
