seed,subset_id,protocol,sample_size,repeat,rank,augmented_intercept_rank,condition_number,optimization_success,optimization_nfev,lambda_min_post,lambda_max_post,lambda_ratio_post,log_det_post,trace_inv_post,ridge_post,lambda_min_design,lambda_max_design,lambda_ratio_design,log_det_design,trace_inv_design,ridge_design,fit_seconds
20260818,33,qualified,5,3,3,4,3.011386955943474,True,9,1.636027952057121e-14,0.0005797956436143861,2.8217320534840377e-11,-698.2532285516309,1095617066.4846354,1e-08,1.90767399778057e-13,0.0044414440851586485,4.295166079328066e-11,-696.7798391134106,992899558.9554319,1e-08,1.9222504869103432
20260818,34,qualified,5,4,3,4,2.903084555007893,True,8,1.0067927975181959e-14,0.000387412012275327,2.5987650501726975e-11,-677.5203193263111,999772002.999129,1e-08,1.5490310066138328e-13,0.004349474122249357,3.561421365148258e-11,-709.7045322307854,1035752535.2621973,1e-08,19.191882162354887
20260818,35,qualified,5,5,3,4,1.7758903523986986,True,4,1.02371970158025e-14,0.0002560666438959944,3.997864329397195e-11,-672.6602900005253,988888519.2301826,1e-08,1.1290018318147997e-13,0.0036273123188419023,3.112502405569692e-11,-718.8310500648573,1066619785.0480742,1e-08,1.233721723780036
20260818,36,qualified,5,6,3,4,2.28063676411755,True,18,2.2060480776990213e-14,0.0006950672340455797,3.17386285763883e-11,-691.4158594369198,1056915966.2861326,1e-08,2.827672004682874e-13,0.007525331826313111,3.757537966359998e-11,-722.3046229532463,1078308918.0557451,1e-08,14.312780305743217
20260818,37,qualified,5,7,3,4,2.835327546840529,True,30,0.0,7.495738782614241e-05,0.0,-606.5067266273295,973301862.1218519,1e-08,1.782818497063243e-13,0.0034619907401503523,5.1496916972857536e-11,-701.2699023516464,1006490959.6285608,1e-08,15.260478451382369
20260818,38,qualified,5,8,3,4,5.6357744446002584,True,17,1.2116370423282334e-19,0.0004077580168541839,2.9714609946259385e-16,-689.7297578537989,1188521491.3760219,1e-08,1.785524058276074e-13,0.0045561446031267844,3.918936324037448e-11,-700.1560514521545,1004614429.9965681,1e-08,3.7399021410383284
20260818,39,qualified,5,9,3,4,3.6069425458913624,True,25,5.814633049014605e-19,0.0004458730306541943,1.304100640597897e-15,-751.3996288066556,1621999646.810284,1e-08,2.4744351377312347e-13,0.004203838876626793,5.886132200472794e-11,-704.7189641562661,1017770536.4734411,1e-08,1.2847664928995073
20260818,40,random,8,0,3,4,2.0183830844470037,True,6,3.75680638020167e-14,0.0007206518586746574,5.213066940687241e-11,-678.0858104884117,1009255929.5860534,1e-08,3.2861407421067586e-13,0.006573862788936841,4.998797278879942e-11,-696.6264222776135,991446033.4843738,1e-08,1.084794039838016
20260818,41,random,8,1,3,4,2.689778365874824,True,9,3.2138151170976533e-14,0.0005200898157463455,6.179346374021428e-11,-676.740646902854,977089081.8670233,1e-08,2.621947195106194e-13,0.0058046737579349,4.516958755041198e-11,-708.883156554801,1032062692.072835,1e-08,5.9153540609404445
20260818,42,random,8,2,3,4,2.211380189589595,True,10,2.3874957342716718e-14,0.0002619805239696144,9.113256581426576e-11,-635.8462302908074,861960824.2397099,1e-08,3.494997541609604e-13,0.0027279356772254974,1.281187665379362e-10,-667.3063487157483,896195905.4322497,1e-08,0.8222022820264101
20260818,43,random,8,3,3,4,1.934308572325561,True,9,5.563287356306662e-16,0.0005530753387687072,1.0058823755714763e-12,-675.169565911958,1057188271.7529302,1e-08,2.984773425938723e-13,0.008022445752302952,3.720528026109623e-11,-716.119246884214,1056984879.8579261,1e-08,0.8957385090179741
20260818,44,random,8,4,3,4,1.839784594083301,True,14,1.1932217253581724e-14,0.0006054169409455562,1.9709090457471627e-11,-687.6012961665303,1050046347.9593849,1e-08,2.2928317547215173e-13,0.007533029633472256,3.0437046796332134e-11,-717.9953792692511,1063851655.7624631,1e-08,5.564248212613165
20260818,45,random,8,5,3,4,1.4805803659010683,True,30,2.003410092228187e-20,0.0008798952102895192,2.2768735058450748e-17,-714.3928695946989,1274160752.6511438,1e-08,3.034574198087551e-13,0.007988571183613014,3.79864449892164e-11,-715.3132661777033,1054063758.7009692,1e-08,7.361579060088843
20260818,46,random,8,6,3,4,2.4684901205756584,True,14,6.010270595078772e-14,0.0005685285815523523,1.0571624347658805e-10,-652.4285960264734,911927771.717351,1e-08,5.344134183890287e-13,0.006310283297581732,8.468929098537146e-11,-690.652823783972,970980718.5631602,1e-08,1.7017806507647038
20260818,47,random,8,7,3,4,4.520941248190425,True,20,3.00046704332764e-20,0.0006710992923309013,4.4709733382466286e-17,-717.7333547266198,1306684111.191845,1e-08,2.34433965874056e-13,0.009664489541472218,2.425725278795677e-11,-726.9086372079481,1095236764.9834886,1e-08,8.86811683466658
