sample_size,protocol,metric,recovery,spearman_rho,pvalue_descriptive,subset_count,expected_sign
10,random,lambda_ratio_design,generator_rmse,0.5636363636363636,0.08972402831709125,10,-1
10,random,lambda_ratio_design,switch_absolute_error,-0.10303030303030303,0.7769984634438898,10,-1
10,random,log_det_design,task_error_mean_mm_equiv,0.4424242424242424,0.20042268671194224,10,-1
10,random,log_det_design,generator_rmse,0.6363636363636362,0.04791172612997547,10,-1
10,random,log_det_design,switch_absolute_error,0.16363636363636364,0.6514773427962428,10,-1
10,random,trace_inv_design,task_error_mean_mm_equiv,-0.4424242424242424,0.20042268671194224,10,1
10,random,trace_inv_design,generator_rmse,-0.6363636363636362,0.04791172612997547,10,1
10,random,trace_inv_design,switch_absolute_error,-0.16363636363636364,0.6514773427962428,10,1
10,random,condition_number,task_error_mean_mm_equiv,-0.04242424242424241,0.907363817812816,10,1
10,random,condition_number,generator_rmse,0.2121212121212121,0.5563057751029299,10,1
10,random,condition_number,switch_absolute_error,0.01818181818181818,0.9602404181286243,10,1
10,qualified,lambda_min_post,task_error_mean_mm_equiv,-0.309090909090909,0.3848412302612835,10,-1
10,qualified,lambda_min_post,generator_rmse,0.13939393939393938,0.7009318849100584,10,-1
10,qualified,lambda_min_post,switch_absolute_error,0.5515151515151515,0.09840117666963498,10,-1
10,qualified,lambda_ratio_post,task_error_mean_mm_equiv,-0.33333333333333326,0.34659350708733405,10,-1
10,qualified,lambda_ratio_post,generator_rmse,0.13939393939393938,0.7009318849100584,10,-1
10,qualified,lambda_ratio_post,switch_absolute_error,0.309090909090909,0.3848412302612835,10,-1
10,qualified,log_det_post,task_error_mean_mm_equiv,0.35757575757575755,0.3103760917056799,10,-1
10,qualified,log_det_post,generator_rmse,0.23636363636363633,0.5108853175152002,10,-1
10,qualified,log_det_post,switch_absolute_error,-0.24848484848484845,0.48877630451924314,10,-1
10,qualified,trace_inv_post,task_error_mean_mm_equiv,0.01818181818181818,0.9602404181286243,10,1
10,qualified,trace_inv_post,generator_rmse,-0.0303030303030303,0.9337729580941466,10,1
10,qualified,trace_inv_post,switch_absolute_error,0.10303030303030303,0.7769984634438898,10,1
10,qualified,lambda_min_design,task_error_mean_mm_equiv,-0.4787878787878787,0.1615229280174558,10,-1
10,qualified,lambda_min_design,generator_rmse,-0.10303030303030303,0.7769984634438898,10,-1
10,qualified,lambda_min_design,switch_absolute_error,0.709090909090909,0.021665923367532435,10,-1
10,qualified,lambda_ratio_design,task_error_mean_mm_equiv,-0.3696969696969697,0.2930500752928223,10,-1
10,qualified,lambda_ratio_design,generator_rmse,-0.32121212121212117,0.3654683104386702,10,-1
10,qualified,lambda_ratio_design,switch_absolute_error,-0.29696969696969694,0.4047016712701569,10,-1
10,qualified,log_det_design,task_error_mean_mm_equiv,-0.1515151515151515,0.6760651759978538,10,-1
10,qualified,log_det_design,generator_rmse,-0.11515151515151514,0.7514196523258483,10,-1
