episode,generator,steps,states,success,max_contact_force_N,contact_frames,final_dist_m,final_yaw_err_rad,socket_drift_m,solver_error,dx,dy,dyaw
episode_24,mixed,493,494,False,85.38403849512991,1,0.5573226809501648,1.3733057975769043,0.0,,0.0022632007247927223,-0.0038901305878288016,-0.11349631724314929
episode_25,mixed,281,282,False,46.34403190927162,19,0.03179758042097092,0.011861301958560944,0.0,,0.009366584448115015,-0.006548217755198887,0.1290012762541246
episode_26,mixed,289,290,True,40.70461378106531,9,0.0017063396517187357,0.0012038350105285645,0.0,,-0.009983631754022764,0.007983459543681546,0.3006486445548371
episode_27,mixed,298,299,False,83.98091005298666,20,0.04261886700987816,0.0012580454349517822,0.0,,-0.006255133368169148,0.009035621539456893,-0.4622664729719022
episode_28,mixed,260,261,False,86.0634233924512,18,0.0389326736330986,0.001495078206062317,0.0,,-0.003933190546904152,-0.008393292794523863,-0.05200449363573878
episode_29,mixed,292,293,False,83.75587421899664,20,0.041070010513067245,0.00015550851821899414,0.0,,0.007111782486895063,-0.006464586984150061,-0.4691221965135881
episode_30,mixed,279,280,False,88.65795718711703,19,0.039582815021276474,0.0011842846870422363,0.0,,-0.009175805224714952,0.011692381003064328,-0.14812410268674214
episode_31,mixed,305,306,False,81.70911035591821,21,0.04175972193479538,0.005136817693710327,0.0,,0.010160225662338367,-0.0039455348329783535,-0.39580824124221714
episode_32,mixed,430,431,True,72.46259419597976,5,0.0017075961222872138,0.002870321273803711,0.0,,0.011520420216921262,-0.007955605249217547,-0.28363976125017154
episode_33,mixed,229,230,False,0.0,0,0.3660110831260681,0.8609880805015564,0.0,,-0.0076841414293500375,0.00926455724475729,-0.2684164748241625
episode_34,mixed,424,425,True,3.595342709385072,14,0.0015587081434205174,0.006264001131057739,0.0,,0.0020275988295592826,0.01043624207624265,-0.4279760345345346
episode_35,mixed,295,296,False,81.64236529033694,21,0.039948467165231705,0.0023479461669921875,0.0,,-0.005228244844263021,-0.007066359273389214,-0.16886791956140268
episode_36,mixed,426,427,True,77.18495006844236,5,0.0016747803892940283,0.0028912127017974854,0.0,,-0.011281457332954915,0.008271976211530346,-0.4243872856498201
