episode,method,progress,axis_error_deg,position_error_mm
1,No adaptation,1.52,13.733664437236186,69.73774094132129
1,No adaptation,1.54,13.61595187726097,70.49280789326234
1,No adaptation,1.56,13.460199802103485,70.81834513767932
1,No adaptation,1.58,13.362875603265977,69.30916433543842
1,No adaptation,1.6,13.266640092165577,65.72799575524294
1,No adaptation,1.62,13.135958711673206,61.80963086472275
1,No adaptation,1.6400000000000001,12.932252903340537,58.41803674094486
1,No adaptation,1.6600000000000001,12.706252127037681,57.08577141222274
1,No adaptation,1.68,12.508100365521624,55.51622512488794
1,No adaptation,1.7,12.101290227394099,54.11635467358053
1,No adaptation,1.72,11.65185713927853,54.18736772785448
1,No adaptation,1.74,11.486432786563467,53.5080868010107
1,No adaptation,1.76,11.4275576430849,52.41460391562722
1,No adaptation,1.78,11.380640686445037,50.40504234405573
1,No adaptation,1.8,11.334343093782008,46.737169570533524
1,No adaptation,1.82,11.271546083556986,44.24941928803006
1,No adaptation,1.84,11.205670609324986,43.760183785005154
1,No adaptation,1.86,11.163481105515434,43.53193792428048
1,No adaptation,1.8800000000000001,11.143587983248699,42.90666001343137
1,No adaptation,1.9000000000000001,11.095431222530927,42.43257118046388
1,No adaptation,1.92,11.018128147375734,40.728446265651584
1,No adaptation,1.94,11.000190154761123,38.69354769984679
1,No adaptation,1.96,11.014931973445524,37.12301335219353
1,No adaptation,1.98,11.04242560536466,36.2735797717378
1,No adaptation,2.0,11.054622689737498,35.8393809768792
1,No adaptation,2.02,10.858007764239307,32.54088736810295
1,No adaptation,2.04,10.764891771419693,27.756842502131192
1,No adaptation,2.06,10.699085312688942,22.42253386261551
1,No adaptation,2.08,10.601330896496968,21.8319569545474
1,No adaptation,2.1,10.560054964030398,21.436678291246434
1,No adaptation,2.12,10.547114877093438,21.225660154054545
1,No adaptation,2.14,10.51709594201664,20.354262419784895
1,No adaptation,2.16,10.537889417833195,19.307987862574272
1,No adaptation,2.18,10.526119045401737,17.8188876281866
1,No adaptation,2.2,10.450762081653927,17.38722562970609
