episode,factor,value,segment,axis_rmse_deg,position_rmse_mm
4,Axis azimuth,-15,Near to end,2.148191000582004,17.898770462618316
4,Axis azimuth,0,Apex to end,4.052427411621717,37.90739251046223
4,Axis azimuth,0,Near to end,3.8005133963788174,20.963523465098927
4,Axis azimuth,15,Apex to end,6.008889483440856,40.355053128310594
4,Axis azimuth,15,Near to end,5.8920525104238894,23.900500276997665
4,Pivot lever arm,0,Apex to end,4.052427411621717,39.28744574474701
4,Pivot lever arm,0,Near to end,3.8005133963788174,20.17701363312772
4,Pivot lever arm,50,Apex to end,4.052427411621717,37.8989328734392
4,Pivot lever arm,50,Near to end,3.8005133963788174,19.43092327621988
4,Pivot lever arm,100,Apex to end,4.052427411621717,38.27041361399843
4,Pivot lever arm,100,Near to end,3.8005133963788174,22.425414554578346
4,Source seed,20260910,Apex to end,4.067728902734489,37.965087056372624
4,Source seed,20260910,Near to end,3.799893275095894,20.966215902604755
4,Source seed,20270910,Apex to end,4.053306008484626,37.870333633031834
4,Source seed,20270910,Near to end,3.8041104532783194,20.964740957048228
4,Source seed,20280910,Apex to end,4.039091591470294,37.888451791892614
4,Source seed,20280910,Near to end,3.797752559960089,20.959688501344978
6,Axis azimuth,-15,Apex to end,6.227165470771472,33.08871509885456
6,Axis azimuth,-15,Near to end,4.98178042762082,17.244562984811722
6,Axis azimuth,0,Apex to end,7.344541125378618,34.89536359557132
6,Axis azimuth,0,Near to end,6.187831206698339,18.585044737893742
6,Axis azimuth,15,Apex to end,9.279508974737112,37.36918734876095
6,Axis azimuth,15,Near to end,8.42413703385822,20.96221715391847
6,Pivot lever arm,0,Apex to end,7.344541125378618,39.480354117136585
6,Pivot lever arm,0,Near to end,6.187831206698339,27.5204290184119
6,Pivot lever arm,50,Apex to end,7.344541125378618,35.90592084936336
6,Pivot lever arm,50,Near to end,6.187831206698339,21.683821831621827
6,Pivot lever arm,100,Apex to end,7.344541125378618,33.988846233860954
6,Pivot lever arm,100,Near to end,6.187831206698339,18.381832973265237
6,Source seed,20260910,Apex to end,7.371998361416445,34.983508176139594
6,Source seed,20260910,Near to end,6.187476640982123,18.576924095905476
6,Source seed,20270910,Apex to end,7.32113129978306,34.83461552413675
6,Source seed,20270910,Near to end,6.18421771465019,18.58483974195833
6,Source seed,20280910,Apex to end,7.342001498784801,34.869377625129864
6,Source seed,20280910,Near to end,6.191931216013391,18.593453291731525
7,Axis azimuth,-15,Apex to end,5.158216585621413,31.08888345428288
7,Axis azimuth,-15,Near to end,3.0437511018329952,11.526844329286485
7,Axis azimuth,0,Apex to end,5.522830919866881,32.33868626141327
