task,seed,subset_id,protocol,sample_size,repeat,model,fit_success,fit_error,fit_seconds,e_alpha,m_multi_correct,du_switch_detected,du_switch_location,yaw_switch_detected,yaw_switch_location,alpha_pre_du,alpha_pre_dv,alpha_pre_dw,alpha_pre_roll,alpha_pre_pitch,alpha_pre_yaw,delta_du,delta_dv,delta_dw,delta_roll,delta_pitch,delta_yaw
multigen,20270818,5,qualified,8,2,Pdiag pointwise (SE(3)),True,,0.020276121998904273,0.19225107135094882,True,True,0.7285681749122879,True,0.5707877473364756,1.3354570151210579,0.716874552864587,0.9206108280952052,0.8116359559867418,0.8190359966046965,0.8216174442933546,0.4808668338150953,-0.3117357063157775,-0.11562401782523435,-0.188592684701954,-0.1796031134153464,0.67748568432264
multigen,20270818,5,qualified,8,2,Pdiag finite (SE(3)),True,,178.79839780999464,0.13406318054161587,True,True,0.6970699973833925,True,0.5745647838124812,0.785877799091193,0.7100015166377557,0.9200142133392438,0.8125144992210277,0.8268290780382306,0.77928555095971,0.36167405313598144,-0.22974271631697984,-0.07362837089210927,-0.22743414745645618,-0.14953488131219894,0.5782357052013212
multigen,20270818,8,random,15,2,Frame-weighted (SE(3)),True,,0.005925980003667064,0.1792843709532429,False,False,,False,,0.9006262318330512,0.9006262318330512,0.9006262318330512,0.9006262318330512,0.9006262318330512,0.9006262318330512,0.16723594464669111,0.16723594464669111,0.16723594464669111,0.16723594464669111,0.16723594464669111,0.16723594464669111
multigen,20270818,8,random,15,2,Full operator (SE(3)),True,,0.0006776320078643039,0.12278761423431012,True,True,0.6963658443366987,True,0.575701335866682,0.8249687277310553,0.724803994553836,0.8622463438058751,0.8032108272529048,0.7829931252006734,0.8142767732109405,0.4382459891667047,-0.2586086591326412,-0.1947893687278054,-0.1959932605079988,-0.21695422228276018,0.6577162886434931
multigen,20270818,8,random,15,2,Pdiag pointwise (SE(3)),True,,0.011559663995285518,0.19361621746655003,True,True,0.7209404149725464,True,0.5722797661206748,1.3880300947531286,0.6471569629942813,1.0728521416589578,0.7965624368639932,0.781315879304599,0.8146277238556979,0.5688451314011927,-0.20039502739256654,0.05351464316372123,-0.2036371796663896,-0.21861698870548807,0.6645960577186687
multigen,20270818,8,random,15,2,Pdiag finite (SE(3)),True,,158.92266974100494,0.1277657839779541,True,True,0.7028939962911152,True,0.5764429636892309,0.740258202660846,0.825007630013521,0.9869124127975458,0.8625072379821921,0.7940934634821748,0.7745845719928254,0.28463040022055297,-0.16935219674451207,-0.00027517266689491837,-0.11777034522601815,-0.19709621834794577,0.5703339647658774
multigen,20270818,6,random,15,0,Frame-weighted (SE(3)),True,,0.0044948819995624945,0.19218015882833042,False,False,,False,,0.8528777304367929,0.8528777304367929,0.8528777304367929,0.8528777304367929,0.8528777304367929,0.8528777304367929,0.23777943829436987,0.23777943829436987,0.23777943829436987,0.23777943829436987,0.23777943829436987,0.23777943829436987
multigen,20270818,6,random,15,0,Full operator (SE(3)),True,,0.0007303020101971924,0.11202217474763711,True,True,0.6666593751520034,True,0.5778308825554962,0.864390720540505,0.7339845468760742,0.9487868318758556,0.8066521060169546,0.8332980145462153,0.8121705909739759,0.4714199390351252,-0.2473744289924853,-0.05173891843673062,-0.1946555826608215,-0.1476908851874742,0.6530879921201385
multigen,20270818,6,random,15,0,Pdiag pointwise (SE(3)),True,,0.011370256004738621,0.37307093736212643,True,False,,True,0.577102878588972,-0.18707884954529455,1.868814661802765,0.9160724966569098,0.7987647106694392,0.833546729151463,0.8127678317632698,0.2917309405328121,0.039238605150158534,-0.10003691934285919,-0.2016689799755017,-0.17242999594013597,0.6558218083520662
multigen,20270818,6,random,15,0,Pdiag finite (SE(3)),True,,168.13034986999992,0.10835276399173144,True,True,0.6672036915108422,True,0.580294485796908,0.8265195023243227,0.7841859031982085,0.9654157804232956,0.8427834646393315,0.7965196353708689,0.7782069768157501,0.5105042865452333,-0.2328669119385628,-0.03259099525569997,-0.1633356518121878,-0.09149583502271208,0.568450715939755
