episode,steps,states,dx_m,dy_m,dyaw_rad,success,ever_success,max_contact_force_N,contact_frames,receptacle_max_position_drift_m
episode_37,147,148,-0.009432692697729578,0.004384395456534806,-0.12671306890045397,True,True,0.0,0,0.0
episode_38,161,162,0.005159020047128562,0.00025517446524156093,0.11233922230668725,True,True,0.0,0,0.0
episode_39,148,149,-0.008678350065518505,0.006826345592247663,-0.11344029043202765,True,True,27.759592099473988,9,3.725290298461914e-09
episode_40,164,165,-0.0031138004239174965,-0.0013940253610433342,0.12201476742566728,True,True,2.8738187812567264,1,3.725290298461914e-09
episode_41,152,153,0.0012446368445691407,-0.004822708136581355,-0.06762913990375292,True,True,27.633348017736267,8,3.725290298461914e-09
episode_42,151,152,0.007762366413183596,-0.0054826114316535125,-0.09829134816439433,True,True,22.632124539463216,9,0.0
episode_43,157,158,-0.004233384859848448,0.001722461296254656,0.014160860354710092,True,True,1.9168598651885986,6,3.725290298461914e-09
episode_44,152,153,0.006194215518255554,0.001209519040123716,-0.0553911965331966,True,True,23.56761387880921,9,0.0
episode_45,156,157,-0.0017420731463821462,0.006362419419418208,0.033119314414127576,False,False,34.24550442722979,10,3.725290298461914e-09
episode_46,157,158,0.009181552853948843,-0.0026119117781663826,0.013773661245661512,True,True,23.513042534374563,6,0.0
episode_47,152,153,0.0018784840322633653,0.0069658241655012,-0.09281481066136452,True,True,26.267893682757553,8,3.725290298461914e-09
episode_48,148,149,-0.0018697932650374675,0.008199179233245939,-0.11962480883800466,True,True,0.46284282207489014,1,3.725290298461914e-09
episode_49,159,160,0.006454125603630038,-0.0016923192525755068,0.08634248143952697,True,True,0.0,0,7.450580596923828e-09
