method,metric,source,target,mean,std,n
ramp,seg0__pos_rmse_mm,lift_late,diagonal_early,10.783460861972983,4.1747451588930735,20
ramp,seg0__pos_rmse_mm,lift_late,diagonal_late,10.783460861972983,4.1747451588930735,20
ramp,seg0__pos_rmse_mm,lift_late,lift_early,7.652118522638415,2.4512722375301674,20
ramp,seg0__pos_rmse_mm,lift_late,lift_late,7.460361616392997,2.4947107580754393,20
ramp,seg2__pos_rmse_mm,diagonal_early,diagonal_early,3.1544939333331046,1.0269143161614842,20
ramp,seg2__pos_rmse_mm,diagonal_early,diagonal_late,3.183787727202679,1.1009855132556419,20
ramp,seg2__pos_rmse_mm,diagonal_early,lift_early,3.344107735669005,1.2006135414922168,20
ramp,seg2__pos_rmse_mm,diagonal_early,lift_late,3.000105712077013,0.8748504472992897,20
ramp,seg2__pos_rmse_mm,diagonal_late,diagonal_early,3.1544939333331046,1.0269143161614842,20
ramp,seg2__pos_rmse_mm,diagonal_late,diagonal_late,3.183787727202679,1.1009855132556419,20
ramp,seg2__pos_rmse_mm,diagonal_late,lift_early,3.344107735669005,1.2006135414922168,20
ramp,seg2__pos_rmse_mm,diagonal_late,lift_late,3.000105712077013,0.8748504472992897,20
ramp,seg2__pos_rmse_mm,lift_early,diagonal_early,3.1544939333331046,1.0269143161614842,20
ramp,seg2__pos_rmse_mm,lift_early,diagonal_late,3.183787727202679,1.1009855132556419,20
ramp,seg2__pos_rmse_mm,lift_early,lift_early,3.344107735669005,1.2006135414922168,20
ramp,seg2__pos_rmse_mm,lift_early,lift_late,3.000105712077013,0.8748504472992897,20
ramp,seg2__pos_rmse_mm,lift_late,diagonal_early,3.1544939333331046,1.0269143161614842,20
ramp,seg2__pos_rmse_mm,lift_late,diagonal_late,3.183787727202679,1.1009855132556419,20
ramp,seg2__pos_rmse_mm,lift_late,lift_early,3.344107735669005,1.2006135414922168,20
ramp,seg2__pos_rmse_mm,lift_late,lift_late,3.000105712077013,0.8748504472992897,20
rigid,overall__pos_rmse_mm,diagonal_early,diagonal_early,20.045072273405886,6.1896838901157265,20
rigid,overall__pos_rmse_mm,diagonal_early,diagonal_late,19.21067187332369,5.736891355084516,20
rigid,overall__pos_rmse_mm,diagonal_early,lift_early,21.326848909309625,6.268745020840114,20
rigid,overall__pos_rmse_mm,diagonal_early,lift_late,19.864946440154803,6.338569455664711,20
rigid,overall__pos_rmse_mm,diagonal_late,diagonal_early,20.045072273405886,6.1896838901157265,20
rigid,overall__pos_rmse_mm,diagonal_late,diagonal_late,19.21067187332369,5.736891355084516,20
rigid,overall__pos_rmse_mm,diagonal_late,lift_early,21.326848909309625,6.268745020840114,20
rigid,overall__pos_rmse_mm,diagonal_late,lift_late,19.864946440154803,6.338569455664711,20
rigid,overall__pos_rmse_mm,lift_early,diagonal_early,20.045072273405886,6.1896838901157265,20
rigid,overall__pos_rmse_mm,lift_early,diagonal_late,19.21067187332369,5.736891355084516,20
rigid,overall__pos_rmse_mm,lift_early,lift_early,21.326848909309625,6.268745020840114,20
rigid,overall__pos_rmse_mm,lift_early,lift_late,19.864946440154803,6.338569455664711,20
rigid,overall__pos_rmse_mm,lift_late,diagonal_early,20.045072273405886,6.1896838901157265,20
rigid,overall__pos_rmse_mm,lift_late,diagonal_late,19.21067187332369,5.736891355084516,20
rigid,overall__pos_rmse_mm,lift_late,lift_early,21.326848909309625,6.268745020840114,20
rigid,overall__pos_rmse_mm,lift_late,lift_late,19.864946440154803,6.338569455664711,20
rigid,overall__axis_rmse_deg,diagonal_early,diagonal_early,5.010107782041913,1.6115576632515007,20
rigid,overall__axis_rmse_deg,diagonal_early,diagonal_late,5.622485083889541,1.8162089103943504,20
rigid,overall__axis_rmse_deg,diagonal_early,lift_early,5.134776799268328,1.5762245923656288,20
rigid,overall__axis_rmse_deg,diagonal_early,lift_late,5.639368582507922,1.8405007505530684,20
rigid,overall__axis_rmse_deg,diagonal_late,diagonal_early,5.010107782041913,1.6115576632515007,20
rigid,overall__axis_rmse_deg,diagonal_late,diagonal_late,5.622485083889541,1.8162089103943504,20
rigid,overall__axis_rmse_deg,diagonal_late,lift_early,5.134776799268328,1.5762245923656288,20
rigid,overall__axis_rmse_deg,diagonal_late,lift_late,5.639368582507922,1.8405007505530684,20
rigid,overall__axis_rmse_deg,lift_early,diagonal_early,5.010107782041913,1.6115576632515007,20
rigid,overall__axis_rmse_deg,lift_early,diagonal_late,5.622485083889541,1.8162089103943504,20
rigid,overall__axis_rmse_deg,lift_early,lift_early,5.134776799268328,1.5762245923656288,20
rigid,overall__axis_rmse_deg,lift_early,lift_late,5.639368582507922,1.8405007505530684,20
rigid,overall__axis_rmse_deg,lift_late,diagonal_early,5.010107782041913,1.6115576632515007,20
rigid,overall__axis_rmse_deg,lift_late,diagonal_late,5.622485083889541,1.8162089103943504,20
rigid,overall__axis_rmse_deg,lift_late,lift_early,5.134776799268328,1.5762245923656288,20
rigid,overall__axis_rmse_deg,lift_late,lift_late,5.639368582507922,1.8405007505530684,20
rigid,terminal__pos_rmse_mm,diagonal_early,diagonal_early,1.4667869726563545,0.5969134270236742,20
rigid,terminal__pos_rmse_mm,diagonal_early,diagonal_late,1.355725587016069,0.7432811103258694,20
rigid,terminal__pos_rmse_mm,diagonal_early,lift_early,1.8662329856281428,1.0556082290088378,20
rigid,terminal__pos_rmse_mm,diagonal_early,lift_late,1.2022793172989494,0.465029768019698,20
rigid,terminal__pos_rmse_mm,diagonal_late,diagonal_early,1.4667869726563545,0.5969134270236742,20
rigid,terminal__pos_rmse_mm,diagonal_late,diagonal_late,1.355725587016069,0.7432811103258694,20
rigid,terminal__pos_rmse_mm,diagonal_late,lift_early,1.8662329856281428,1.0556082290088378,20
rigid,terminal__pos_rmse_mm,diagonal_late,lift_late,1.2022793172989494,0.465029768019698,20
rigid,terminal__pos_rmse_mm,lift_early,diagonal_early,1.4667869726563545,0.5969134270236742,20
rigid,terminal__pos_rmse_mm,lift_early,diagonal_late,1.355725587016069,0.7432811103258694,20
rigid,terminal__pos_rmse_mm,lift_early,lift_early,1.8662329856281428,1.0556082290088378,20
rigid,terminal__pos_rmse_mm,lift_early,lift_late,1.2022793172989494,0.465029768019698,20
rigid,terminal__pos_rmse_mm,lift_late,diagonal_early,1.4667869726563545,0.5969134270236742,20
rigid,terminal__pos_rmse_mm,lift_late,diagonal_late,1.355725587016069,0.7432811103258694,20
rigid,terminal__pos_rmse_mm,lift_late,lift_early,1.8662329856281428,1.0556082290088378,20
rigid,terminal__pos_rmse_mm,lift_late,lift_late,1.2022793172989494,0.465029768019698,20
rigid,terminal__axis_rmse_deg,diagonal_early,diagonal_early,1.6896884162895112,0.8935448691072977,20
rigid,terminal__axis_rmse_deg,diagonal_early,diagonal_late,0.4151621083651175,0.5252769183166189,20
rigid,terminal__axis_rmse_deg,diagonal_early,lift_early,2.247650290453751,1.4775153689684097,20
rigid,terminal__axis_rmse_deg,diagonal_early,lift_late,0.5131234206846027,0.8172193248587245,20
rigid,terminal__axis_rmse_deg,diagonal_late,diagonal_early,1.6896884162895112,0.8935448691072977,20
rigid,terminal__axis_rmse_deg,diagonal_late,diagonal_late,0.4151621083651175,0.5252769183166189,20
rigid,terminal__axis_rmse_deg,diagonal_late,lift_early,2.247650290453751,1.4775153689684097,20
rigid,terminal__axis_rmse_deg,diagonal_late,lift_late,0.5131234206846027,0.8172193248587245,20
rigid,terminal__axis_rmse_deg,lift_early,diagonal_early,1.6896884162895112,0.8935448691072977,20
rigid,terminal__axis_rmse_deg,lift_early,diagonal_late,0.4151621083651175,0.5252769183166189,20
rigid,terminal__axis_rmse_deg,lift_early,lift_early,2.247650290453751,1.4775153689684097,20
rigid,terminal__axis_rmse_deg,lift_early,lift_late,0.5131234206846027,0.8172193248587245,20
rigid,terminal__axis_rmse_deg,lift_late,diagonal_early,1.6896884162895112,0.8935448691072977,20
rigid,terminal__axis_rmse_deg,lift_late,diagonal_late,0.4151621083651175,0.5252769183166189,20
rigid,terminal__axis_rmse_deg,lift_late,lift_early,2.247650290453751,1.4775153689684097,20
rigid,terminal__axis_rmse_deg,lift_late,lift_late,0.5131234206846027,0.8172193248587245,20
rigid,seg0__pos_rmse_mm,diagonal_early,diagonal_early,30.694063758568053,10.188488676887719,20
rigid,seg0__pos_rmse_mm,diagonal_early,diagonal_late,30.694063758568053,10.188488676887719,20
rigid,seg0__pos_rmse_mm,diagonal_early,lift_early,32.210716857023094,10.665591181705237,20
rigid,seg0__pos_rmse_mm,diagonal_early,lift_late,32.177970694150254,10.62605864199835,20
rigid,seg0__pos_rmse_mm,diagonal_late,diagonal_early,30.694063758568053,10.188488676887719,20
rigid,seg0__pos_rmse_mm,diagonal_late,diagonal_late,30.694063758568053,10.188488676887719,20
rigid,seg0__pos_rmse_mm,diagonal_late,lift_early,32.210716857023094,10.665591181705237,20
rigid,seg0__pos_rmse_mm,diagonal_late,lift_late,32.177970694150254,10.62605864199835,20
rigid,seg0__pos_rmse_mm,lift_early,diagonal_early,30.694063758568053,10.188488676887719,20
rigid,seg0__pos_rmse_mm,lift_early,diagonal_late,30.694063758568053,10.188488676887719,20
rigid,seg0__pos_rmse_mm,lift_early,lift_early,32.210716857023094,10.665591181705237,20
rigid,seg0__pos_rmse_mm,lift_early,lift_late,32.177970694150254,10.62605864199835,20
rigid,seg0__pos_rmse_mm,lift_late,diagonal_early,30.694063758568053,10.188488676887719,20
rigid,seg0__pos_rmse_mm,lift_late,diagonal_late,30.694063758568053,10.188488676887719,20
rigid,seg0__pos_rmse_mm,lift_late,lift_early,32.210716857023094,10.665591181705237,20
rigid,seg0__pos_rmse_mm,lift_late,lift_late,32.177970694150254,10.62605864199835,20
rigid,seg2__pos_rmse_mm,diagonal_early,diagonal_early,1.905766918132548,0.9213938850251171,20
rigid,seg2__pos_rmse_mm,diagonal_early,diagonal_late,1.9249273409588283,0.9083586230239593,20
rigid,seg2__pos_rmse_mm,diagonal_early,lift_early,2.0309197553192324,1.1519844094797922,20
rigid,seg2__pos_rmse_mm,diagonal_early,lift_late,1.711992472369083,0.8668374415073892,20
rigid,seg2__pos_rmse_mm,diagonal_late,diagonal_early,1.905766918132548,0.9213938850251171,20
rigid,seg2__pos_rmse_mm,diagonal_late,diagonal_late,1.9249273409588283,0.9083586230239593,20
rigid,seg2__pos_rmse_mm,diagonal_late,lift_early,2.0309197553192324,1.1519844094797922,20
