basis,phase,output,input,mean,sd_across_fits
rotated-1,enter,dv,yaw,0.01457769707721046,0.004299516610798072
rotated-1,enter,dw,du,-0.004094514749605455,0.014080238588029061
rotated-1,enter,dw,dv,-0.0013977937121909861,0.008739261375506076
rotated-1,enter,dw,dw,1.0024691488165356,0.0074769276565163755
rotated-1,enter,dw,roll,0.0005272299833401005,0.026372332899407623
rotated-1,enter,dw,pitch,-0.0008142683409062047,0.019082519924897894
rotated-1,enter,dw,yaw,-0.006502447905599803,0.010933791736083616
rotated-1,enter,roll,du,-1.7548403557804116e-05,0.0008744606647145464
rotated-1,enter,roll,dv,-0.00013088469334275585,0.0006929619973972601
rotated-1,enter,roll,dw,0.0006350809836249708,0.0005167439410749691
rotated-1,enter,roll,roll,0.9991721524411563,0.0008232231894242097
rotated-1,enter,roll,pitch,0.001082838208724085,0.001007626239025778
rotated-1,enter,roll,yaw,0.0033096260828971856,0.0010823014254665016
rotated-1,enter,pitch,du,-0.00020659611729500083,0.0005855404351458759
rotated-1,enter,pitch,dv,-4.2748739289637766e-05,0.0005003412008672195
rotated-1,enter,pitch,dw,-0.00016500576193832176,0.0003422602152010355
rotated-1,enter,pitch,roll,-0.0017922357880286535,0.0018929299725719598
rotated-1,enter,pitch,pitch,1.0009164410373765,0.0013289447203852316
rotated-1,enter,pitch,yaw,-0.0005530048799596119,0.0013463133454903536
rotated-1,enter,yaw,du,0.0005046606625625041,0.0006969217393645164
rotated-1,enter,yaw,dv,0.0003153520160045275,0.0006862835600998909
rotated-1,enter,yaw,dw,-0.00012846654273685178,0.0003989178854345515
rotated-1,enter,yaw,roll,-0.0002825330638937375,0.0009007790666962237
rotated-1,enter,yaw,pitch,0.00017391672414075342,0.002387511069555886
rotated-1,enter,yaw,yaw,0.9989119260233912,0.00041231764084690147
rotated-1,unlock,du,du,0.9966375319253667,0.014608867594277536
rotated-1,unlock,du,dv,0.015644458378879074,0.019507828980546527
rotated-1,unlock,du,dw,-0.011711467057106203,0.013617064791920512
rotated-1,unlock,du,roll,0.020150456899986,0.026421686606601158
rotated-1,unlock,du,pitch,0.03139200746271406,0.018534694930717514
