panel,condition,sample_size,fit_count,generator,phase,mean_relevance,std_relevance,displayed_in_figure
c,circular_symmetry,30,18,dv,insert,0.99278505530845,0.029919299129493076,False
c,circular_symmetry,30,18,dw,align,0.6062015155274935,0.10081542982780904,False
c,circular_symmetry,30,18,dw,enter,0.9997352623415569,0.007481753063144456,False
c,circular_symmetry,30,18,dw,unlock,0.9946737296976943,0.01839146940196554,False
c,circular_symmetry,30,18,dw,insert,1.000290706418865,0.01633172718411026,False
c,circular_symmetry,30,18,roll,align,0.6486640099935408,0.01368962246241623,False
c,circular_symmetry,30,18,roll,enter,0.964189046232176,0.017849663446678952,False
c,circular_symmetry,30,18,roll,unlock,0.9607338701189359,0.018219690467599893,False
c,circular_symmetry,30,18,roll,insert,0.9655148417891287,0.01821840386755117,False
c,circular_symmetry,30,18,pitch,align,0.6398183959536534,0.013497318484937798,False
c,circular_symmetry,30,18,pitch,enter,1.0113426227809337,0.017844289521236324,False
c,circular_symmetry,30,18,pitch,unlock,1.0106065433821692,0.01973198758029855,False
c,circular_symmetry,30,18,pitch,insert,1.012829478583793,0.020097858914195136,False
c,circular_symmetry,30,18,yaw,align,0.10400885180378532,0.011381529370236902,True
c,circular_symmetry,30,18,yaw,enter,0.13931788814954305,0.01648019408375486,True
c,circular_symmetry,30,18,yaw,unlock,0.0985302548180409,0.01363553456323188,True
c,circular_symmetry,30,18,yaw,insert,0.09642397385151319,0.013489376098174665,True
d,heading_push,30,18,du,reach,6.115756220166169e-05,0.00014041551963840375,False
d,heading_push,30,18,du,push,0.6049001435395817,0.18042008659902065,False
d,heading_push,30,18,du,align,0.9701020621860142,0.05267301441737913,False
d,heading_push,30,18,du,retract,0.9884135223528356,0.05259674456544727,False
d,heading_push,30,18,dv,reach,0.0016519742040084855,0.002284133305271088,False
d,heading_push,30,18,dv,push,0.45966765275729604,0.042459431504290185,False
d,heading_push,30,18,dv,align,0.9982561069910862,0.04578622307728241,False
d,heading_push,30,18,dv,retract,0.9839409628519324,0.054573162492451054,False
d,heading_push,30,18,dw,reach,1.815286877972723e-06,4.265755342300199e-06,False
d,heading_push,30,18,dw,push,0.008008118719486649,0.007028832010186092,False
d,heading_push,30,18,dw,align,0.012233739396688387,0.010067625273806172,False
d,heading_push,30,18,dw,retract,0.008696988684936355,0.016176177168256044,False
d,heading_push,30,18,roll,reach,5.260529162454879e-05,0.0001439648745549874,False
d,heading_push,30,18,roll,push,0.008481501665708976,0.0073727957050094255,False
d,heading_push,30,18,roll,align,0.011769017742455862,0.011856642095240481,False
d,heading_push,30,18,roll,retract,0.016049938961492243,0.014143108715341603,False
d,heading_push,30,18,pitch,reach,9.869511635087073e-07,2.591292193440911e-06,False
d,heading_push,30,18,pitch,push,0.02749808576806477,0.03390554303102363,False
d,heading_push,30,18,pitch,align,0.02133283442664939,0.028601899246941592,False
d,heading_push,30,18,pitch,retract,0.02574518832875787,0.028181260721656606,False
d,heading_push,30,18,yaw,reach,9.396469483623692e-05,0.00014971378694199876,True
d,heading_push,30,18,yaw,push,0.01046990578761322,0.015238269005329543,True
d,heading_push,30,18,yaw,align,0.3755899413954626,0.02636156266646197,True
d,heading_push,30,18,yaw,retract,0.7068608717973139,0.020057991761369957,True
d,free_yaw_push,30,18,du,reach,5.629160233517857e-05,9.664974825188579e-05,False
d,free_yaw_push,30,18,du,push,0.5343795234826451,0.013614127687468088,False
d,free_yaw_push,30,18,du,align,1.007583210555533,0.014544520774067447,False
d,free_yaw_push,30,18,du,retract,1.0075802476335944,0.01453181430220912,False
d,free_yaw_push,30,18,dv,reach,0.0013341982011605574,0.002389923457401798,False
d,free_yaw_push,30,18,dv,push,0.3841882629601714,0.036479191163579346,False
d,free_yaw_push,30,18,dv,align,0.9949311265767358,0.04425494537602742,False
d,free_yaw_push,30,18,dv,retract,0.9949574976091949,0.04424840592805063,False
d,free_yaw_push,30,18,dw,reach,1.2197347103615647e-07,3.068351501813053e-07,False
d,free_yaw_push,30,18,dw,push,0.0038462222473737606,0.0034165020056077413,False
d,free_yaw_push,30,18,dw,align,0.006048750569292466,0.004661080714861291,False
d,free_yaw_push,30,18,dw,retract,0.00605224531889537,0.004667168550821908,False
d,free_yaw_push,30,18,roll,reach,0.00015698520796066648,0.0001823078359696562,False
d,free_yaw_push,30,18,roll,push,0.007844537653269208,0.0070929080295059396,False
d,free_yaw_push,30,18,roll,align,0.007969902659835177,0.010146470028055786,False
d,free_yaw_push,30,18,roll,retract,0.007973486560513492,0.01015211951767626,False
d,free_yaw_push,30,18,pitch,reach,1.1890322065450813e-06,2.061601181996026e-06,False
d,free_yaw_push,30,18,pitch,push,0.005040098070885438,0.0028336290511739295,False
d,free_yaw_push,30,18,pitch,align,0.01879510404027377,0.013454092485005346,False
d,free_yaw_push,30,18,pitch,retract,0.01878950777917883,0.013459324030991246,False
d,free_yaw_push,30,18,yaw,reach,0.00017037779265556763,0.0002462117960066378,True
d,free_yaw_push,30,18,yaw,push,0.013736331741790411,0.01120670030974494,True
d,free_yaw_push,30,18,yaw,align,0.049447502010449194,0.0339753693753653,True
d,free_yaw_push,30,18,yaw,retract,0.04943629391558654,0.033962455379665524,True
