condition,progress,mean,sd
keyed,0.7708333333333334,0.09473560234790314,0.02958421692199578
keyed,0.78125,0.09801965327283745,0.027397195816603947
keyed,0.7916666666666666,0.09833750852382654,0.027703014678157313
keyed,0.8020833333333334,0.09670809742201966,0.027494302394868324
keyed,0.8125,0.09524695350199547,0.027914276846881417
keyed,0.8229166666666666,0.09460073719513855,0.02796674624826211
keyed,0.8333333333333334,0.0947551934414172,0.02749875035633329
keyed,0.84375,0.09544174318993555,0.027008580234273563
keyed,0.8541666666666666,0.09615734390845385,0.02675826809396037
keyed,0.8645833333333334,0.0996216333078318,0.01547976909979179
keyed,0.875,0.10148891423001222,0.012388499899738007
keyed,0.8854166666666666,0.09849963793556775,0.015404006739201654
keyed,0.8958333333333333,0.09682547203843973,0.017634859459277733
keyed,0.90625,0.09668168360721795,0.016031744317770283
keyed,0.9166666666666666,0.09745543006896971,0.01353402002787012
keyed,0.9270833333333333,0.09782464635727191,0.012547171971409789
keyed,0.9375,0.09698080986483508,0.012529705802173535
keyed,0.9479166666666666,0.09555642044098368,0.01421137721107129
keyed,0.9583333333333333,0.09428515914859682,0.015382572110668005
keyed,0.96875,0.09357592425168533,0.015143068810550943
keyed,0.9791666666666666,0.09359277522551313,0.014487796940275502
keyed,0.9895833333333333,0.09318248334724578,0.013964505550730347
keyed,1.0,0.0905645266938801,0.015211718112536852
circular_honest,0.0,0.0004446880455462375,0.0005601610792716566
circular_honest,0.010416666666666666,0.0003506070479015158,0.0006023389670844406
circular_honest,0.020833333333333332,0.0003865668740441143,0.0007063956725447155
circular_honest,0.03125,0.00046341553513020773,0.0008200337048866236
circular_honest,0.041666666666666664,0.0006120824854013408,0.0010024494536274955
circular_honest,0.05208333333333333,0.0008857035483288846,0.0013607992329898858
circular_honest,0.0625,0.001394610201021578,0.0020216996517282613
circular_honest,0.07291666666666666,0.0024155116613277855,0.0032058840144580927
circular_honest,0.08333333333333333,0.004643339469156883,0.005360505312732146
circular_honest,0.09375,0.009720247165405682,0.009262326454690141
circular_honest,0.10416666666666666,0.020921324824022425,0.015994594440833915
circular_honest,0.11458333333333333,0.043434284509544924,0.025226324256083132
circular_honest,0.125,0.08150420509654631,0.03216381817157046
circular_honest,0.13541666666666666,0.12906931680326364,0.03363014694735714
circular_honest,0.14583333333333331,0.17215678334407236,0.032350835822585196
circular_honest,0.15625,0.2028349190856755,0.029814506471689418
circular_honest,0.16666666666666666,0.22107236246641826,0.02646592504401358
circular_honest,0.17708333333333331,0.2297410846521054,0.023657044057061323
circular_honest,0.1875,0.23154570508438382,0.021780135300182583
circular_honest,0.19791666666666666,0.22841316366174869,0.020401224825076794
circular_honest,0.20833333333333331,0.22179111014026207,0.019498320932752545
circular_honest,0.21875,0.21298095646717197,0.019088145028679126
circular_honest,0.22916666666666666,0.20329478939219092,0.01885844234924666
circular_honest,0.23958333333333331,0.19400729105986095,0.018634019847065725
circular_honest,0.25,0.18613722647410186,0.01850334251078138
circular_honest,0.25,0.18613722647410186,0.01850334251078138
circular_honest,0.2604166666666667,0.18020294050655486,0.018499648766740612
circular_honest,0.2708333333333333,0.17611165387922778,0.018512119718665693
circular_honest,0.28125,0.17323634713890745,0.018466199002157
circular_honest,0.2916666666666667,0.17064890393854826,0.018404417408553253
circular_honest,0.3020833333333333,0.16745610548650508,0.018371975406450285
circular_honest,0.3125,0.16314517569643214,0.018313166516659297
circular_honest,0.32291666666666663,0.15778327101474676,0.018137977399524607
circular_honest,0.3333333333333333,0.15194485990893944,0.017830977672779094
circular_honest,0.34375,0.14640433338408446,0.01744928414269763
circular_honest,0.35416666666666663,0.14178065170422546,0.017067583792414125
circular_honest,0.3645833333333333,0.13830960500669442,0.016753382691106843
circular_honest,0.375,0.13580210263211517,0.01655108642335336
