seed,subset_id,model,episode,generator,task_error_mm_equiv,task_endpoint_error_mm_equiv
20260818,97,Full operator,episode_4,yaw,5.333794937665259,0.11948961378350935
20260818,97,Full operator,episode_5,translation,2.9035674555322237,0.45745029211043037
20260818,97,Full operator,episode_7,translation,5.724031274724509,0.06031540208262014
20260818,97,Full operator,episode_8,translation,11.158017703800557,1.260805214309037
20260818,97,Full operator,episode_9,translation,15.51576938327904,0.04196298214026834
20260818,97,Generic RBF,episode_0,yaw,4.848337333612436,4.4090924665104065
20260818,97,Generic RBF,episode_1,yaw,5.367735184974854,4.468906877455707
20260818,97,Generic RBF,episode_3,yaw,7.216981253281845,4.682424114573225
20260818,97,Generic RBF,episode_4,yaw,7.171991535600941,4.798941303909967
20260818,97,Generic RBF,episode_5,translation,4.289362151476132,3.4163816038944823
20260818,97,Generic RBF,episode_7,translation,7.831864698041819,5.738323882374256
20260818,97,Generic RBF,episode_8,translation,11.671469299096152,4.891226365905163
20260818,97,Generic RBF,episode_9,translation,17.362991644412336,4.520741153707813
20260818,98,Pdiag finite,episode_0,yaw,3.143270238177985,0.2664735860500059
20260818,98,Pdiag finite,episode_1,yaw,1.2747239214771444,0.3816901941261623
20260818,98,Pdiag finite,episode_3,yaw,1.887702431855105,0.3298697248994289
20260818,98,Pdiag finite,episode_4,yaw,1.5729729447736454,0.24387500453336958
20260818,98,Pdiag finite,episode_5,translation,1.1745811723308615,0.38408357177182934
20260818,98,Pdiag finite,episode_7,translation,1.8987293847521252,0.729865709803307
20260818,98,Pdiag finite,episode_8,translation,1.3918694634758566,0.9044237698730645
20260818,98,Pdiag finite,episode_9,translation,0.7894742560559653,0.5545750991181102
20260818,98,Full operator,episode_0,yaw,0.9399755907965713,0.1858283573277037
20260818,98,Full operator,episode_1,yaw,0.5127217014827253,0.019656266707818178
20260818,98,Full operator,episode_3,yaw,1.0229610547655528,0.16884520215897875
20260818,98,Full operator,episode_4,yaw,3.50599689340804,0.4082109359303258
20260818,98,Full operator,episode_5,translation,2.1430633744041776,0.1802263072921781
20260818,98,Full operator,episode_7,translation,2.81120926795994,0.27225713289618286
20260818,98,Full operator,episode_8,translation,1.4215942474580823,0.7388044327386062
20260818,98,Full operator,episode_9,translation,0.9011665561795793,0.08002393088915583
20260818,98,Generic RBF,episode_0,yaw,1.001634487736175,0.16816301823058918
20260818,98,Generic RBF,episode_1,yaw,0.5614841276690357,0.07262297361608659
20260818,98,Generic RBF,episode_3,yaw,1.0478531701326228,0.2850523743467671
20260818,98,Generic RBF,episode_4,yaw,3.54610558215124,0.5116138405823547
20260818,98,Generic RBF,episode_5,translation,2.160260631194474,0.1461091880950198
20260818,98,Generic RBF,episode_7,translation,2.8391587671038083,0.426540745632791
20260818,98,Generic RBF,episode_8,translation,1.4328984019367288,0.6991202003325148
20260818,98,Generic RBF,episode_9,translation,0.9254582911413636,0.23318402820010833
20260818,99,Pdiag finite,episode_0,yaw,2.1072995887619355,0.4490397236764417
20260818,99,Pdiag finite,episode_1,yaw,0.7656851762263394,0.5276985173067064
20260818,99,Pdiag finite,episode_3,yaw,2.5627278905574893,0.500708093365435
20260818,99,Pdiag finite,episode_4,yaw,1.4604141307760747,0.4533601939138477
20260818,99,Pdiag finite,episode_5,translation,1.7531979087338478,1.8306713854340686
20260818,99,Pdiag finite,episode_7,translation,2.3977120523623507,0.8936776612029754
20260818,99,Pdiag finite,episode_8,translation,2.6074223306450794,1.9689955614217345
20260818,99,Pdiag finite,episode_9,translation,1.864465147963034,0.750564361761761
20260818,99,Full operator,episode_0,yaw,1.591641838469974,0.13472437511947905
20260818,99,Full operator,episode_1,yaw,0.4903879974743721,0.1582641223416234
20260818,99,Full operator,episode_3,yaw,2.1037142961327135,0.23483352340909724
20260818,99,Full operator,episode_4,yaw,0.9141451180356088,0.11040018148556179
20260818,99,Full operator,episode_5,translation,1.2415182596946714,0.39036799419870033
20260818,99,Full operator,episode_7,translation,2.0644892463731894,0.07923434547687692
20260818,99,Full operator,episode_8,translation,1.9658860377448184,1.1808930012567809
20260818,99,Full operator,episode_9,translation,1.7329578283771039,0.08628219322238741
20260818,99,Generic RBF,episode_0,yaw,1.6722936952794967,0.33111621198762065
20260818,99,Generic RBF,episode_1,yaw,0.609618618176641,0.3541461840854841
20260818,99,Generic RBF,episode_3,yaw,2.2045289141224766,0.4801359564240606
20260818,99,Generic RBF,episode_4,yaw,1.1067081579265357,0.4840127204745169
20260818,99,Generic RBF,episode_5,translation,1.280307121172616,0.4592353645503063
20260818,99,Generic RBF,episode_7,translation,2.082439709184667,0.44221171375070467
20260818,99,Generic RBF,episode_8,translation,1.9634933152986378,1.0430867519126568
20260818,99,Generic RBF,episode_9,translation,1.8715904655262015,0.5089019731321335
