mode,block,pitch_deg,split,sample,segment,response_ratio
lift_early,0,-5.0,test,7,0,-0.01032762319848187
lift_early,0,-5.0,test,8,0,-0.00841857320573706
lift_early,0,-5.0,test,9,0,-0.00920091389975047
lift_early,0,-5.0,test,10,0,-0.009448909684725107
lift_early,0,-5.0,test,11,0,-0.007638494365217995
lift_early,0,-5.0,test,12,0,-0.009851597310975357
lift_early,0,-5.0,test,13,0,-0.005207084987529654
lift_early,0,-5.0,test,14,0,-0.005850105339033766
lift_early,0,-5.0,test,15,0,-0.004217848106411908
lift_early,0,-5.0,test,16,0,-0.004137137795976379
lift_early,0,-5.0,test,17,0,-0.004540596117695054
lift_early,0,-5.0,test,18,0,-0.0009388565978807979
lift_early,0,-5.0,test,19,0,-0.003520018463526099
lift_early,0,-5.0,test,20,0,0.0025209563529753408
lift_early,0,-5.0,test,21,0,-0.031223553177900272
lift_early,0,-5.0,test,22,0,-0.09350638281909564
lift_early,0,-5.0,test,23,0,-0.16727484881468607
lift_early,0,-5.0,test,24,0,-0.21587121440724344
lift_early,0,-5.0,test,25,0,-0.4365735319286876
lift_early,0,-5.0,test,26,0,0.01155570015103567
lift_early,0,-5.0,test,27,0,0.07639573348424607
lift_early,0,-5.0,test,28,0,0.0825235020204085
lift_early,0,-5.0,test,29,0,0.10859215783444098
lift_early,0,-5.0,test,30,0,0.13831182302469783
lift_early,0,-5.0,test,31,0,0.15333886526545212
lift_early,0,-5.0,test,32,0,0.16882240760330813
lift_early,0,-5.0,test,33,0,0.16554586311777617
lift_early,0,-5.0,test,34,0,0.11939867538179945
lift_early,0,-5.0,test,35,0,0.06734502934189254
lift_early,0,-5.0,test,36,0,0.06851338983246914
lift_early,0,-5.0,test,37,0,0.05516765082685872
lift_early,0,-5.0,test,38,0,0.12874590025315819
lift_early,0,-5.0,test,39,0,0.13693154889098705
lift_early,0,-5.0,test,40,0,0.1469353344232093
lift_early,0,-5.0,test,41,0,0.15909239283625212
lift_early,0,-5.0,test,42,0,0.1781055099745344
lift_early,0,-5.0,test,43,0,0.18630431937376235
lift_early,0,-5.0,test,44,0,0.20628362362552144
lift_early,0,-5.0,test,45,0,0.21589441768202028
lift_early,0,-5.0,test,46,0,0.22905717743864615
lift_early,0,-5.0,test,47,0,0.23938533978662377
lift_early,0,-5.0,test,48,0,0.24682001856980257
lift_early,0,-5.0,test,49,0,0.2603406139810568
lift_early,0,-5.0,test,50,1,0.2603406139810568
lift_early,0,-5.0,test,51,1,0.2660701037751227
lift_early,0,-5.0,test,52,1,0.2698301898771197
lift_early,0,-5.0,test,53,1,0.2762601140923539
lift_early,0,-5.0,test,54,1,0.28129991603383847
lift_early,0,-5.0,test,55,1,0.2810990206448594
lift_early,0,-5.0,test,56,1,0.28082938704669397
lift_early,0,-5.0,test,57,1,0.28465102389942853
lift_early,0,-5.0,test,58,1,0.2973922180192874
lift_early,0,-5.0,test,59,1,0.3340212431958697
lift_early,0,-5.0,test,60,1,0.40021276795904354
lift_early,0,-5.0,test,61,1,0.4491474042375617
lift_early,0,-5.0,test,62,1,0.6232074139633594
lift_early,0,-5.0,test,63,1,0.6463743104066552
lift_early,0,-5.0,test,64,1,0.7421196514831843
lift_early,0,-5.0,test,65,1,0.8151194660033875
lift_early,0,-5.0,test,66,1,0.8591928689501229
lift_early,0,-5.0,test,67,1,0.8792754178059351
lift_early,0,-5.0,test,68,1,0.8832803792022943
lift_early,0,-5.0,test,69,1,0.8871059383709806
lift_early,0,-5.0,test,70,1,0.8892982451711748
lift_early,0,-5.0,test,71,1,0.8941864547072982
lift_early,0,-5.0,test,72,1,0.9004620241334653
lift_early,0,-5.0,test,73,1,0.9084335820717007
lift_early,0,-5.0,test,74,1,0.9179424446318712
lift_early,0,-5.0,test,75,1,0.9278105518446699
lift_early,0,-5.0,test,76,1,0.9403205068123628
lift_early,0,-5.0,test,77,1,0.9558799090937178
lift_early,0,-5.0,test,78,1,0.9692886315653342
lift_early,0,-5.0,test,79,1,0.9805075815588783
lift_early,0,-5.0,test,80,1,0.9875470457949556
lift_early,0,-5.0,test,81,1,0.988381995388376
lift_early,0,-5.0,test,82,1,0.9871921167701799
lift_early,0,-5.0,test,83,1,0.988993047475309
lift_early,0,-5.0,test,84,1,0.993342848041783
lift_early,0,-5.0,test,85,1,0.994208670959622
lift_early,0,-5.0,test,86,1,0.9910061855940764
lift_early,0,-5.0,test,87,1,0.9878629487548285
lift_early,0,-5.0,test,88,1,0.985033120534815
lift_early,0,-5.0,test,89,1,0.9830962183306152
lift_early,0,-5.0,test,90,1,0.9819466549879887
lift_early,0,-5.0,test,91,1,0.9831414047165288
lift_early,0,-5.0,test,92,1,0.9889314973173354
lift_early,0,-5.0,test,93,1,0.9906726804488469
lift_early,0,-5.0,test,94,1,0.9864239995170584
lift_early,0,-5.0,test,95,1,0.9830162546292861
lift_early,0,-5.0,test,96,1,0.9867914344466623
lift_early,0,-5.0,test,97,1,0.9905022329376475
lift_early,0,-5.0,test,98,1,0.9861876961863685
lift_early,0,-5.0,test,99,1,0.9818752596630416
lift_early,0,-5.0,test,100,2,0.9818752596630416
lift_early,0,-5.0,test,101,2,0.983391984304259
lift_early,0,-5.0,test,102,2,0.9849060983351297
lift_early,0,-5.0,test,103,2,0.986417601397451
lift_early,0,-5.0,test,104,2,0.9879264931342531
lift_early,0,-5.0,test,105,2,0.989432773189798
lift_early,0,-5.0,test,106,2,0.9899809638039505
