success,depth,lateral_mm,axis_err_deg,steps,solver_error,source,target,block,theta_deg,method,endpoint_pass
False,0.09411047070492767,19.99242514152509,0.4912600753926977,658,,lift_early,diagonal_late,0,-5.0,no_adapt,False
True,0.07127166093867895,1.5962405050261517,1.7284649602797633,630,EpisodeFinished,lift_early,diagonal_late,0,-5.0,rigid,True
False,0.12425490057372177,3.8046631163033355,0.07941364231427961,526,RuntimeError('Fail to parameterize path'),lift_early,diagonal_late,0,-5.0,source,False
True,0.07083838815779325,1.8093871679194686,0.4715880633660032,636,EpisodeFinished,lift_early,diagonal_late,0,-5.0,target,True
True,0.07070413556492153,2.361793714540904,3.767485815515313,616,EpisodeFinished,lift_early,diagonal_late,0,5.0,no_adapt,False
True,0.07079953809755025,1.548590796029328,1.6180983880807602,612,EpisodeFinished,lift_early,diagonal_late,0,5.0,rigid,True
True,0.07079336598600641,1.5490226403849596,1.6171611580605876,625,EpisodeFinished,lift_early,diagonal_late,0,5.0,source,True
True,0.07072652898335845,1.6310094812782863,1.9265015995092287,611,EpisodeFinished,lift_early,diagonal_late,0,5.0,target,True
False,0.09413788266966105,19.908140867609713,0.6820873965923617,667,,lift_early,diagonal_late,0,-10.0,no_adapt,False
True,0.07109920704470335,1.8212451131890846,0.3312636944979424,654,EpisodeFinished,lift_early,diagonal_late,0,-10.0,rigid,True
True,0.07117582190393648,1.8877576854650397,0.45708645118015545,654,EpisodeFinished,lift_early,diagonal_late,0,-10.0,source,True
True,0.0712246808943772,1.9118202686650818,0.548260992224216,651,EpisodeFinished,lift_early,diagonal_late,0,-10.0,target,True
True,0.0718685389492157,0.9213526575775784,3.4095085574823627,625,EpisodeFinished,lift_early,diagonal_late,0,10.0,no_adapt,False
True,0.0713878889384472,1.8467254292045538,0.4420415988314536,619,EpisodeFinished,lift_early,diagonal_late,0,10.0,rigid,True
True,0.07134493482805714,1.7995843473930366,0.4142206641968314,624,EpisodeFinished,lift_early,diagonal_late,0,10.0,source,True
True,0.07124308033228463,1.834597114864597,0.6313727083964882,615,EpisodeFinished,lift_early,diagonal_late,0,10.0,target,True
False,0.09436141738642198,19.133806645269868,1.684445991904618,661,,lift_early,diagonal_late,1,-5.0,no_adapt,False
True,0.07106837438201502,1.5894654047829417,0.31805544266446,646,EpisodeFinished,lift_early,diagonal_late,1,-5.0,rigid,True
True,0.07107097228331256,1.5928858062528573,0.3297771678581126,642,EpisodeFinished,lift_early,diagonal_late,1,-5.0,source,True
True,0.07105845635984188,1.5814683904048847,0.3047656020869077,632,EpisodeFinished,lift_early,diagonal_late,1,-5.0,target,True
True,0.07146208697856994,1.3870810770976918,3.0463597790306554,620,EpisodeFinished,lift_early,diagonal_late,1,5.0,no_adapt,False
True,0.07045316243772613,1.5579448226342392,0.5682900417176024,626,EpisodeFinished,lift_early,diagonal_late,1,5.0,rigid,True
True,0.0703174481859022,1.5010182864608383,0.27433830995369096,627,EpisodeFinished,lift_early,diagonal_late,1,5.0,source,True
True,0.07038016548824214,1.4630677417644593,0.3040727380925481,616,EpisodeFinished,lift_early,diagonal_late,1,5.0,target,True
False,0.09418395187581245,19.474042363890838,0.8306909685906829,670,,lift_early,diagonal_late,1,-10.0,no_adapt,False
True,0.07165625607547604,1.6785442408980367,0.3681191551354932,661,EpisodeFinished,lift_early,diagonal_late,1,-10.0,rigid,True
True,0.07138459441452903,1.8046202813949428,0.2610241635076469,642,EpisodeFinished,lift_early,diagonal_late,1,-10.0,source,True
True,0.07159929487000485,1.6745699083235743,0.3162883446601308,649,EpisodeFinished,lift_early,diagonal_late,1,-10.0,target,True
True,0.0718928500688215,1.2052438987864296,4.967046753122088,629,EpisodeFinished,lift_early,diagonal_late,1,10.0,no_adapt,False
True,0.0697226632262495,1.4238900159043164,2.1214689224804197,632,EpisodeFinished,lift_early,diagonal_late,1,10.0,rigid,True
True,0.07159615360502689,1.6081806970522574,0.31794671992669515,638,EpisodeFinished,lift_early,diagonal_late,1,10.0,source,True
True,0.07159481069981594,1.6451908575787022,0.35459191212343005,625,EpisodeFinished,lift_early,diagonal_late,1,10.0,target,True
False,0.09421642227975638,19.536837207559305,0.9861408980974427,651,,lift_early,diagonal_late,2,-5.0,no_adapt,False
True,0.07064204653821177,1.6562939499910396,0.26128728587325106,634,EpisodeFinished,lift_early,diagonal_late,2,-5.0,rigid,True
True,0.07102464895147902,1.7684285220109013,0.3748755729263845,634,EpisodeFinished,lift_early,diagonal_late,2,-5.0,source,True
False,0.12212087697079502,3.6549976309057457,0.3296011304044261,502,RuntimeError('Fail to parameterize path'),lift_early,diagonal_late,2,-5.0,target,False
True,0.07146173169453097,2.636419722899558,8.128486895374408,607,EpisodeFinished,lift_early,diagonal_late,2,5.0,no_adapt,False
True,0.07181663275823381,1.9629895300539006,1.5693585850503724,611,EpisodeFinished,lift_early,diagonal_late,2,5.0,rigid,True
True,0.07152908216506867,1.7451618654803085,0.24154654506803327,620,EpisodeFinished,lift_early,diagonal_late,2,5.0,source,True
True,0.07067673176354612,1.70763328107783,0.19347668754568845,607,EpisodeFinished,lift_early,diagonal_late,2,5.0,target,True
False,0.09417389485779239,18.23736689611465,0.9129786864726164,660,,lift_early,diagonal_late,2,-10.0,no_adapt,False
True,0.07108884984036447,1.74846239455528,0.26381979195144484,653,EpisodeFinished,lift_early,diagonal_late,2,-10.0,rigid,True
True,0.0715254865359254,1.9211878684055732,0.5935798309757795,645,EpisodeFinished,lift_early,diagonal_late,2,-10.0,source,True
True,0.07109036881867889,1.7513075350518577,0.296092729264446,646,EpisodeFinished,lift_early,diagonal_late,2,-10.0,target,True
True,0.06155691371307736,0.6259213230004825,8.353013996412944,621,EpisodeFinished,lift_early,diagonal_late,2,10.0,no_adapt,False
True,0.0711302602828359,1.7671345368572582,1.1983521008453886,614,EpisodeFinished,lift_early,diagonal_late,2,10.0,rigid,True
True,0.07105928042429117,1.6339789243677965,0.15285097582650384,623,EpisodeFinished,lift_early,diagonal_late,2,10.0,source,True
True,0.07162776119219713,1.8518096859553435,0.18020556328728757,617,EpisodeFinished,lift_early,diagonal_late,2,10.0,target,True
