seed,protocol,sample_size,model,value,metric
20300818,random,20,Generic RBF,1.8099548895522115,task_error_mean_mm_equiv
20300818,qualified,20,Pdiag finite,1.7087681549673188,task_error_mean_mm_equiv
20300818,qualified,20,Full operator,1.674444334087952,task_error_mean_mm_equiv
20300818,qualified,20,Generic RBF,1.781285846431809,task_error_mean_mm_equiv
20260818,random,30,Pdiag finite,2.136021200548082,task_error_mean_mm_equiv
20260818,random,30,Full operator,3.6474856791562535,task_error_mean_mm_equiv
20260818,random,30,Generic RBF,4.509290194112303,task_error_mean_mm_equiv
20270818,random,30,Pdiag finite,2.1908100888680675,task_error_mean_mm_equiv
20270818,random,30,Full operator,1.932271415186744,task_error_mean_mm_equiv
20270818,random,30,Generic RBF,1.9425125136855763,task_error_mean_mm_equiv
20280818,random,30,Pdiag finite,3.459360368767645,task_error_mean_mm_equiv
20280818,random,30,Full operator,4.22882888104254,task_error_mean_mm_equiv
20280818,random,30,Generic RBF,5.169054021611833,task_error_mean_mm_equiv
20290818,random,30,Pdiag finite,2.522153221326757,task_error_mean_mm_equiv
20290818,random,30,Full operator,4.0496005202983,task_error_mean_mm_equiv
20290818,random,30,Generic RBF,4.957310894255912,task_error_mean_mm_equiv
20300818,random,30,Pdiag finite,1.6195459323311143,task_error_mean_mm_equiv
20300818,random,30,Full operator,1.5167867385302718,task_error_mean_mm_equiv
20300818,random,30,Generic RBF,1.570075309612868,task_error_mean_mm_equiv
20260818,qualified,30,Pdiag finite,2.136021200548082,task_error_mean_mm_equiv
20260818,qualified,30,Full operator,3.6474856791562535,task_error_mean_mm_equiv
20260818,qualified,30,Generic RBF,4.509290194112303,task_error_mean_mm_equiv
20270818,qualified,30,Pdiag finite,2.1908100888680675,task_error_mean_mm_equiv
20270818,qualified,30,Full operator,1.932271415186744,task_error_mean_mm_equiv
20270818,qualified,30,Generic RBF,1.9425125136855763,task_error_mean_mm_equiv
20280818,qualified,30,Pdiag finite,3.459360368767645,task_error_mean_mm_equiv
20280818,qualified,30,Full operator,4.22882888104254,task_error_mean_mm_equiv
20280818,qualified,30,Generic RBF,5.169054021611833,task_error_mean_mm_equiv
20290818,qualified,30,Pdiag finite,2.522153221326757,task_error_mean_mm_equiv
20290818,qualified,30,Full operator,4.0496005202983,task_error_mean_mm_equiv
20290818,qualified,30,Generic RBF,4.957310894255912,task_error_mean_mm_equiv
20300818,qualified,30,Pdiag finite,1.6195459323311143,task_error_mean_mm_equiv
20300818,qualified,30,Full operator,1.5167867385302718,task_error_mean_mm_equiv
20300818,qualified,30,Generic RBF,1.570075309612868,task_error_mean_mm_equiv
20260818,random,3,Pdiag finite,1.0231560563707023,task_endpoint_error_mean_mm_equiv
20260818,random,3,Full operator,6.174068985202297,task_endpoint_error_mean_mm_equiv
20260818,random,3,Generic RBF,23.238748005541936,task_endpoint_error_mean_mm_equiv
20260818,qualified,3,Pdiag finite,1.2278209563135256,task_endpoint_error_mean_mm_equiv
20260818,qualified,3,Full operator,6.338522302304663,task_endpoint_error_mean_mm_equiv
20260818,qualified,3,Generic RBF,28.59856882136605,task_endpoint_error_mean_mm_equiv
20260818,random,5,Pdiag finite,0.6717836004659758,task_endpoint_error_mean_mm_equiv
20260818,random,5,Full operator,0.3874348041963228,task_endpoint_error_mean_mm_equiv
20260818,random,5,Generic RBF,1.9058419982791737,task_endpoint_error_mean_mm_equiv
20260818,qualified,5,Pdiag finite,0.891575307101759,task_endpoint_error_mean_mm_equiv
20260818,qualified,5,Full operator,0.475502104644672,task_endpoint_error_mean_mm_equiv
20260818,qualified,5,Generic RBF,7.831428444041476,task_endpoint_error_mean_mm_equiv
20260818,random,8,Pdiag finite,0.740681451518437,task_endpoint_error_mean_mm_equiv
20260818,random,8,Full operator,0.3503243101486844,task_endpoint_error_mean_mm_equiv
20260818,random,8,Generic RBF,5.6843923763487725,task_endpoint_error_mean_mm_equiv
20260818,qualified,8,Pdiag finite,0.7741644827744205,task_endpoint_error_mean_mm_equiv
20260818,qualified,8,Full operator,0.39367748130888486,task_endpoint_error_mean_mm_equiv
20260818,qualified,8,Generic RBF,6.899499401260431,task_endpoint_error_mean_mm_equiv
20260818,random,10,Pdiag finite,0.6703203973006056,task_endpoint_error_mean_mm_equiv
20260818,random,10,Full operator,0.34016193965182145,task_endpoint_error_mean_mm_equiv
20260818,random,10,Generic RBF,2.5466826032391197,task_endpoint_error_mean_mm_equiv
20260818,qualified,10,Pdiag finite,0.695133073104005,task_endpoint_error_mean_mm_equiv
20260818,qualified,10,Full operator,0.29530020883507857,task_endpoint_error_mean_mm_equiv
20260818,qualified,10,Generic RBF,4.062838502527837,task_endpoint_error_mean_mm_equiv
20260818,random,15,Pdiag finite,0.5460617065406501,task_endpoint_error_mean_mm_equiv
20260818,random,15,Full operator,0.2854553207471072,task_endpoint_error_mean_mm_equiv
20260818,random,15,Generic RBF,4.696548581563175,task_endpoint_error_mean_mm_equiv
20260818,qualified,15,Pdiag finite,0.6190826581984188,task_endpoint_error_mean_mm_equiv
20260818,qualified,15,Full operator,0.2608106015090771,task_endpoint_error_mean_mm_equiv
20260818,qualified,15,Generic RBF,3.8355934049319202,task_endpoint_error_mean_mm_equiv
20260818,random,20,Pdiag finite,0.4696904846577413,task_endpoint_error_mean_mm_equiv
20260818,random,20,Full operator,0.23224657149461025,task_endpoint_error_mean_mm_equiv
20260818,random,20,Generic RBF,3.1800145705974314,task_endpoint_error_mean_mm_equiv
20260818,qualified,20,Pdiag finite,0.5367151866357125,task_endpoint_error_mean_mm_equiv
20260818,qualified,20,Full operator,0.24448450646730024,task_endpoint_error_mean_mm_equiv
20260818,qualified,20,Generic RBF,3.169495188444541,task_endpoint_error_mean_mm_equiv
20270818,random,3,Pdiag finite,1.1885988469791102,task_endpoint_error_mean_mm_equiv
20270818,random,3,Full operator,6.5510351072664905,task_endpoint_error_mean_mm_equiv
