protocol,sample_size,model,metric,mean_over_seed_means,between_seed_sd,seed_count
random,8,Full operator,generator_rmse,0.40611820570655344,0.23421845617438872,5
random,8,Generic RBF,generator_rmse,0.35636126416365843,0.1976762808014247,5
qualified,8,Pdiag finite,generator_rmse,0.25050303030472715,0.15925845650772447,5
qualified,8,Full operator,generator_rmse,0.4295397446794773,0.2628075940401097,5
qualified,8,Generic RBF,generator_rmse,0.39579599701269674,0.23790528009135636,5
random,10,Pdiag finite,generator_rmse,0.22035358782550185,0.14169153310803048,5
random,10,Full operator,generator_rmse,0.32628368415107056,0.17522658756725393,5
random,10,Generic RBF,generator_rmse,0.30735562540849537,0.17437413054763243,5
qualified,10,Pdiag finite,generator_rmse,0.22379641120266042,0.1562262910834884,5
qualified,10,Full operator,generator_rmse,0.32284748496189347,0.18301666448747275,5
qualified,10,Generic RBF,generator_rmse,0.29764489844202324,0.17007285492506463,5
random,15,Pdiag finite,generator_rmse,0.22811090008812057,0.1569468597896789,5
random,15,Full operator,generator_rmse,0.295492682220938,0.1796126279762388,5
random,15,Generic RBF,generator_rmse,0.2841912888755006,0.1755880366557605,5
qualified,15,Pdiag finite,generator_rmse,0.22781213451160656,0.1612416802521126,5
qualified,15,Full operator,generator_rmse,0.2968438188119954,0.17748772797152984,5
qualified,15,Generic RBF,generator_rmse,0.28174732770636146,0.16917324322365013,5
random,20,Pdiag finite,generator_rmse,0.22059645048220244,0.16343548230434088,5
random,20,Full operator,generator_rmse,0.26286251309585135,0.1819731483772761,5
random,20,Generic RBF,generator_rmse,0.2540591870230927,0.1769380477929299,5
qualified,20,Pdiag finite,generator_rmse,0.21785985470818575,0.1679204759268334,5
qualified,20,Full operator,generator_rmse,0.25993102481267766,0.19225297832550778,5
qualified,20,Generic RBF,generator_rmse,0.25025493188865405,0.18843387590109234,5
random,30,Pdiag finite,generator_rmse,0.21822928398453162,0.16933087404735772,5
random,30,Full operator,generator_rmse,0.23296049273455727,0.1840705459737646,5
random,30,Generic RBF,generator_rmse,0.22891542069954282,0.1820673180355149,5
qualified,30,Pdiag finite,generator_rmse,0.21822928398453162,0.16933087404735772,5
qualified,30,Full operator,generator_rmse,0.23296049273455727,0.1840705459737646,5
qualified,30,Generic RBF,generator_rmse,0.22891542069954282,0.1820673180355149,5
random,3,Pdiag finite,switch_absolute_error,0.007091925659452362,0.00196771793417305,5
random,3,Full operator,switch_absolute_error,0.014306186861123999,0.002505409907960963,5
random,3,Generic RBF,switch_absolute_error,0.027265794893583793,0.002611684190031822,5
qualified,3,Pdiag finite,switch_absolute_error,0.008572069088896336,0.002157531983633886,5
qualified,3,Full operator,switch_absolute_error,0.013352402369079508,0.0020791140726717267,5
qualified,3,Generic RBF,switch_absolute_error,0.06729650470626881,0.013890749354064822,5
random,5,Pdiag finite,switch_absolute_error,0.007571344750360633,0.002163807354448811,5
random,5,Full operator,switch_absolute_error,0.006762307241117878,0.002063640966026084,5
random,5,Generic RBF,switch_absolute_error,0.008420548066373604,0.002702447120869535,5
qualified,5,Pdiag finite,switch_absolute_error,0.00611398545632385,0.002002257326406362,5
qualified,5,Full operator,switch_absolute_error,0.006956710408813666,0.001836178131821661,5
qualified,5,Generic RBF,switch_absolute_error,0.013103620009555705,0.00798432466985916,5
random,8,Pdiag finite,switch_absolute_error,0.005957722376360717,0.003129816029085209,5
random,8,Full operator,switch_absolute_error,0.004409829971687002,0.001936255624805017,5
random,8,Generic RBF,switch_absolute_error,0.00689537357534533,0.004350904776352401,5
qualified,8,Pdiag finite,switch_absolute_error,0.005211326848600486,0.0018336874482311441,5
qualified,8,Full operator,switch_absolute_error,0.004878239089064736,0.0011224355366610868,5
qualified,8,Generic RBF,switch_absolute_error,0.007652724720763141,0.002862110921174646,5
random,10,Pdiag finite,switch_absolute_error,0.005690945768623297,0.003258424995322576,5
random,10,Full operator,switch_absolute_error,0.004498759489834131,0.002324302102880476,5
random,10,Generic RBF,switch_absolute_error,0.007852403658184817,0.003522962086874738,5
qualified,10,Pdiag finite,switch_absolute_error,0.00577474437298657,0.0025114944782250017,5
qualified,10,Full operator,switch_absolute_error,0.005047372496410041,0.002115809592972954,5
qualified,10,Generic RBF,switch_absolute_error,0.006488062645267832,0.0023410947603544493,5
random,15,Pdiag finite,switch_absolute_error,0.00566191464082935,0.003083528997813399,5
random,15,Full operator,switch_absolute_error,0.0042288366133157096,0.0024494178711906307,5
random,15,Generic RBF,switch_absolute_error,0.003737967060323498,0.0012321440781603217,5
qualified,15,Pdiag finite,switch_absolute_error,0.005534823031291497,0.003208803917101674,5
qualified,15,Full operator,switch_absolute_error,0.004145013812760607,0.0024337647422979797,5
qualified,15,Generic RBF,switch_absolute_error,0.004213554107928894,0.0016475545811108435,5
random,20,Pdiag finite,switch_absolute_error,0.005654372599419805,0.0031708921758865187,5
random,20,Full operator,switch_absolute_error,0.004158860175395086,0.0026287378873495336,5
random,20,Generic RBF,switch_absolute_error,0.003864411870545222,0.0011553594566057067,5
qualified,20,Pdiag finite,switch_absolute_error,0.0056565587488587804,0.003158260046363929,5
qualified,20,Full operator,switch_absolute_error,0.004071906622659985,0.0026913186519257537,5
qualified,20,Generic RBF,switch_absolute_error,0.00346008535249357,0.0014759626064800903,5
random,30,Pdiag finite,switch_absolute_error,0.005429811299944679,0.00317289011332694,5
random,30,Full operator,switch_absolute_error,0.00371571026441852,0.002917096264585705,5
random,30,Generic RBF,switch_absolute_error,0.0032517389169231803,0.0017693537452221845,5
qualified,30,Pdiag finite,switch_absolute_error,0.005429811299944679,0.00317289011332694,5
qualified,30,Full operator,switch_absolute_error,0.00371571026441852,0.002917096264585705,5
qualified,30,Generic RBF,switch_absolute_error,0.0032517389169231803,0.0017693537452221845,5
