seed,subset_id,protocol,sample_size,optimization_success,optimization_nfev,optimization_cost,optimization_optimality,profile_max_absolute_reproduction_error,audit_fit_seconds
20280818,40,random,8,True,7,0.0064428591757913,3.634818322105184e-10,0.0,2.384240075014532
20280818,41,random,8,True,9,0.0048347772704439,4.5386496321409887e-10,0.0,31.816322281956676
20280818,42,random,8,True,6,0.0030879814288273,3.902613487109568e-10,0.0,1.8403758290223775
20280818,43,random,8,True,10,0.0074444972254678,8.3225958549562e-10,0.0,2.145022779237479
20280818,44,random,8,True,7,0.0028151258229537,4.803171740015051e-10,0.0,2.0817470853216946
20280818,45,random,8,True,11,0.0054593326533634,2.745724505857441e-10,0.0,1.3629488470032811
20280818,46,random,8,True,6,0.0063385673196553,9.084261739446023e-10,0.0,1.4684023461304605
20280818,47,random,8,True,13,0.0056877568694982,9.523984972129806e-10,0.0,2.8916370230726898
20280818,48,random,8,True,4,0.0041857918528429,5.470682544447534e-10,0.0,1.5156724900007248
20280818,49,random,8,True,11,0.0626913076885088,1.9433893350428114e-10,0.0,29.55448959814385
20280818,50,qualified,8,True,13,0.0101770700000917,7.17504922240513e-10,0.0,5.329936860129237
20280818,51,qualified,8,True,14,0.0078267680175114,3.1639429252893046e-10,0.0,20.65557145094499
20280818,52,qualified,8,True,15,0.0611865809007401,2.367258524707867e-09,0.0,16.89386211009696
20280818,53,qualified,8,True,3,0.005370368457073,7.570469211922894e-10,0.0,3.0074787558987737
20280818,54,qualified,8,True,15,0.0599049169460416,1.9752744796366452e-09,0.0,6.632160370703787
20280818,55,qualified,8,True,25,0.0647125273018625,8.631175086935774e-10,0.0,23.84597675083205
20280818,56,qualified,8,True,11,0.0040366372268913,3.4813771883921385e-10,0.0,13.474464672151951
20280818,57,qualified,8,True,14,0.0033635956002262,7.945671606296132e-10,0.0,3.8951088739559054
20280818,58,qualified,8,True,5,0.004435782764463,7.582480724458931e-10,0.0,3.2069973875768483
20280818,59,qualified,8,True,29,0.0608572564698201,2.3707469889791193e-09,0.0,18.4926388268359
20280818,60,random,10,True,19,0.0615381655952092,7.236364636273253e-10,0.0,46.20006575668231
20280818,61,random,10,True,59,0.0607088064637881,4.134063139421907e-09,0.0,47.78598746005446
20280818,62,random,10,True,14,0.0640175015247195,2.828621630272723e-10,0.0,2.8353649573400617
20280818,63,random,10,True,14,0.0045768486308401,1.5160353769484744e-09,0.0,10.105957467108963
20280818,64,random,10,True,5,0.0057109505422386,3.673019326091087e-10,0.0,1.5500009371899068
20280818,65,random,10,True,5,0.0040887869752711,9.727467420942422e-10,0.0,2.44804661674425
20280818,66,random,10,True,13,0.0068372298390689,8.353993321481533e-11,0.0,3.9251774079166353
20280818,67,random,10,True,25,0.0615305578484771,2.851084542957414e-09,0.0,21.40504553774372
20280818,68,random,10,True,14,0.0613743825137858,1.6646725754717326e-10,0.0,6.272868642117828
20280818,69,random,10,True,11,0.0079039901487256,4.86827126197987e-10,0.0,4.169826545752585
20280818,70,qualified,10,True,20,0.0040104028830342,8.882962344120033e-10,0.0,3.892865213099867
20280818,71,qualified,10,True,27,0.061343089559369,7.061044205186385e-10,0.0,9.75951691577211
20280818,72,qualified,10,True,7,0.0062085778220184,6.492545081061498e-10,0.0,5.184421828016639
20280818,73,qualified,10,True,5,0.0045860080660015,2.6990204452052184e-10,0.0,1.606719166971743
20280818,74,qualified,10,True,8,0.0065222146157165,6.834651047388858e-10,0.0,4.160970613826066
20280818,75,qualified,10,True,5,0.0073359119190597,7.482412377728703e-10,0.0,2.106078077107668
20280818,76,qualified,10,True,11,0.0095862610407552,9.278360854320415e-10,0.0,3.2515366850420837
20280818,77,qualified,10,True,7,0.009049745428945,1.1161799655869698e-09,0.0,2.913478369358927
20280818,78,qualified,10,True,7,0.0068013350008766,7.323998904785915e-10,0.0,34.29748270707205
20280818,79,qualified,10,True,21,0.059988169980407,5.157001775144151e-10,0.0,48.72340629855171
20280818,80,random,15,True,15,0.0678099965121621,1.5929259364599055e-09,0.0,42.74966722168028
20280818,81,random,15,True,8,0.0096348777707611,5.147094081518036e-10,0.0,4.260904532857239
20280818,82,random,15,True,10,0.0123078030055874,4.121562036905399e-11,0.0,3.544384024105966
20280818,83,random,15,True,4,0.0129118622272998,5.506956164833057e-10,0.0,3.80276423599571
