arm,seed,subset_id,protocol,sample_size,repeat,model,fit_success,fit_error,fit_seconds,e_alpha,m_oop_correct,alpha_active_du,alpha_active_dv,alpha_active_dw,alpha_active_roll,alpha_active_pitch,alpha_active_yaw
heading_push,20270818,6,random,15,0,Pdiag pointwise (SE(3)),True,,0.011284173931926489,0.07390743889545152,True,0.874946357439532,0.9962585177211141,-0.0006837662183286485,0.017803811703485675,-0.001841695239103534,0.7399262268985134
heading_push,20270818,6,random,15,0,Pdiag finite (SE(3)),True,,57.88967969804071,0.07115182234987143,True,0.8774397687432395,0.9766208538116039,6.924924041769554e-08,0.0196505709969438,0.002481030592824626,0.7263653945235378
heading_push,20270818,2,random,8,2,Frame-weighted (SE(3)),True,,0.00777203100733459,0.19199391219278283,False,0.512549711953373,0.512549711953373,0.512549711953373,0.512549711953373,0.512549711953373,0.512549711953373
heading_push,20270818,2,random,8,2,Full operator (SE(3)),True,,0.002683912985958159,0.08483965859219575,True,2.725129608778694,1.157997150573735,0.007649824286533519,0.052191236353246524,0.00935110295527312,0.9216979011955526
heading_push,20270818,2,random,8,2,Pdiag pointwise (SE(3)),True,,0.021965391933918,0.05550571388039785,True,0.9039432493514135,1.0771769029421812,0.0020084626741188705,0.029874464810688763,0.0002493795184486866,0.7230480435401387
heading_push,20270818,2,random,8,2,Pdiag finite (SE(3)),True,,90.39371970295906,0.059732283801460194,True,0.9012444138293197,0.9481842261294224,0.1926467839328351,0.06630354024212078,0.2974056179255817,0.6976740128208916
heading_push,20260818,7,random,15,1,Frame-weighted (SE(3)),True,,0.007021013065241277,0.192349258763644,False,0.564098633326491,0.564098633326491,0.564098633326491,0.564098633326491,0.564098633326491,0.564098633326491
heading_push,20260818,7,random,15,1,Full operator (SE(3)),True,,0.0029744490748271346,0.05932845834599578,True,1.5046898148958423,1.0483068842508503,0.0023391246467700418,0.013831161537375021,0.00527547067007594,0.6854637381627829
heading_push,20260818,7,random,15,1,Pdiag pointwise (SE(3)),True,,0.018227915978059173,0.055216654816875314,True,1.35212050509802,1.0863150416975975,0.0010895414988602017,0.01860595415744863,0.0027242841488616947,0.7053655430170835
heading_push,20260818,7,random,15,1,Pdiag finite (SE(3)),True,,181.72427590098232,0.054331893395245516,True,1.2497834086388449,1.0981822692867584,0.011465721346345705,0.012617660813271888,0.16873619607176552,0.7034923538695952
heading_push,20260818,14,random,30,2,Frame-weighted (SE(3)),True,,0.007372734020464122,0.19601404407255538,False,0.5512767579981795,0.5512767579981795,0.5512767579981795,0.5512767579981795,0.5512767579981795,0.5512767579981795
heading_push,20260818,14,random,30,2,Full operator (SE(3)),True,,0.003234316944144666,0.062393558546765086,True,1.1521657493818704,1.003968694816576,0.028033662437377746,0.006830254749537294,0.00477741675492523,0.67557097101946
heading_push,20260818,14,random,30,2,Pdiag pointwise (SE(3)),True,,0.017235419945791364,0.06322078489528715,True,1.154185571822701,0.9660783536730106,0.013830027620339979,0.0008987332828666448,0.00412031134303586,0.6971575304049885
heading_push,20260818,14,random,30,2,Pdiag finite (SE(3)),True,,192.47572743007913,0.06148708124349033,True,1.1624037402121907,0.9656974737755768,0.01058227024378286,0.029667199028119838,1.021629630245908e-12,0.667733944288986
heading_push,20270818,7,random,15,1,Frame-weighted (SE(3)),True,,0.003877145005390048,0.19207414931196515,False,0.5646398895727794,0.5646398895727794,0.5646398895727794,0.5646398895727794,0.5646398895727794,0.5646398895727794
heading_push,20270818,7,random,15,1,Full operator (SE(3)),True,,0.00047005899250507355,0.05604823132348493,True,1.3312652152001494,1.0168923102868355,0.05344038054637726,0.0037608529234245407,-9.677716979428945e-05,0.7174277160282967
heading_push,20270818,7,random,15,1,Pdiag pointwise (SE(3)),True,,0.010055370978079736,0.05546330349045745,True,1.1911855441663444,1.0106645986519074,0.02517998942363544,0.008325868141521867,0.0014416352389224807,0.7195102949497499
heading_push,20270818,7,random,15,1,Pdiag finite (SE(3)),True,,68.56377885804977,0.05596518755698182,True,1.2327334248666222,1.0163894882879303,0.07835464709117675,2.0378568086988076e-09,0.3520027687897,0.7126202709068463
heading_push,20260818,16,qualified,30,1,Frame-weighted (SE(3)),True,,0.008087388006970286,0.2000571022394497,False,0.5552722254271092,0.5552722254271092,0.5552722254271092,0.5552722254271092,0.5552722254271092,0.5552722254271092
heading_push,20260818,16,qualified,30,1,Full operator (SE(3)),True,,0.0014440449886023998,0.07667874435924837,True,0.8953254565392041,1.0176274810922568,0.019121854834016044,0.012264118142092939,0.004635642518682643,0.7071946583727869
heading_push,20260818,16,qualified,30,1,Pdiag pointwise (SE(3)),True,,0.019713471992872655,0.08034822619722275,True,0.8778977424456557,1.0056665221167067,0.0008348895203554581,0.004207349923776645,0.0037996562878662168,0.7128732516204426
