dataset,episode_index,video_duration_s,nominal_data_duration_s,delta_s
insert_10degree,10,37.166666666666664,37.166666666666664,0.0
insert_10degree,11,38.36666666666666,38.36666666666667,-7.105427357601002e-15
insert_10degree,12,39.56666666666666,39.56666666666667,-7.105427357601002e-15
insert_10degree,13,30.833333333333343,30.833333333333332,1.0658141036401503e-14
insert_10degree,14,29.833333333333343,29.833333333333332,1.0658141036401503e-14
insert_10degree,15,32.599999999999994,32.6,-7.105427357601002e-15
insert_10degree,16,35.5,35.5,0.0
insert_10degree,17,36.733333333333334,36.733333333333334,0.0
insert_10degree,18,30.53333333333333,30.533333333333335,-3.552713678800501e-15
insert_10degree,19,35.66666666666667,35.666666666666664,7.105427357601002e-15
insert_10degree,20,36.53333333333333,36.53333333333333,0.0
insert_10degree,21,35.43333333333334,35.43333333333333,7.105427357601002e-15
insert_10degree,22,37.3,37.3,0.0
insert_10degree,23,35.93333333333332,35.93333333333333,-7.105427357601002e-15
insert_10degree,24,32.099999999999994,32.1,-7.105427357601002e-15
insert_10degree,25,27.366666666666674,27.366666666666667,7.105427357601002e-15
insert_10degree,26,30.53333333333333,30.533333333333335,-3.552713678800501e-15
insert_10degree,27,29.46666666666667,29.466666666666665,3.552713678800501e-15
insert_10degree,28,30.96666666666667,30.966666666666665,3.552713678800501e-15
insert_10degree,29,39.29999999999998,39.3,-1.4210854715202004e-14
insert_10degree,30,31.666666666666686,31.666666666666668,1.7763568394002505e-14
insert_10degree,31,33.80000000000001,33.8,1.4210854715202004e-14
insert_10degree,32,32.53333333333333,32.53333333333333,0.0
insert_10degree,33,25.766666666666666,25.766666666666666,0.0
insert_10degree,34,31.866666666666667,31.866666666666667,0.0
insert_10degree,35,28.03333333333334,28.033333333333335,3.552713678800501e-15
insert_10degree,36,30.366666666666674,30.366666666666667,7.105427357601002e-15
insert_10degree,37,30.0,30.0,0.0
insert_10degree,38,40.0,40.0,0.0
