normalized_grasp_time,mean_axis_separation_deg,pointwise_bootstrap_low_deg,pointwise_bootstrap_high_deg
0.33,9.48819513856296,8.618331129745911,10.371273253169562
0.34,9.572979448381501,8.705298174105728,10.461619622619878
0.35000000000000003,9.627283693407442,8.754942455217861,10.529460360725036
0.36,9.67670013562434,8.800601067204394,10.573267551148746
0.37,9.793412658184641,8.912704296547707,10.661686222108841
0.38,9.915070233324215,9.050174496548056,10.78524681245955
0.39,9.985149908683987,9.137644876968912,10.84754202043246
0.4,10.050575913659637,9.219599331392308,10.886095449826861
0.41000000000000003,10.121753688438401,9.286566567529556,10.928298023673383
0.42,10.223396991096699,9.409501426457853,11.030246770179891
0.43,10.299874037030994,9.476305898864698,11.111883985138325
0.44,10.314073815196338,9.484706639407918,11.130041449486594
0.45,10.375715991787231,9.557540223487752,11.201181774851998
0.46,10.428978514703026,9.617401949363467,11.245493667044041
0.47000000000000003,10.432127014321372,9.626954826611467,11.224966030795073
0.48,10.484621056426564,9.686923792245265,11.28423520347331
0.49,10.529887372927123,9.740515505192866,11.31858279288318
0.5,10.543473383314394,9.742583246039707,11.346773891916424
0.51,10.510538849348846,9.72558500317429,11.313579612545563
0.52,10.479555951308969,9.68676808766399,11.288119186935948
0.53,10.468247725026458,9.660994348205838,11.281475613006608
0.54,10.498186420258573,9.695452599636171,11.309246979908577
0.55,10.501915821457525,9.719083685941426,11.28452484938557
0.56,10.523119111818367,9.742827444560412,11.297063110625068
0.5700000000000001,10.502389604172475,9.703381402621101,11.282890183643495
0.58,10.543002588743931,9.745005019831117,11.321390116791138
0.59,10.561997607837814,9.76292044330693,11.343844727110005
0.6,10.598698351061065,9.80446949856605,11.373646832330383
0.61,10.620087861093813,9.84064167701876,11.382616307907696
0.62,10.646632192066434,9.869578429562871,11.405631762054357
0.63,10.695590674043634,9.919062391763745,11.458489798077867
0.64,10.711847665288651,9.938979679137063,11.469437031446157
0.65,10.730374106830933,9.958334591383732,11.492036688131707
0.66,10.755125017999303,9.982130391676568,11.51333189889116
0.67,10.750725029509313,9.972734481210395,11.517083023508508
0.68,10.774497637136669,10.000060730792542,11.544562766421793
0.6900000000000001,10.788282349003595,10.012180858576693,11.548189530442313
0.7000000000000001,10.783440767195906,10.013775641311126,11.545170667525097
0.71,10.801271056719129,10.03488518038466,11.563595950145402
0.72,10.804266114815675,10.041053532562218,11.568506381937807
0.73,10.796663537580264,10.034539232707312,11.55608092701538
0.74,10.802592001683264,10.063522960868081,11.551689477224684
0.75,10.797119970013068,10.064604168344562,11.538497798065649
0.76,10.794915632676155,10.081468624427625,11.531144410820879
0.77,10.821289397562785,10.11085255720738,11.547818784452247
0.78,10.854558609756596,10.137417390172471,11.578422042728034
0.79,10.843405941579341,10.119170406954783,11.554647366519122
0.8,10.807117475537222,10.094681276862906,11.507187758140619
0.81,10.785628666666462,10.088759656981477,11.47407625963328
0.8200000000000001,10.708730755596852,10.01575621639968,11.400045190176511
0.8300000000000001,10.629616261934526,9.956331144196259,11.31765530339356
0.84,10.579039148619236,9.914205051857493,11.256909442734965
0.85,10.501430552342729,9.822479226141647,11.183990547809445
0.86,10.441966443821444,9.767208141815427,11.133975996019831
0.87,10.388422123839248,9.718609168727028,11.069120709246286
0.88,10.384559379930351,9.704690873272279,11.05745836983398
0.89,10.357408843818964,9.675372593514673,11.039614591907851
0.9,10.328902196726945,9.639487909465254,11.014559370441985
0.91,10.283965542927515,9.603207061469945,10.971837529430992
0.92,10.27408430115187,9.589886391664438,10.960478744002181
0.93,10.268805200488893,9.588084951477203,10.953994749733457
0.9400000000000001,10.268346590280958,9.588253827421834,10.95308961119892
0.9500000000000001,10.27139866416431,9.58996502747815,10.956323523758872
0.96,10.28248283446889,9.598306164236014,10.968867021795106
0.97,10.282665375316604,9.591364158191722,10.96399103463004
0.98,10.28132044970988,9.593118370734842,10.970362507986946
0.99,10.297317997201697,9.614325301241925,10.983402260601755
1.0,10.337355082279187,9.651369942720972,11.022635535135752
