sample_index,solver_phase,phase,phase_progress,source_progress,alpha_pitch_mean,alpha_pitch_sd_across_seeds,alpha_pitch_seed_20260910,alpha_pitch_seed_20270910,alpha_pitch_seed_20280910
27,4,enter,0.08333333333333333,0.2708333333333333,1.000243187450644,0.0018433486773963182,1.00104923902187,1.0015462229168186,0.998134100413243
28,4,enter,0.125,0.28125,1.004661675659955,0.0012174241080147807,1.005293681089541,1.0054331233171352,1.0032582225731879
29,4,enter,0.16666666666666666,0.2916666666666667,1.0104797822928548,0.0010339388283153905,1.011229256823161,1.0109098713735774,1.0093002186818265
30,4,enter,0.20833333333333331,0.3020833333333333,1.0152275276853595,0.0012389128891761771,1.0162831733969548,1.015535835349074,1.0138635743100497
31,4,enter,0.25,0.3125,1.0174348601681291,0.0016646851019745115,1.018911349562312,1.0177625239053718,1.0156307070367034
32,4,enter,0.29166666666666663,0.32291666666666663,1.016789774839319,0.0021842584964763424,1.0187775931034817,1.0171402685824669,1.0144514628320083
33,4,enter,0.3333333333333333,0.3333333333333333,1.0139548164831007,0.002711552231077908,1.0165308104550155,1.0142081522951973,1.011125486699089
34,4,enter,0.375,0.34375,1.0101828001941031,0.0031728794286684982,1.0133548725988368,1.0101844136266407,1.0070091143568316
35,4,enter,0.41666666666666663,0.35416666666666663,1.0068286335730086,0.0034636498197393394,1.0104358022191557,1.0065210842904573,1.0035290142094129
36,4,enter,0.4583333333333333,0.3645833333333333,1.0048869153718905,0.0034239756293110626,1.0085232531736135,1.0044127682915132,1.0017247246505452
37,4,enter,0.5,0.375,1.0047233448191042,0.0029033122144337137,1.007765793777392,1.0044214849559137,1.0019827557240066
38,4,enter,0.5416666666666666,0.38541666666666663,1.0060982018858498,0.0019219987252424562,1.0078697451159295,1.0063701457098544,1.0040547148317651
39,4,enter,0.5833333333333333,0.3958333333333333,1.0084224158223936,0.001113874249829609,1.0084416887363659,1.0095265285564392,1.0072990301743758
40,4,enter,0.625,0.40625,1.011070444179691,0.0018343655545842044,1.0092833518744526,1.0129486846032711,1.010979296061349
