episode,condition_id,attempt_id,generator,steps,success,complete,max_contact_force_N,contact_frames,max_socket_drift_m,final_distance_m,final_axis_error_rad,final_key_clearance_m,dx,dy,dyaw,any_terminated,any_truncated,post_done_actions,stop_reason,solver_error
episode_26,23,0,mixed,385,True,True,0.0,0,7.450580596923828e-09,0.011671191081404686,0.0014782582875341177,0.01032957062125206,0.003583363549875037,-0.0038229538769398493,0.3152581491511527,True,False,0,terminated,
episode_27,24,0,mixed,364,True,True,0.0,0,3.725290298461914e-09,0.011866443790495396,0.0007219402468763292,0.01013479009270668,0.006914381992931009,-0.0015510412992135268,-0.3045332339783158,True,False,0,terminated,
episode_28,25,0,mixed,361,True,True,0.0,0,7.450580596923828e-09,0.010183742269873619,0.006295203696936369,0.011816579848527908,-0.010535570229681426,-0.006097956751513089,-0.021991373126857727,True,False,0,terminated,
episode_29,26,0,mixed,420,True,True,48.08032177515817,118,3.725290298461914e-09,0.011967404745519161,0.013575226068496704,0.01003297045826912,-0.0008629709010328137,-0.0005531067163298594,0.06367738146914015,True,False,0,terminated,
episode_30,27,0,mixed,335,True,True,0.0,0,0.0,0.01007064152508974,0.007441441994160414,0.011930231004953384,0.008541769008218795,0.004022032916112337,0.03196049633811415,True,False,0,terminated,
episode_31,28,0,mixed,377,True,True,0.0,0,3.725290298461914e-09,0.011600784957408905,0.00040817668195813894,0.010400388389825821,0.002939942549023515,-0.009348660801151388,0.3077043496696418,True,False,0,terminated,
episode_32,29,0,mixed,359,True,True,0.0,0,0.0,0.010144948959350586,0.0003401826834306121,0.011860903352499008,-0.006089367938036382,-0.010627967707550005,0.38299308163426515,True,False,0,terminated,
episode_33,30,0,mixed,329,True,True,0.0,0,0.0,0.01173104252666235,0.0007267046603374183,0.010270733386278152,0.009080504039630437,0.0012646056698357323,0.01733541423828555,True,False,0,terminated,
episode_34,31,0,mixed,366,True,True,0.0,0,3.725290298461914e-09,0.010084545239806175,0.0011474952334538102,0.011924419552087784,0.011910616875627975,0.00261372197217654,0.510092460033387,True,False,0,terminated,
episode_35,32,0,mixed,388,True,True,3.9772026538848877,10,3.725290298461914e-09,0.011607302352786064,0.0006204047822393477,0.010393429547548294,-0.005195427073254344,0.0013924329836661215,-0.346447262945213,True,False,0,terminated,
episode_36,33,0,mixed,149,False,False,0.0,0,0.0,0.40775781869888306,1.5843015909194946,0.06839289516210556,0.00038940294977674907,0.009918567515302294,-0.16978677020606076,False,False,0,solver_exception,RuntimeError('motion planning failed')
episode_37,33,1,mixed,364,True,True,0.0,0,0.0,0.010769846849143505,0.002714439295232296,0.011304404586553574,0.00038940294977674907,0.009918567515302294,-0.16978677020606076,True,False,0,terminated,
episode_38,34,0,mixed,389,True,True,0.0,0,0.0,0.011609131470322609,0.0006421235157176852,0.010392095893621445,0.0019049604993052333,0.011545663344423165,-0.32687843647994297,True,False,0,terminated,
episode_39,35,0,mixed,393,True,True,0.0,0,0.0,0.011722643859684467,0.0011804397217929363,0.01027895137667656,-0.003747792048091088,0.010245802483035374,-0.4766883462474212,True,False,0,terminated,
episode_40,36,0,mixed,375,True,True,0.0,0,0.0,0.011564143002033234,0.008153464645147324,0.010436896234750748,-0.011241414553279885,-0.0008387961906365701,0.23442581763406956,True,False,0,terminated,
episode_41,37,0,mixed,367,True,True,0.0,0,3.725290298461914e-09,0.010015358217060566,0.0002856191713362932,0.011989329010248184,-0.0024197706407490596,-0.009121479235809632,0.370931685048412,True,False,0,terminated,
episode_42,38,0,mixed,374,False,False,0.0,0,3.725290298461914e-09,0.4885101914405823,1.5843003988265991,0.06839289516210556,0.0008451924919283486,0.008550435502034787,0.1446787842603401,False,False,0,solver_exception,RuntimeError('motion planning failed')
episode_43,38,1,mixed,349,True,True,0.0,0,3.725290298461914e-09,0.009982813149690628,0.0001883498625829816,0.012019123882055283,0.0008451924919283486,0.008550435502034787,0.1446787842603401,True,False,0,terminated,
