phase,phase_code,phase_progress,global_bin,alpha_x,alpha_y,alpha_yaw,alpha_x_ci_low,alpha_x_ci_high,alpha_y_ci_low,alpha_y_ci_high,alpha_yaw_ci_low,alpha_yaw_ci_high,off_diagonal_fro
Align keyed,3,0.8333333333333334,20,1.0352526633074228,1.3725661699594183,1.1645877670023737,0.9501500626831184,1.1395544996502873,1.0103625858518148,1.970129313562725,-1.1876086695292845,3.3134798950703814,59.257103565238545
Align keyed,3,0.875,21,0.9790216931015581,1.1806657765112303,1.1813055470015996,0.9274210633136428,1.0266469187640994,0.9840155099370905,1.4836373016145648,-1.2907861602706225,3.4547752126585936,62.62595152406342
Align keyed,3,0.9166666666666666,22,0.9850275530178506,1.0394588483033316,1.1913190977456694,0.9650408813956929,1.003316510892377,0.9873106060504006,1.1028749181060966,-1.3765512229129275,3.5499848631314066,64.96248371154081
Align keyed,3,0.9583333333333334,23,0.9967542404863549,1.0086178068678942,1.1908214626582136,0.9915036021216801,1.0001757513809666,0.98755468625212,1.0350563460963145,-1.4127181256666583,3.569964708707946,65.59093023291814
Align keyed,3,1.0,24,0.9991466944147702,1.005047793243062,1.1896393840006638,0.9963061509346758,1.0014330292369211,0.9850136268008045,1.0286459974944062,-1.4142952644205877,3.5691182796048335,65.57382331229316
Enter key,4,0.0,25,0.9998892671441608,1.0048225295858335,1.0008113063364186,0.9969928359989944,1.0032115599313185,0.9879358110918942,1.0291678002797213,1.0000570259151629,1.0016562337638175,0.0066544102581650244
Enter key,4,0.041666666666666664,26,1.0003896428695587,1.0049914083456464,1.0008613159428015,0.9967805604667239,1.0048186697581276,0.9884452659038703,1.0293174630815163,1.0001642412882072,1.0016812109142557,0.0045764364850023566
Enter key,4,0.08333333333333333,27,1.0029017691490512,1.005433449003652,1.0010405769275694,0.9991130231881188,1.008990325668737,0.9883263460112554,1.0304566791071912,0.9999251343972098,1.0019838605260833,0.016937790944350068
Enter key,4,0.125,28,1.0036144191089718,1.0049589441943798,1.0013186531140652,0.9997650557786398,1.0088696023103616,0.9874484289153111,1.030630883798098,0.9995797499133666,1.0029542235167417,0.032150235922758015
Enter key,4,0.16666666666666666,29,1.000683242253016,1.0043785173925845,1.0014825236322118,0.996314077473162,1.0058552891468198,0.9865470994657554,1.0304556992407836,0.9993037218913292,1.003744542173834,0.03913564893436953
Enter key,4,0.20833333333333334,30,0.9999885514248223,1.0043754752857752,1.0015207582966268,0.9954228754027327,1.0059396075041398,0.986450750798424,1.0303705120766329,0.9990541969704273,1.0040630074291976,0.0405158657842579
Enter key,4,0.25,31,1.0018218799907908,1.0046055351776995,1.0015356573297731,0.9977369828514389,1.0082326011215346,0.9867648601388472,1.0307090345246914,0.9990227494029268,1.0041475023800932,0.04106183361492325
Enter key,4,0.2916666666666667,32,1.0020195546443844,1.0043216119150244,1.0015423447034086,0.9987566778471012,1.0068888053266138,0.9866222255664563,1.0298920690439053,0.9991400426617223,1.0040644147875415,0.041692213535062236
Enter key,4,0.3333333333333333,33,1.0034529335296187,1.0044804092139392,1.001238329319487,0.9983968462403822,1.0117197897778958,0.9872910889811045,1.0293370735213057,0.9992004225105698,1.0031717897455075,0.03462187271803216
Enter key,4,0.375,34,1.0049363668431062,1.0046848051616224,1.0006908582161944,1.0006931927956249,1.0120164378686385,0.9870122597542188,1.0301930291519648,0.9992264110573311,1.0017292002969447,0.027508427962363236
Enter key,4,0.4166666666666667,35,1.0015617805245387,1.0044359313329239,1.000467363371399,0.9976188056364083,1.0075007200473745,0.98608070353261,1.0316209723590792,0.999318117485476,1.00124859376143,0.029291969590211797
Enter key,4,0.4583333333333333,36,1.0009866928140976,1.0045234961281553,1.0003564737322097,0.9968636972290442,1.0073041333546322,0.9860443457420276,1.0320782743809211,0.9991940979678435,1.0011351598822456,0.029976072650358617
Enter key,4,0.5,37,1.0022112029019334,1.0047272825898688,1.0003035379965965,0.9984099362261166,1.0088136196317365,0.9862725153207726,1.032256619365896,0.9991309140758006,1.001106084784472,0.03114652480952328
Enter key,4,0.5416666666666666,38,1.0020881327903952,1.0043901268916167,1.0003565060525859,0.9987314980135726,1.0078719015769642,0.9862935239926438,1.0316965120629475,0.9992140743781063,1.0011637726107787,0.02985190656722579
Enter key,4,0.5833333333333334,39,1.002640122787527,1.004450795994421,1.0003006853837244,0.9985643879799961,1.00937842033452,0.9868511422787257,1.0306587748686131,0.9992871852362875,1.0010266394312552,0.02444217690592499
Enter key,4,0.625,40,1.0022130522902328,1.0040854529290486,1.000225035024648,0.9982982299990903,1.006731000879718,0.9850657463820828,1.029744631896057,0.9993209299278296,1.0009239619165295,0.02131936370763546
Enter key,4,0.6666666666666666,41,1.0003822969198748,1.003376113649029,1.00025603338373,0.9964793080112668,1.004360134350531,0.9829772251863315,1.029748248485724,0.9993881485069944,1.0009203953604882,0.017429232047844807
