model,global_progress,phase,phase_progress,alpha_x,alpha_y,g_translation,g_yaw
Pdiag finite,0.1979166666666666,Align keyed,0.7916666666666666,0.8860835467644755,1.0717546196710903,0.978919083217783,0.9895840081288348
Pdiag finite,0.2083333333333333,Align keyed,0.8333333333333334,0.9033863196295064,1.0614671657301742,0.9824267426798404,0.9828865006191578
Pdiag finite,0.21875,Align keyed,0.875,0.9289005173990096,1.0485222624848505,0.98871138994193,0.9804484546076744
Pdiag finite,0.2291666666666666,Align keyed,0.9166666666666666,0.9569213247002164,1.0362302864966864,0.9965758055984512,0.9841273751331956
Pdiag finite,0.2395833333333333,Align keyed,0.9583333333333334,0.981509136022338,1.0268477562038532,1.0041784461130956,0.9921881111543868
Pdiag finite,0.25,Align keyed,1.0,0.99882117930277,1.0209568383605307,1.0098890088316503,1.0009250002818626
Pdiag finite,0.25,Enter key,0.0,0.99882117930277,1.0209568383605307,1.0098890088316503,1.0009250002818626
Pdiag finite,0.2604166666666667,Enter key,0.0416666666666666,1.0077332047033336,1.0176607185538074,1.0126969616285706,1.0068756198600015
Pdiag finite,0.2708333333333333,Enter key,0.0833333333333333,1.0093389509246646,1.015445765977751,1.0123923584512078,1.0082946440516596
Pdiag finite,0.28125,Enter key,0.125,1.0061806331254706,1.0131237013677372,1.009652167246604,1.0055382968391664
Pdiag finite,0.2916666666666667,Enter key,0.1666666666666666,1.0014274060291724,1.0103813314479322,1.0059043687385525,1.000644783458273
Pdiag finite,0.3020833333333333,Enter key,0.2083333333333333,0.997904836858156,1.0077950291477202,1.002849933002938,0.9963448011817516
Pdiag finite,0.3125,Enter key,0.25,0.9971727914458204,1.0064002977741864,1.0017865446100034,0.9947571786824748
Pdiag finite,0.3229166666666666,Enter key,0.2916666666666667,0.999137718481231,1.0070459378511762,1.0030918281662036,0.9963733601229414
Pdiag finite,0.3333333333333333,Enter key,0.3333333333333333,1.002447310529852,1.0098584979897445,1.0061529042597983,0.999970342905519
Pdiag finite,0.34375,Enter key,0.375,1.005382713734306,1.0141020733384607,1.0097423935363834,1.0034729545315968
Pdiag finite,0.3541666666666666,Enter key,0.4166666666666667,1.006708381786169,1.0184848375377855,1.0125966096619774,1.0051289029772803
Pdiag finite,0.3645833333333333,Enter key,0.4583333333333333,1.0061167365885646,1.021697946313154,1.0139073414508593,1.0043179415495502
Pdiag finite,0.375,Enter key,0.5,1.004204558503334,1.022892299805737,1.0135484291545356,1.0017148731724117
Pdiag finite,0.3854166666666666,Enter key,0.5416666666666666,1.0020852153018869,1.0219175872103374,1.012001401256112,0.9988470206605468
Pdiag finite,0.3958333333333333,Enter key,0.5833333333333334,1.000815846899561,1.0192996266137546,1.0100577367566577,0.997255035916798
Pdiag finite,0.40625,Enter key,0.625,1.0008908229802578,1.0160054598741453,1.0084481414272015,0.9976581773390988
Pdiag finite,0.4166666666666666,Enter key,0.6666666666666666,1.0020505519308915,1.0130768675143145,1.0075637097226031,0.9996112716839838
Pdiag finite,0.4270833333333333,Enter key,0.7083333333333334,1.0034895231816396,1.011258056031438,1.007373789606539,1.001863404629944
Pdiag finite,0.4375,Enter key,0.75,1.004314008429761,1.0107692007694753,1.0075416045996182,1.003149003682244
Pdiag finite,0.4479166666666666,Enter key,0.7916666666666666,1.003986312040566,1.0113190875925864,1.0076526998165762,1.0029040889609917
Pdiag finite,0.4583333333333333,Enter key,0.8333333333333334,1.0025527637335137,1.0123236493418928,1.0074382065377032,1.0015307152534771
Pdiag finite,0.46875,Enter key,0.875,1.0005857594572731,1.0131973220095056,1.0068915407333896,1.0000910980758695
Pdiag finite,0.4791666666666666,Enter key,0.9166666666666666,0.9988865494585236,1.0135770521140253,1.0062318007862745,0.9995514475939864
Pdiag finite,0.4895833333333333,Enter key,0.9583333333333334,0.9980874092751616,1.0134041187716984,1.00574576402343,0.9999384029379744
Pdiag finite,0.5,Enter key,1.0,0.998346978885402,1.0128657668938537,1.0056063728896278,0.9998883256479858
Pdiag finite,0.5,Unlock yaw,0.0,0.998346978885402,1.0128657668938537,1.0056063728896278,0.9998883256479858
Pdiag finite,0.5104166666666666,Unlock yaw,0.0416666666666666,0.9992944656642716,1.0122500533909766,1.0057722595276242,0.9968348975575158
Pdiag finite,0.5208333333333334,Unlock yaw,0.0833333333333333,1.000237890869171,1.0117886572448218,1.0060132740569965,0.98762821651662
Pdiag finite,0.53125,Unlock yaw,0.125,1.000503349566961,1.0115559553719,1.0060296524694303,0.9691790525972674
Pdiag finite,0.5416666666666666,Unlock yaw,0.1666666666666666,0.9997229913264656,1.0114599846420105,1.005591487984238,0.9389472938203258
Pdiag finite,0.5520833333333334,Unlock yaw,0.2083333333333333,0.9979477669003792,1.011314641828481,1.00463120436443,0.8953715457531589
Pdiag finite,0.5625,Unlock yaw,0.25,0.9955592955692872,1.010946565928087,1.003252930748687,0.8382718498406911
Pdiag finite,0.5729166666666666,Unlock yaw,0.2916666666666667,0.9930408834942622,1.0102820626715268,1.0016614730828943,0.7689581538528465
Pdiag finite,0.5833333333333334,Unlock yaw,0.3333333333333333,0.9907249539469388,1.0093775657962314,1.0000512598715852,0.6897812114458775
Pdiag finite,0.59375,Unlock yaw,0.375,0.9886448627898512,1.0083870996559523,0.998515981222902,0.6034138551321706
Pdiag finite,0.6041666666666666,Unlock yaw,0.4166666666666667,0.9865637951054808,1.0074878002288183,0.9970257976671496,0.5125973279006445
