pair_key,family,claim,source_task,target_task,seed,sample_size,repeat,method,target_nominal_trajectories,target_interventions_for_fit,target_interventions_for_validation,source_sample_size,fit_success,fit_error,fit_seconds,m_transfer_correct,e_alpha,heldout_prediction_mse,alpha_active_du,alpha_active_dv,alpha_active_dw,alpha_active_roll,alpha_active_pitch,alpha_active_yaw
drawer_to_plate_push,one_axis_sliding,rail/sliding du relevance transfers across articulated drawer and free plate push,drawer_middle_open,plate_front_push,20280818,3,0,Phase scalar GP target scratch,0,3,0,0,True,,0.11502074007876217,False,0.09228618352275215,4.875565387272007e-06,0.029608375339104476,0.029608375339104476,0.029608375339104476,0.029608375339104476,0.029608375339104476,0.029608375339104476
drawer_to_plate_push,one_axis_sliding,rail/sliding du relevance transfers across articulated drawer and free plate push,drawer_middle_open,plate_front_push,20280818,3,0,Pdiag finite target scratch,0,3,0,0,True,,0.4978032470680773,True,0.012885211517783964,7.212944130039723e-07,0.6459126792534721,5.592244680188379e-08,6.759916239142668e-08,1.3841907438131967e-07,1.3317866847759597e-07,2.3372713520858014e-07
drawer_to_plate_push,one_axis_sliding,rail/sliding du relevance transfers across articulated drawer and free plate push,drawer_middle_open,plate_front_push,20280818,5,0,Ours transfer: source Pdiag N=30 + target nominal N=1,1,0,5,30,True,,0.0,True,1.3524771462458858e-05,6.13597182488142e-10,1.0097723097953395,1.937481014268744e-06,2.7912150801366443e-06,9.483715033385334e-06,1.2190012337109384e-05,6.5874770782379e-06
drawer_to_plate_push,one_axis_sliding,rail/sliding du relevance transfers across articulated drawer and free plate push,drawer_middle_open,plate_front_push,20280818,5,0,Frame-weighted target scratch,0,5,0,0,True,,0.004009354044683278,False,0.09251514107678237,5.899831164972279e-06,0.30536735314402713,0.30536735314402713,0.30536735314402713,0.30536735314402713,0.30536735314402713,0.30536735314402713
drawer_to_plate_push,one_axis_sliding,rail/sliding du relevance transfers across articulated drawer and free plate push,drawer_middle_open,plate_front_push,20280818,5,0,Phase scalar GP target scratch,0,5,0,0,True,,0.12614600895904005,False,0.09251487830170231,5.899865806603071e-06,0.30768944506966,0.30768944506966,0.30768944506966,0.30768944506966,0.30768944506966,0.30768944506966
drawer_to_plate_push,one_axis_sliding,rail/sliding du relevance transfers across articulated drawer and free plate push,drawer_middle_open,plate_front_push,20280818,5,0,Pdiag finite target scratch,0,5,0,0,True,,0.49197954789269716,True,1.81743001183456e-05,1.3568062695115792e-07,1.0033563063691435,4.936701046038898e-06,6.96200303928906e-06,9.125651066070756e-06,9.771497648278944e-06,8.070977424992398e-06
drawer_to_plate_push,one_axis_sliding,rail/sliding du relevance transfers across articulated drawer and free plate push,drawer_middle_open,plate_front_push,20280818,8,0,Ours transfer: source Pdiag N=30 + target nominal N=1,1,0,8,30,True,,0.0,True,1.3524771462458858e-05,6.211651262566804e-10,1.0097723097953395,1.937481014268744e-06,2.7912150801366443e-06,9.483715033385334e-06,1.2190012337109384e-05,6.5874770782379e-06
drawer_to_plate_push,one_axis_sliding,rail/sliding du relevance transfers across articulated drawer and free plate push,drawer_middle_open,plate_front_push,20280818,8,0,Frame-weighted target scratch,0,8,0,0,True,,0.003957768087275326,False,0.0819699162537768,4.573553060681486e-06,0.20150909308041218,0.20150909308041218,0.20150909308041218,0.20150909308041218,0.20150909308041218,0.20150909308041218
drawer_to_plate_push,one_axis_sliding,rail/sliding du relevance transfers across articulated drawer and free plate push,drawer_middle_open,plate_front_push,20280818,8,0,Phase scalar GP target scratch,0,8,0,0,True,,0.12281030893791467,False,0.08197021547062304,4.57358136833746e-06,0.2030414200733508,0.2030414200733508,0.2030414200733508,0.2030414200733508,0.2030414200733508,0.2030414200733508
drawer_to_plate_push,one_axis_sliding,rail/sliding du relevance transfers across articulated drawer and free plate push,drawer_middle_open,plate_front_push,20280818,8,0,Pdiag finite target scratch,0,8,0,0,True,,0.749637708067894,True,9.703550736129781e-05,1.2646189392855256e-07,0.9809365378337501,2.295769796543715e-06,2.8332737802830913e-06,7.848837779373537e-06,9.36160316464314e-06,4.716799893469594e-06
knob_to_microwave_door,revolute_yaw,yaw-only relevance transfers across knob and hinged door,stove_knob_turn,microwave_door_revolute,20260818,3,0,Ours transfer: source Pdiag N=30 + target nominal N=1,1,0,3,30,True,,0.0,True,1.3799406324010699e-05,1.017350063761099e-09,1.744278526232327e-06,1.7505174794553763e-06,1.7455860797704926e-06,1.8919196679042228e-06,1.91693818817826e-06,1.0085276755362231
knob_to_microwave_door,revolute_yaw,yaw-only relevance transfers across knob and hinged door,stove_knob_turn,microwave_door_revolute,20260818,3,0,Frame-weighted target scratch,0,3,0,0,True,,0.003946910961531103,False,0.09969114509357403,5.460337253930276e-06,0.34415778750734205,0.34415778750734205,0.34415778750734205,0.34415778750734205,0.34415778750734205,0.34415778750734205
