model,task_key,sample_size,alpha_active_du,alpha_active_dv,alpha_active_dw,alpha_active_roll,alpha_active_pitch,alpha_active_yaw
Full operator (SE(3)),stove_knob_turn,15,0.0,0.0,0.0,0.0,0.0,0.9999835737400886
Pdiag pointwise (SE(3)),stove_knob_turn,15,0.0,0.0,0.0,0.0,0.0,1.0
Pdiag finite (SE(3)),stove_knob_turn,15,1.7441665269397575e-06,1.7360664466717251e-06,1.735985279655504e-06,2.1498854752118504e-06,2.05120047212779e-06,1.0123935826823511
Frame-weighted (SE(3)),stove_knob_turn,30,0.29594524258709387,0.29594524258709387,0.29594524258709387,0.29594524258709387,0.29594524258709387,0.29594524258709387
Phase scalar GP (SE(3)),stove_knob_turn,30,0.29819568631280935,0.29819568631280935,0.29819568631280935,0.29819568631280935,0.29819568631280935,0.29819568631280935
TP-GMM additive (SE(3)),stove_knob_turn,30,0.018303299107341724,0.009732778700334973,0.01786704523197946,0.02361743967957793,0.024474396157158518,0.9896512226296361
TP-GMM SE(3),stove_knob_turn,30,0.001324639483206413,0.0037992038574795853,0.004670158710093891,0.008263865504039236,0.0029332869396843098,0.9938819525851561
Full operator (SE(3)),stove_knob_turn,30,0.0,0.0,0.0,0.0,0.0,0.9999949039582536
Pdiag pointwise (SE(3)),stove_knob_turn,30,0.0,0.0,0.0,0.0,0.0,1.0
Pdiag finite (SE(3)),stove_knob_turn,30,1.7442785262323274e-06,1.750517479455376e-06,1.7455866084833259e-06,2.3014165602775113e-06,2.2288732078429205e-06,1.0085276755362231
Frame-weighted (SE(3)),microwave_door_revolute,8,0.27229299472054413,0.27229299472054413,0.27229299472054413,0.27229299472054413,0.27229299472054413,0.27229299472054413
Phase scalar GP (SE(3)),microwave_door_revolute,8,0.27436358062346494,0.27436358062346494,0.27436358062346494,0.27436358062346494,0.27436358062346494,0.27436358062346494
TP-GMM additive (SE(3)),microwave_door_revolute,8,0.007140973294750473,0.017515143124470202,0.008866347359101419,0.013645337558241119,0.021764855295276053,0.9966902859925048
TP-GMM SE(3),microwave_door_revolute,8,-9.776973434116647e-05,0.02150997118209007,0.009376053221426666,0.008341452002410765,0.018361392296394108,0.9934306180281239
Full operator (SE(3)),microwave_door_revolute,8,0.0,0.0,0.0,0.0,0.0,0.9997838537626207
Pdiag pointwise (SE(3)),microwave_door_revolute,8,0.0,0.0,0.0,0.0,0.0,0.9999999999999996
Pdiag finite (SE(3)),microwave_door_revolute,8,3.150823318715252e-06,3.174159221240626e-06,3.188039742821804e-06,6.875631027824355e-06,5.788436346208638e-06,1.009101304738379
Frame-weighted (SE(3)),microwave_door_revolute,15,0.28444626857975075,0.28444626857975075,0.28444626857975075,0.28444626857975075,0.28444626857975075,0.28444626857975075
Phase scalar GP (SE(3)),microwave_door_revolute,15,0.2866092711485356,0.2866092711485356,0.2866092711485356,0.2866092711485356,0.2866092711485356,0.2866092711485356
TP-GMM additive (SE(3)),microwave_door_revolute,15,0.0038362166904776576,0.0030905354017526964,0.0038895179070898584,0.009711584780429364,0.011694240753740667,0.9970767007170953
TP-GMM SE(3),microwave_door_revolute,15,0.0020282060536790636,0.0016854012877065773,0.003503548065385491,0.004457557525603469,0.005986637305407975,0.9930553180911272
Full operator (SE(3)),microwave_door_revolute,15,0.0,0.0,0.0,0.0,0.0,0.9999835737400888
Pdiag pointwise (SE(3)),microwave_door_revolute,15,0.0,0.0,0.0,0.0,0.0,0.9999999999999998
Pdiag finite (SE(3)),microwave_door_revolute,15,1.7441784296522763e-06,1.7360650397227509e-06,1.7359858837306378e-06,4.576716333918366e-06,2.041506998171319e-06,1.0123935788633487
Frame-weighted (SE(3)),microwave_door_revolute,30,0.29594524258709387,0.29594524258709387,0.29594524258709387,0.29594524258709387,0.29594524258709387,0.29594524258709387
Phase scalar GP (SE(3)),microwave_door_revolute,30,0.298195686359707,0.298195686359707,0.298195686359707,0.298195686359707,0.298195686359707,0.298195686359707
