model,task_key,family,sample_size,accuracy,sum,count
TP-GMM additive (SE(3)),plate_front_push,planar_one_axis_push,8,1.0,18,18
TP-GMM SE(3),plate_front_push,planar_one_axis_push,8,1.0,18,18
Full operator (SE(3)),plate_front_push,planar_one_axis_push,8,1.0,18,18
Pdiag pointwise (SE(3)),plate_front_push,planar_one_axis_push,8,1.0,18,18
Pdiag finite (SE(3)),plate_front_push,planar_one_axis_push,8,1.0,18,18
Frame-weighted (SE(3)),plate_front_push,planar_one_axis_push,15,0.0,0,18
Phase scalar GP (SE(3)),plate_front_push,planar_one_axis_push,15,0.0,0,18
TP-GMM additive (SE(3)),plate_front_push,planar_one_axis_push,15,1.0,18,18
TP-GMM SE(3),plate_front_push,planar_one_axis_push,15,1.0,18,18
Full operator (SE(3)),plate_front_push,planar_one_axis_push,15,1.0,18,18
Pdiag pointwise (SE(3)),plate_front_push,planar_one_axis_push,15,1.0,18,18
Pdiag finite (SE(3)),plate_front_push,planar_one_axis_push,15,1.0,18,18
Frame-weighted (SE(3)),plate_front_push,planar_one_axis_push,30,0.0,0,18
Phase scalar GP (SE(3)),plate_front_push,planar_one_axis_push,30,0.0,0,18
TP-GMM additive (SE(3)),plate_front_push,planar_one_axis_push,30,1.0,18,18
TP-GMM SE(3),plate_front_push,planar_one_axis_push,30,1.0,18,18
Full operator (SE(3)),plate_front_push,planar_one_axis_push,30,1.0,18,18
Pdiag pointwise (SE(3)),plate_front_push,planar_one_axis_push,30,1.0,18,18
Pdiag finite (SE(3)),plate_front_push,planar_one_axis_push,30,1.0,18,18
Frame-weighted (SE(3)),bowl_on_stove,support_placement,8,0.0,0,18
Phase scalar GP (SE(3)),bowl_on_stove,support_placement,8,0.0,0,18
TP-GMM additive (SE(3)),bowl_on_stove,support_placement,8,1.0,18,18
TP-GMM SE(3),bowl_on_stove,support_placement,8,1.0,18,18
Full operator (SE(3)),bowl_on_stove,support_placement,8,1.0,18,18
Pdiag pointwise (SE(3)),bowl_on_stove,support_placement,8,1.0,18,18
Pdiag finite (SE(3)),bowl_on_stove,support_placement,8,1.0,18,18
Frame-weighted (SE(3)),bowl_on_stove,support_placement,15,0.0,0,18
Phase scalar GP (SE(3)),bowl_on_stove,support_placement,15,0.0,0,18
TP-GMM additive (SE(3)),bowl_on_stove,support_placement,15,1.0,18,18
TP-GMM SE(3),bowl_on_stove,support_placement,15,1.0,18,18
Full operator (SE(3)),bowl_on_stove,support_placement,15,1.0,18,18
Pdiag pointwise (SE(3)),bowl_on_stove,support_placement,15,1.0,18,18
Pdiag finite (SE(3)),bowl_on_stove,support_placement,15,1.0,18,18
Frame-weighted (SE(3)),bowl_on_stove,support_placement,30,0.0,0,18
Phase scalar GP (SE(3)),bowl_on_stove,support_placement,30,0.0,0,18
TP-GMM additive (SE(3)),bowl_on_stove,support_placement,30,1.0,18,18
TP-GMM SE(3),bowl_on_stove,support_placement,30,1.0,18,18
Full operator (SE(3)),bowl_on_stove,support_placement,30,1.0,18,18
Pdiag pointwise (SE(3)),bowl_on_stove,support_placement,30,1.0,18,18
Pdiag finite (SE(3)),bowl_on_stove,support_placement,30,1.0,18,18
Frame-weighted (SE(3)),bowl_on_plate,stacking_support,8,0.0,0,18
Phase scalar GP (SE(3)),bowl_on_plate,stacking_support,8,0.0,0,18
TP-GMM additive (SE(3)),bowl_on_plate,stacking_support,8,1.0,18,18
TP-GMM SE(3),bowl_on_plate,stacking_support,8,1.0,18,18
Full operator (SE(3)),bowl_on_plate,stacking_support,8,1.0,18,18
Pdiag pointwise (SE(3)),bowl_on_plate,stacking_support,8,1.0,18,18
Pdiag finite (SE(3)),bowl_on_plate,stacking_support,8,1.0,18,18
Frame-weighted (SE(3)),bowl_on_plate,stacking_support,15,0.0,0,18
Phase scalar GP (SE(3)),bowl_on_plate,stacking_support,15,0.0,0,18
TP-GMM additive (SE(3)),bowl_on_plate,stacking_support,15,1.0,18,18
TP-GMM SE(3),bowl_on_plate,stacking_support,15,1.0,18,18
Full operator (SE(3)),bowl_on_plate,stacking_support,15,1.0,18,18
Pdiag pointwise (SE(3)),bowl_on_plate,stacking_support,15,1.0,18,18
Pdiag finite (SE(3)),bowl_on_plate,stacking_support,15,1.0,18,18
Frame-weighted (SE(3)),bowl_on_plate,stacking_support,30,0.0,0,18
Phase scalar GP (SE(3)),bowl_on_plate,stacking_support,30,0.0,0,18
TP-GMM additive (SE(3)),bowl_on_plate,stacking_support,30,1.0,18,18
TP-GMM SE(3),bowl_on_plate,stacking_support,30,1.0,18,18
Full operator (SE(3)),bowl_on_plate,stacking_support,30,1.0,18,18
Pdiag pointwise (SE(3)),bowl_on_plate,stacking_support,30,1.0,18,18
Pdiag finite (SE(3)),bowl_on_plate,stacking_support,30,1.0,18,18
Frame-weighted (SE(3)),cream_cheese_in_bowl,container_in,8,0.0,0,18
Phase scalar GP (SE(3)),cream_cheese_in_bowl,container_in,8,0.0,0,18
TP-GMM additive (SE(3)),cream_cheese_in_bowl,container_in,8,1.0,18,18
TP-GMM SE(3),cream_cheese_in_bowl,container_in,8,1.0,18,18
Full operator (SE(3)),cream_cheese_in_bowl,container_in,8,1.0,18,18
