seed,model,generator,task_error_mm_equiv_mean,task_error_mm_equiv_median,task_endpoint_error_mm_equiv_mean,task_endpoint_error_mm_equiv_median
20270818,Pdiag pointwise,yaw,2.9010795909633247,2.6755283222817807,0.1095953916076552,0.08241563458826076
20270818,Pdiag pointwise,translation,1.6304178507459945,1.7339399512512375,0.34159693149180087,0.3685595184904044
20270818,Pdiag finite,yaw,2.578407525154401,2.5973876961258267,0.20338194905996448,0.23075210166825505
20270818,Pdiag finite,translation,1.8032126525817331,1.9454542904324301,0.6118623401901784,0.73316481872439
20280818,Frame-weighted,yaw,2.859086830650954,2.6807271927645604,0.17005322948852947,0.159575990084692
20280818,Frame-weighted,translation,7.59356523434568,4.861815224089538,6.298598676421035,6.367777280076446
20280818,Phase scalar GP,yaw,2.895309668418457,2.762064875645925,0.16939160559987218,0.1590165889085762
20280818,Phase scalar GP,translation,7.616206759173895,4.870642290449469,6.251263572309232,6.320895352055615
20280818,TP-GMM additive,yaw,2.4719306840460975,2.506788361879271,0.13957834377923803,0.1349328928707884
20280818,TP-GMM additive,translation,5.178127514615769,2.066111178981137,0.22129440084113228,0.1069445821605619
20280818,TP-GMM SE(2),yaw,2.8317173921468317,3.000326452421863,0.170785935349837,0.15500179978402423
20280818,TP-GMM SE(2),translation,5.759690829581045,2.8804835817201733,0.23427595562834636,0.11453717244799395
20280818,Generic RBF,yaw,3.4134874561199964,3.3438903903389696,2.656901181598074,2.6619303117620885
20280818,Generic RBF,translation,6.92462058710367,4.664545312709883,2.77252826382879,2.8619538781489533
20280818,Full operator,yaw,2.2704751311027915,2.157544604189339,0.10973618150302575,0.1057910862325285
20280818,Full operator,translation,6.187182630982289,3.951949932280038,0.24991719176941884,0.1224149989376863
20280818,Pdiag pointwise,yaw,3.2181780422497166,2.922719104011579,0.11532527231492407,0.1239713850447603
20280818,Pdiag pointwise,translation,5.407534073112428,2.4297628104988656,0.2400149614364938,0.1059944724255646
20280818,Pdiag finite,yaw,1.8534293479855095,1.7255096213909966,0.19320421787442246,0.1766212864186174
20280818,Pdiag finite,translation,5.06529138954978,2.1480390335395967,0.4581901576662176,0.46645026869924905
20290818,Frame-weighted,yaw,3.6210486756454445,3.43454822463064,0.2106574396680398,0.23013080095309976
20290818,Frame-weighted,translation,5.8946190558173654,5.573165022557877,6.448800212672179,6.460207948772455
20290818,Phase scalar GP,yaw,3.635884435662156,3.44000289820245,0.21041188809429234,0.22993394557463376
20290818,Phase scalar GP,translation,5.911389832416916,5.5883740834407725,6.428583337194324,6.4399926573530735
20290818,TP-GMM additive,yaw,5.14248101607578,5.168779046062899,0.19359758728053272,0.1799806832531278
20290818,TP-GMM additive,translation,4.852167624419445,4.7482290383414565,0.2727856269702047,0.2987217392223098
20290818,TP-GMM SE(2),yaw,3.203308710692628,3.182787610416958,0.2482590362005225,0.24490470352331956
20290818,TP-GMM SE(2),translation,3.606550585316977,3.271072665707961,0.26091583026249476,0.28275948072857726
20290818,Generic RBF,yaw,4.393650088229789,4.361328948928239,2.668592059354573,2.674894109335464
20290818,Generic RBF,translation,5.520971700282034,5.629110343347003,2.8434483177766774,2.938434130245583
20290818,Full operator,yaw,3.3960598997032676,3.385646048238889,0.21714723306997413,0.2370156721141394
20290818,Full operator,translation,4.703141140893334,5.017852848071013,0.21726886750328134,0.26838330048110054
20290818,Pdiag pointwise,yaw,3.5861159998429932,3.4062212384154558,0.18147499629537373,0.19587091016382857
20290818,Pdiag pointwise,translation,3.8108223203506104,3.548401427352637,0.20260055164372093,0.2568340868677222
20290818,Pdiag finite,yaw,2.3837497888500856,2.3374294875293304,0.24251076286754553,0.1838138993764871
20290818,Pdiag finite,translation,2.660556653803429,2.3228098943604305,0.48627640409785605,0.4654877105854784
20300818,Frame-weighted,yaw,2.3106637419874554,2.455945542502049,0.3396903926120619,0.21667627632790865
20300818,Frame-weighted,translation,3.694700995299169,3.6901168968286147,6.5097967964122585,6.509007374383385
20300818,Phase scalar GP,yaw,2.310492837619007,2.4557080091842214,0.3396821763376359,0.216667215681866
20300818,Phase scalar GP,translation,3.6943330760535997,3.689516433993627,6.508931399394642,6.508142539986463
20300818,TP-GMM additive,yaw,2.1778161343815965,2.0500278962913727,0.29730171086921797,0.21150138318185524
20300818,TP-GMM additive,translation,2.0310804855849507,1.9986785841326387,0.3555168990303373,0.359406828055564
20300818,TP-GMM SE(2),yaw,2.1134839741224436,2.050281378800848,0.3075604840235322,0.17796348115355115
20300818,TP-GMM SE(2),translation,2.2555475545977774,2.3717424904357376,0.3637128833010253,0.3622867453311379
20300818,Generic RBF,yaw,1.5109165883532203,1.6163498052045253,0.4212255493261363,0.31056188630420156
20300818,Generic RBF,translation,1.6292340308725157,1.5707248771336833,0.4498974926148352,0.4460456291931282
20300818,Full operator,yaw,1.4510682156608001,1.5515708423537728,0.3096941353315176,0.18951847720868734
20300818,Full operator,translation,1.5825052613997437,1.5340649106689421,0.272744183152105,0.26838415434749374
20300818,Pdiag pointwise,yaw,2.289306478074563,2.4332501274004357,0.3136315096198725,0.18380278144162854
20300818,Pdiag pointwise,translation,1.362753310066408,1.3159816954291321,0.3157250205562484,0.3204501133326962
20300818,Pdiag finite,yaw,1.7712358312841008,1.8774879701641076,0.24792047318683716,0.1414026953507736
20300818,Pdiag finite,translation,1.467856033378128,1.428737018402763,0.5258533828447529,0.5071822110121847
