seed,model,response_error_mean_mm_equiv,response_error_ci_low,response_error_ci_high,response_endpoint_error_mean_mm_equiv,response_endpoint_error_ci_low,response_endpoint_error_ci_high,task_error_mean_mm_equiv,task_error_ci_low,task_error_ci_high,task_endpoint_error_mean_mm_equiv,task_endpoint_error_ci_low,task_endpoint_error_ci_high,generator_rmse,translation_profile_rmse,yaw_profile_rmse,g_translation_final,g_yaw_preclear,g_yaw_final,crossing_detected,switch_status,switch_s_0_5,switch_absolute_error,switch_penalized_absolute_error
20270818,TP-GMM additive,4.387872784574821,3.707383525602479,5.281682573106374,0.7210713067850612,0.4765615202776803,1.0053256802102057,4.0693304616423305,3.5412316049587838,4.760272091613876,0.19025335495864037,0.12883607339948916,0.28921328288015513,0.13244861820364764,0.12523884098037733,0.12677726714920537,0.9974966857540665,0.8311826354874601,0.07236150223017361,True,detected,0.5879104838128693,0.008707671361065317,0.008707671361065317
20270818,TP-GMM SE(2),3.014697025153312,2.3287286609243343,3.8489244561430582,0.884082606654087,0.5834650900034943,1.231652621023321,2.8477002967761202,2.2532479262158955,3.555670327232907,0.838881077165386,0.5116725050423852,1.2022554100289715,0.10631029691006122,0.09879913625393312,0.09015143464804928,0.9629087203342009,0.9758550701241718,0.018351562744022488,True,detected,0.6108459769766685,0.014227821802733964,0.014227821802733964
20270818,Generic RBF,1.9756994274382693,1.5050251913482977,2.4185028230250065,0.2416723324060594,0.1149197225455544,0.3883451250138023,1.9425125136855763,1.4817677126221305,2.377471186317953,0.23481078639670394,0.10485811825876841,0.38556287037554143,0.09606208758113637,0.06778267202851321,0.021589830694891527,1.0114962946201795,0.9999164007302003,0.0002699441314845702,True,detected,0.6013909946779338,0.004772839503999204,0.004772839503999204
20270818,Full operator,1.9654698750450794,1.493003185056132,2.4096093180796383,0.24166574773686944,0.11505222558372377,0.38832725677468405,1.9322714151867442,1.4682879609934727,2.3711661611843216,0.23481514566180867,0.10487721107730105,0.38559201459755277,0.09604382765806764,0.06775301587609603,0.021587908691157176,1.0114932389902163,0.9998749071352191,0.00026680354267695646,True,detected,0.6013820305547065,0.0047638753807719425,0.0047638753807719425
20270818,Pdiag pointwise,2.2995071679852948,1.6637143889041695,2.9220611030951127,0.22972728896670994,0.1230228075854286,0.3487107771065963,2.2657487208546594,1.647161613430757,2.867311478288326,0.22559616154972809,0.11725174190137115,0.34704128146254143,0.13511459268561285,0.09064000958273108,0.02481847260670374,1.011972417519425,0.99976321849802,0.0002120536163569292,True,detected,0.6017409450786328,0.005122789904698277,0.005122789904698277
20270818,Pdiag finite,2.2514319680885317,1.761777442999554,2.689408273592164,0.5211696999940238,0.36292396536341265,0.6772754571071604,2.1908100888680675,1.7266760410116566,2.597458691379347,0.40762214462507146,0.2077808722052976,0.6250322826436072,0.11306526083440363,0.07408885131645132,0.0592056965603604,0.997163051077891,0.9965648475991655,0.027270776561878856,True,detected,0.6033111079273575,0.006692952753422965,0.006692952753422965
20280818,Frame-weighted,6.5380033297657825,4.505815487361458,9.676633346998907,6.525563238373858,5.39969735240816,7.714739899858175,5.226326032498317,3.051312356508136,8.719704025499407,3.2343259529547823,0.9570520122337828,5.486767121947039,0.5136615572568786,0.38039727080742525,0.38174746303859486,0.569368353450245,1.002105241658541,0.569368353450245,False,right_censored,,,0.40080283546182194
20280818,Phase scalar GP,6.567779418250142,4.534718663759721,9.728345830302706,6.520836593359213,5.394389277870375,7.727236681468826,5.2557582137961765,3.086968113779908,8.749169737379098,3.210327588954552,0.9505783733162019,5.44531003583232,0.51170907663219,0.37742581037388495,0.37977461638678783,0.5725246964161389,1.001883284954491,0.5725246964161389,False,right_censored,,,0.40080283546182194
20280818,TP-GMM additive,3.980410675091631,2.0939323967247083,7.293652965172058,0.1845530949027625,0.10385071131793107,0.31615117809267923,3.8250290993309335,1.9714317519565463,7.152505712719467,0.1804363723101852,0.09946835890764136,0.31258116028180705,0.43877614677468585,0.32743158270243544,0.08077611450548898,0.9975822294701484,0.9090043543881954,0.002846356611621351,True,detected,0.6231332079105771,0.023936043372399074,0.023936043372399074
20280818,TP-GMM SE(2),4.544769867069174,2.713796221849323,7.747640064538752,0.5647946698693425,0.3693333794344035,0.7779449946158707,4.295704110863938,2.4812906355034676,7.52984647252798,0.20253094548909173,0.10546879068907064,0.3418771769556781,0.430374646267592,0.289083526112904,0.10939680491820539,0.9975191444090763,0.8947040798941589,0.05596459011021296,True,detected,0.5764479725363346,0.022749192001843443,0.022749192001843443
