seed,model,episode,condition_id,generator,response_error_mm_equiv,response_endpoint_error_mm_equiv,task_error_mm_equiv,task_endpoint_error_mm_equiv
20270818,Pdiag pointwise,episode_8,8,translation,0.6558965398289722,0.249652419374262,0.6523563088995354,0.24926996612589
20270818,Pdiag finite,episode_0,0,yaw,2.336759242235585,0.4181983277776973,2.1659444358382283,0.1711305589214691
20270818,Pdiag finite,episode_1,1,yaw,2.2895691536669096,0.4024839548725328,2.2677667386674214,0.3130163618465297
20270818,Pdiag finite,episode_3,3,yaw,2.9680458198249635,0.3909904268568601,2.927008653584232,0.290373644415041
20270818,Pdiag finite,episode_4,4,yaw,3.194543466792254,0.4971452556594293,2.9529102725277228,0.0390072310568181
20270818,Pdiag finite,episode_5,5,translation,1.8289533084154692,0.6942635646598234,1.827178137133779,0.6928667363559455
20270818,Pdiag finite,episode_6,6,translation,2.4509282001262247,0.8718393746735214,2.449812416695313,0.8713981472898832
20270818,Pdiag finite,episode_7,7,translation,2.0656409309054813,0.7748427372265366,2.0637304437310813,0.7734629010928343
20270818,Pdiag finite,episode_8,8,translation,0.8770156227413665,0.11959395822579,0.8721296127667596,0.1097215760220503
20280818,Frame-weighted,episode_0,0,yaw,7.068648630179565,8.25077942434421,3.891707487560382,0.248658574366595
20280818,Frame-weighted,episode_2,1,yaw,3.593131078290593,3.792091857139552,2.1831854495143115,0.1716231324677225
20280818,Frame-weighted,episode_4,3,yaw,4.754180205978198,5.172009429280424,2.85145488143721,0.1124023634181389
20280818,Frame-weighted,episode_5,4,yaw,6.451158638528545,9.640830391348466,2.509999504091911,0.1475288477016615
20280818,Frame-weighted,episode_6,5,translation,4.077247251686602,6.562011086740717,4.062445033717071,6.52576951104177
20280818,Frame-weighted,episode_7,6,translation,5.591069413961894,6.364424957598348,5.576260435750247,6.327134635992276
20280818,Frame-weighted,episode_8,7,translation,4.16231909952202,6.446203126856308,4.14737001242883,6.408419924160616
20280818,Frame-weighted,episode_9,8,translation,16.606272319978842,5.976155633682843,16.58818545548657,5.933070634489478
20280818,Phase scalar GP,episode_0,0,yaw,7.057892203089481,8.296382892620986,3.8801808486605536,0.2479802504347378
20280818,Phase scalar GP,episode_2,1,yaw,3.587231522049805,3.812893683184656,2.1769280737214247,0.1709229288266002
20280818,Phase scalar GP,episode_4,3,yaw,4.816853769986216,5.200709582720696,2.913677129117902,0.1115529941475985
20280818,Phase scalar GP,episode_5,4,yaw,6.552738366678119,9.694332846702231,2.6104526221739484,0.1471102489905522
20280818,Phase scalar GP,episode_6,5,translation,4.110312057916848,6.514458402350104,4.095482122977505,6.477531196030308
20280818,Phase scalar GP,episode_7,6,translation,5.597927575590054,6.318679896077754,5.583111006004161,6.280685726971305
20280818,Phase scalar GP,episode_8,7,translation,4.173135707626868,6.399597332253296,4.158173574894776,6.361104977139926
20280818,Phase scalar GP,episode_9,8,translation,16.646144143063747,5.929638110963984,16.62806033281914,5.885732389095388
20280818,TP-GMM additive,episode_0,0,yaw,3.151559997785541,0.1408624470180122,2.814447680966924,0.1323403269519121
20280818,TP-GMM additive,episode_2,1,yaw,2.211415010630888,0.1429157527651438,2.0596983314589243,0.1375254587896647
20280818,TP-GMM additive,episode_4,3,yaw,2.715661902110513,0.0991371157887482,2.5629406748469084,0.0968422397683516
20280818,TP-GMM additive,episode_5,4,yaw,2.966617220228166,0.1958735874109118,2.450636048911633,0.1916053496070237
20280818,TP-GMM additive,episode_6,5,translation,1.526856105127928,0.0917907995892048,1.4713395269829328,0.0882250527391443
20280818,TP-GMM additive,episode_7,6,translation,2.5100465667686245,0.1256761467702074,2.508720788405719,0.1256641115819795
20280818,TP-GMM additive,episode_8,7,translation,1.6470031319018088,0.0668080181413608,1.6235015695565544,0.0594665427200691
20280818,TP-GMM additive,episode_9,8,translation,15.11412546617958,0.6133608917385107,15.10894817351787,0.6118218963233363
20280818,TP-GMM SE(2),episode_0,0,yaw,3.441525053142426,0.6320952963381865,2.890484366277948,0.0833639157730354
20280818,TP-GMM SE(2),episode_2,1,yaw,2.418554176556029,0.2547340665152523,2.1408353134570075,0.1567621209019978
20280818,TP-GMM SE(2),episode_4,3,yaw,3.5033825288203597,0.7103917951561348,3.185381350286593,0.1532414786660507
20280818,TP-GMM SE(2),episode_5,4,yaw,3.687651941407952,1.167529014151551,3.1101685385657785,0.2897762260582641
20280818,TP-GMM SE(2),episode_6,5,translation,2.0802570542964727,0.587052493829446,1.9924692785149392,0.1069386033586048
20280818,TP-GMM SE(2),episode_7,6,translation,3.254485057449731,0.1521783053566468,3.1287926669391,0.1221357415373831
20280818,TP-GMM SE(2),episode_8,7,translation,2.676308292875585,0.345399389006634,2.632174496501246,0.0647835000478331
20280818,TP-GMM SE(2),episode_9,8,translation,15.295994832004835,0.6689769986008884,15.285326876368892,0.6432459775695645
20280818,Generic RBF,episode_0,0,yaw,4.052943671825983,1.9339341979223044,4.030327166197278,1.933842837515842
20280818,Generic RBF,episode_2,1,yaw,2.945126197361063,2.3199854200539267,2.935841877604769,2.3197883508433472
20280818,Generic RBF,episode_4,3,yaw,3.585993505866029,3.004095353153817,3.569303793791834,3.0040722726808298
20280818,Generic RBF,episode_5,4,yaw,3.18085813502734,3.3699268364605675,3.118476986886105,3.369901265352276
20280818,Generic RBF,episode_6,5,translation,2.633717537096353,1.7055264229719385,2.625762022776516,1.704992828889733
20280818,Generic RBF,episode_7,6,translation,6.70681390874007,3.661216274845706,6.703328602643251,3.66121247012752
20280818,Generic RBF,episode_8,7,translation,2.562753119626457,2.697617675890182,2.5621630290410367,2.6971918797672005
20280818,Generic RBF,episode_9,8,translation,15.80763652665696,3.0269367000872496,15.807228693953876,3.026715876530706
20280818,Full operator,episode_0,0,yaw,3.4716859837521183,0.2008144843378831,3.450681070348698,0.2003368007798484
20280818,Full operator,episode_2,1,yaw,1.9159859233956849,0.0988081334081515,1.901402101687971,0.0951153807161677
20280818,Full operator,episode_4,3,yaw,2.4574606983310523,0.0292745002164682,2.4136871066907077,0.0270257527671976
20280818,Full operator,episode_5,4,yaw,1.4828795145186655,0.1173149184328092,1.316130245683789,0.1164667917488893
20280818,Full operator,episode_6,5,translation,2.4081692616842147,0.1295316546135547,2.3745890234360245,0.1215276436003554
20280818,Full operator,episode_7,6,translation,5.559845714518797,0.1233055775317253,5.529310841124052,0.1233023542750172
20280818,Full operator,episode_8,7,translation,1.7718615943139688,0.1102429558264536,1.7660728483398247,0.1035816962796051
20280818,Full operator,episode_9,8,translation,15.079197175685051,0.6519651198541638,15.078757811029252,0.6512570729226976
20280818,Pdiag pointwise,episode_0,0,yaw,4.558428722903163,0.1749436719424948,4.542214568834528,0.1747518926758711
20280818,Pdiag pointwise,episode_2,1,yaw,2.503074152753297,0.1098274743165445,2.48505939214118,0.1071843464981248
20280818,Pdiag pointwise,episode_4,3,yaw,2.8325589660733645,0.0411100828800386,2.7842748937252515,0.0386064264943046
20280818,Pdiag pointwise,episode_5,4,yaw,3.225208921180148,0.1421441391522298,3.061163314297907,0.1407584235913958
20280818,Pdiag pointwise,episode_6,5,translation,1.4722009542539154,0.1079477395110609,1.470709333817278,0.105760703199371
20280818,Pdiag pointwise,episode_7,6,translation,3.219910047670816,0.0906118669905249,3.218420227381746,0.0878042128899852
20280818,Pdiag pointwise,episode_8,7,translation,1.641914115397516,0.1070720221319476,1.6411053936159847,0.1062282416517582
20280818,Pdiag pointwise,episode_9,8,translation,15.300086246474704,0.6602938300214266,15.299901337634704,0.6602666880048609
20280818,Pdiag finite,episode_0,0,yaw,2.2516515918777467,0.4086897379084508,2.132772865480389,0.164137835356538
20280818,Pdiag finite,episode_2,1,yaw,1.236283375156324,0.3835990756031573,1.2094419600221635,0.3325570133310522
20280818,Pdiag finite,episode_4,3,yaw,2.773971289425473,0.2873321088857553,2.7532561891378817,0.1891047374806968
20280818,Pdiag finite,episode_5,4,yaw,1.638797548867093,0.4186520384031419,1.3182463773016042,0.0870172853294028
20280818,Pdiag finite,episode_6,5,translation,1.356803304886506,0.5314310023902311,1.356361548846863,0.5313371092118128
20280818,Pdiag finite,episode_7,6,translation,2.9399028064190302,0.4665718757823497,2.9397165182323306,0.4664806293616754
20280818,Pdiag finite,episode_8,7,translation,1.3177694824792772,0.3689717748259448,1.3174129829183132,0.3685229840545596
20280818,Pdiag finite,episode_9,8,translation,14.648471832852032,0.4679326255332934,14.647674508201614,0.4664199080368227
20290818,Frame-weighted,episode_0,0,yaw,5.960793683136218,8.196531700227565,2.9384780712457386,0.2700597883346723
20290818,Frame-weighted,episode_1,1,yaw,4.346642975097867,3.756114687796568,2.998721041251672,0.0625389383700632
20290818,Frame-weighted,episode_3,3,yaw,5.822127552380093,5.166573857951822,3.870375408009608,0.1902018135715272
20290818,Frame-weighted,episode_4,4,yaw,8.489755249704508,9.637151913034495,4.67662018207476,0.3198292183958965
20290818,Frame-weighted,episode_5,5,translation,5.1128506058239775,6.534465382908021,5.097662354266726,6.496802876288903
20290818,Frame-weighted,episode_7,6,translation,5.9201246210096246,6.463172864056626,5.904447673962888,6.423613021256007
20290818,Frame-weighted,episode_9,7,translation,5.257482361379214,6.246069043727347,5.241882371152865,6.206505481778581
20290818,Frame-weighted,episode_10,8,translation,7.349136749027995,6.706439840768216,7.334483823886981,6.668279471365225
20290818,Phase scalar GP,episode_0,0,yaw,6.00626257284708,8.216011025361157,2.98406357287877,0.2699447993028689
20290818,Phase scalar GP,episode_1,1,yaw,4.3592920510011846,3.765013631662426,3.011415651689004,0.0621577835065309
