seed,subset_id,protocol,sample_size,repeat,mixed_indices,rank,augmented_intercept_rank,condition_number,model,fit_success,fit_error,fit_seconds,profile_index,task_error_mean_mm_equiv,task_endpoint_error_mean_mm_equiv,generator_rmse,g_translation_final,g_yaw_preclear,g_yaw_final,switch_detected,switch_absolute_error
20300818,61,random,10,1,"[0, 10, 12, 13, 16, 20, 23, 24, 28, 29]",3,4,1.7972955710162914,Full operator,True,,0.0017987070605158806,184,1.5720780734312263,0.2757393680551516,0.14794912066855298,0.9978174030119379,0.9998867809023563,0.0016495008294021,True,0.0007811478162992325
20300818,61,random,10,1,"[0, 10, 12, 13, 16, 20, 23, 24, 28, 29]",3,4,1.7972955710162914,Generic RBF,True,,0.2930529322475195,185,1.5837174957309175,0.2755521076171339,0.147904835786845,0.997820129053751,0.9998850187301129,0.0016408306196550014,True,0.0008840059789841925
20300818,62,random,10,2,"[1, 3, 5, 7, 8, 10, 21, 23, 26, 28]",3,4,1.5995492532664022,Pdiag finite,True,,1.835324898827821,186,1.7274207439707796,0.46568394185487955,0.08818728931738827,0.9635460206983271,0.9973422701620055,0.03130871149537796,True,0.00674022483302128
20300818,62,random,10,2,"[1, 3, 5, 7, 8, 10, 21, 23, 26, 28]",3,4,1.5995492532664022,Full operator,True,,0.001868066843599081,187,1.9143722445260667,0.44151546319491997,0.09452776242380458,0.9853664012736278,0.9994499787930422,0.003717745300744928,True,0.00388449247895839
20300818,62,random,10,2,"[1, 3, 5, 7, 8, 10, 21, 23, 26, 28]",3,4,1.5995492532664022,Generic RBF,True,,0.25337653001770377,188,1.9637574724471394,0.5872890314744034,0.09212411239469821,0.9784377287463688,0.9938455077512867,0.0038456754761493858,True,0.003950647739441315
20300818,63,random,10,3,"[0, 2, 3, 4, 5, 7, 15, 17, 20, 23]",3,4,1.8299755419679276,Pdiag finite,True,,4.375642688944936,189,1.8227575405796186,0.6427154455504243,0.12816592763710888,0.9874459029430083,1.0007683951914599,0.01925163602761816,True,0.003288929396852658
20300818,63,random,10,3,"[0, 2, 3, 4, 5, 7, 15, 17, 20, 23]",3,4,1.8299755419679276,Full operator,True,,0.0017810892313718796,190,1.6370094329812104,0.27054488556739237,0.1466997966122272,1.0015676007938425,1.0005006508996264,-0.00010183222486827114,True,0.0005762037490517624
20300818,63,random,10,3,"[0, 2, 3, 4, 5, 7, 15, 17, 20, 23]",3,4,1.8299755419679276,Generic RBF,True,,0.25822995603084564,191,1.7151836127807587,0.428030922807083,0.14472866524486971,0.9908895657935728,0.9936283771328479,-0.00010043973762206081,True,0.0006884320635330843
20300818,64,random,10,4,"[0, 5, 8, 11, 14, 16, 18, 19, 20, 28]",3,4,2.2813719707509796,Pdiag finite,True,,32.42030770285055,192,2.0972289663217856,0.5110200389358084,0.1683072546749543,0.9824492449551121,1.0009874067565216,0.024274875631866772,True,0.0016661624909420913
20300818,64,random,10,4,"[0, 5, 8, 11, 14, 16, 18, 19, 20, 28]",3,4,2.2813719707509796,Full operator,True,,0.0018083257600665092,193,2.3941907742308732,0.33980549435513474,0.22339560562828742,0.9837007651972918,1.003396862841473,0.0009451187395446593,True,0.0021242634004731142
20300818,64,random,10,4,"[0, 5, 8, 11, 14, 16, 18, 19, 20, 28]",3,4,2.2813719707509796,Generic RBF,True,,0.255594901740551,194,2.4492527240318314,0.5007643611616112,0.22182716963109206,0.9765330045071295,0.9949734482656987,0.0009494924053587277,True,0.002332763942785032
