seed,subset_id,protocol,sample_size,repeat,model,fit_success,fit_error,fit_seconds,task_error_mean_mm_equiv,task_endpoint_error_mean_mm_equiv,generator_rmse,g_translation_final,g_yaw_preclear,g_yaw_final,switch_detected,switch_absolute_error,n_components
20270818,9,random,3,9,TP-GMM SE(2),True,,0.32668357400007153,10.931937907717284,3.196469944065308,0.354101986032487,0.7704887995216769,0.38222534384257145,0.37840646274565193,False,,2
20270818,10,qualified,3,0,TP-GMM SE(2),True,,0.32294164300037664,8.911502871766423,0.4528274626812224,0.29442237428728574,0.9808637092977543,0.33793973310680453,0.3356897609171026,False,,2
20270818,11,qualified,3,1,TP-GMM SE(2),True,,0.28997276000018246,9.550528271022376,1.1996895963890537,0.315189869917471,0.9344723909155208,0.3279903583706371,0.3148565996155815,False,,2
20270818,12,qualified,3,2,TP-GMM SE(2),True,,0.2548701830000937,10.05634260837593,0.4840439134677661,0.29469504535102314,0.9759076398285771,0.34757465193648646,0.348526704789823,False,,2
20270818,13,qualified,3,3,TP-GMM SE(2),True,,0.3345456139995804,10.974439029750961,0.5376653693154544,0.2954423453377563,0.9812279815486769,0.4304332413324166,0.43040640795731083,False,,2
20270818,14,qualified,3,4,TP-GMM SE(2),True,,0.27252395200002866,10.099377606377354,0.32756458700043745,0.29986576606600246,0.9782115971821792,0.31931489877500246,0.32491446937187496,False,,2
20270818,15,qualified,3,5,TP-GMM SE(2),True,,0.31605998299983185,10.60904085289057,0.9525955120235581,0.30759253912287493,0.9420843228992968,0.3553525135308343,0.3704705141722898,False,,2
20270818,16,qualified,3,6,TP-GMM SE(2),True,,0.32775749599977644,8.232427069750035,0.3526744533532764,0.3026969365440269,0.9838963586191254,0.3341499754140479,0.3605905025150238,False,,2
20270818,17,qualified,3,7,TP-GMM SE(2),True,,0.3171526080000149,9.317042153344676,0.3863195391373664,0.2991975451326141,0.9918348801630279,0.31054160026835276,0.315491185324844,False,,2
20270818,18,qualified,3,8,TP-GMM SE(2),True,,0.3073183000001336,10.596397948833776,0.42235862091270254,0.30636470926512727,0.9811250520386531,0.3442110485541756,0.3478741667942809,False,,2
20270818,19,qualified,3,9,TP-GMM SE(2),True,,0.24150856500000373,10.26096893512879,0.3148777807220152,0.30545989078164026,0.9810869900666274,0.32423229217167804,0.32007432625516546,False,,2
20280818,0,random,3,0,TP-GMM SE(2),True,,0.2967736580003475,11.889903248564355,1.5752634432504238,0.4447291160080612,0.8521585716252458,0.3991866701696905,0.38986079744471586,False,,2
20280818,1,random,3,1,TP-GMM SE(2),True,,0.3191428119998818,11.455393610011928,0.271207492608318,0.4530382274439774,0.9951237381162743,0.3478897830489822,0.3486475660191806,False,,2
20280818,2,random,3,2,TP-GMM SE(2),True,,0.2862698310000269,12.902478383229475,1.678772365073248,0.49665898769757405,0.8227336771480729,0.34773290292487297,0.3469753804915139,False,,2
20280818,3,random,3,3,TP-GMM SE(2),True,,0.3102718260001893,10.509044705779345,0.2524163999140657,0.45569675518809283,0.9963201975632558,0.3284672461796562,0.3261140318198185,False,,2
20280818,4,random,3,4,TP-GMM SE(2),True,,0.31932535899977665,11.348632957045716,0.30617077239409957,0.463737853687572,0.9964079313474952,0.3048538914264593,0.30647113022059497,False,,2
20280818,5,random,3,5,TP-GMM SE(2),True,,0.2997645069999635,10.780554081275,0.36503230644274015,0.4663857450896856,0.9736486467232415,0.31135443932063556,0.31336656770606686,False,,2
20280818,6,random,3,6,TP-GMM SE(2),True,,0.3313047110000298,10.521785261712392,0.36743899105795796,0.45693070651718215,0.9626502841071465,0.360998311387188,0.35252630680611396,False,,2
20280818,7,random,3,7,TP-GMM SE(2),True,,0.25828551299991886,11.792349214278115,1.7481015803125626,0.46767058165935227,0.8656207926322541,0.39850148766606264,0.39490615964867326,False,,2
20280818,8,random,3,8,TP-GMM SE(2),True,,0.32761111799982245,11.35757535978189,0.5447654476711355,0.46285890399330726,0.955778938147116,0.3274087470008106,0.32932969726200884,False,,2
20280818,9,random,3,9,TP-GMM SE(2),True,,0.3240538350000861,12.039878633495581,3.8409836609555272,0.5039825855804507,0.7616667772254899,0.4378639911155939,0.43954487619777965,False,,2
20280818,10,qualified,3,0,TP-GMM SE(2),True,,0.31188679500019134,10.347616777655247,0.9636947425472879,0.46709721060837395,0.9521606144089617,0.3728782600132892,0.3840503278793856,False,,2
20280818,11,qualified,3,1,TP-GMM SE(2),True,,0.3342374049998398,10.627972623271985,0.7474314510385417,0.481171891618012,0.9353303294455835,0.354834591835862,0.35964641988221635,False,,2
20280818,12,qualified,3,2,TP-GMM SE(2),True,,0.35669975800010434,11.510611994948643,0.3180883087713331,0.45137923616862596,0.9911119582134984,0.352585979280376,0.35144390115192686,False,,2
20280818,13,qualified,3,3,TP-GMM SE(2),True,,0.30385603500008074,12.915124714715933,0.3420371079513715,0.4276619622062871,0.986872151160674,0.4375473365834757,0.43873247146176914,False,,2
20280818,14,qualified,3,4,TP-GMM SE(2),True,,0.2992891719995896,11.241755789505294,0.4044843823452495,0.4674726572703323,0.9765927846131731,0.2997538592232152,0.3039196612785853,False,,2
20280818,15,qualified,3,5,TP-GMM SE(2),True,,0.2797574930000337,12.038830066657269,0.8825356902998893,0.4819115294582357,0.9427798905479925,0.363203037985151,0.37727024641126244,False,,2
20280818,16,qualified,3,6,TP-GMM SE(2),True,,0.2983657029999449,10.260641112240243,0.24541052074629008,0.4759907403149337,0.9919645222038458,0.3144333047475239,0.32119288017181313,False,,2
20280818,17,qualified,3,7,TP-GMM SE(2),True,,0.34027759999980844,10.417172347303946,0.43115222043139523,0.4681913567360459,0.9911183021961769,0.31031363185444305,0.3150936871125172,False,,2
20280818,18,qualified,3,8,TP-GMM SE(2),True,,0.24961821800025064,11.934228849455678,0.5227471884966634,0.4983993732446387,0.9784567710354234,0.3474798575314512,0.3517882557786314,False,,2
20280818,19,qualified,3,9,TP-GMM SE(2),True,,0.30676015500012,11.033019245255085,0.4414931649080317,0.45350624614042123,0.9486354578908638,0.37813040334839926,0.36955929395150017,False,,2
20290818,0,random,3,0,TP-GMM SE(2),True,,0.3067396800001916,10.947849684433605,0.9819793547382824,0.39360473847851474,0.9318176047420803,0.3796090233162662,0.3659869524515543,False,,2
20290818,1,random,3,1,TP-GMM SE(2),True,,0.3412295999996786,10.147546504981404,0.31113840591519404,0.37651703186957475,0.9968219603792192,0.3467511694880252,0.34707129985604446,False,,2
