task,seed,subset_id,protocol,sample_size,repeat,basis,model,fit_success,fit_error,fit_seconds,e_data,e_alpha,off_diag_mass
keyed,20260818,10,qualified,15,1,local,Pdiag finite (SE(3)),True,,133.8072901659907,2.472913651897815e-06,0.10996746441720352,
keyed,20260818,11,qualified,15,2,local,Frame-weighted (SE(3)),True,,0.007855967996874824,4.456264921217556e-05,0.22773333912136973,
keyed,20260818,11,qualified,15,2,local,Full operator (SE(3)),True,,0.001553788999444805,9.810160824540644e-07,0.08788745078131946,0.8790260024964006
keyed,20260818,11,qualified,15,2,local,Pdiag pointwise (SE(3)),True,,0.019270586999482475,3.9354755605603365e-05,0.23068973583547078,
keyed,20260818,11,qualified,15,2,local,Pdiag finite (SE(3)),True,,102.75076931399235,1.919057251716962e-06,0.10070627405392592,
keyed,20260818,10,qualified,15,1,rotated-2,Frame-weighted (SE(3)),True,,0.010714803996961564,4.963715721415392e-05,0.21641206808067337,
keyed,20260818,10,qualified,15,1,rotated-2,Full operator (SE(3)),True,,0.003989417993579991,1.449060198636246e-06,0.11299664019354895,0.9163305663997875
keyed,20260818,10,qualified,15,1,rotated-2,Pdiag pointwise (SE(3)),True,,0.025230753992218524,4.698591780572324e-05,0.23447666055092464,
keyed,20260818,10,qualified,15,1,rotated-2,Pdiag finite (SE(3)),True,,142.5738473740057,2.6129058694913154e-05,0.26544699346482853,
keyed,20260818,9,qualified,15,0,local,Frame-weighted (SE(3)),True,,0.00830534599663224,0.00011688919443231074,0.18670596954883442,
keyed,20260818,9,qualified,15,0,local,Full operator (SE(3)),True,,0.0019519950001267716,3.640718672340749e-05,0.13217547078467315,0.8902933397805199
keyed,20260818,9,qualified,15,0,local,Pdiag pointwise (SE(3)),True,,0.021715228009270504,0.00011162825510468901,0.17013877203055666,
keyed,20260818,9,qualified,15,0,local,Pdiag finite (SE(3)),True,,327.65526224700443,4.92866287263246e-05,0.10635771735686761,
