global_progress,alpha_x,alpha_y,alpha_yaw,alpha_x_std,alpha_y_std,alpha_yaw_std
0.23214285714285715,-9.375313917795815e-06,1.8667843606736922e-05,5.144323460703827e-06,1.207355544803849e-05,2.6056196304491525e-05,9.615714320135181e-06
0.23809523809523808,-8.885507230302653e-06,1.8267719833733564e-05,5.149814430866961e-06,1.2145950792357587e-05,2.560352019502346e-05,9.603503821383089e-06
0.24404761904761904,-8.823419058970018e-06,1.8716134407107763e-05,5.13924705207549e-06,1.111392189544504e-05,2.6118174567273525e-05,9.620603491649999e-06
0.25,-9.271833631727428e-06,1.829531457689073e-05,5.154443764910358e-06,1.0310542237056797e-05,2.5961337432888706e-05,9.616309361248521e-06
0.25595238095238093,-9.768539004855682e-06,1.8619552806674476e-05,5.1414233181036265e-06,1.1386079658130397e-05,2.6302760887664412e-05,9.611713915571174e-06
0.2619047619047619,0.0018277102046545778,-0.004996938837899101,8.987464329215094e-05,0.0014015612525731446,0.008501177399180437,0.0036973040374576075
0.26785714285714285,-0.00030884726179970643,0.002294468382994332,0.00036005106815504363,0.001629725548998855,0.009269975306915522,0.0009870298508430561
0.2738095238095238,0.0005819179393629078,-0.005030494045328105,0.0003235587212733094,0.0019562709041005496,0.02165335599788113,0.00043704021080506294
0.27976190476190477,0.0010724420900699088,-0.001454346433833898,0.001454814079417925,0.0017909021772084801,0.019002588375527277,0.0010892855555408177
0.2857142857142857,0.0009144345919291173,-0.0005657474199930804,0.0020112025273717462,0.0018206854529473368,0.01822719802297205,0.0014226458214413914
0.2857142857142857,0.0010036759906344942,-0.00043263037999471374,0.0020599393863089933,0.001960351920427426,0.01846513332911663,0.00152876364822263
0.29166666666666663,0.0011968046978668954,-5.211267206403983e-05,0.0008707841466571958,0.0018735381863690165,0.019523258379571917,0.00210495524692033
0.2976190476190476,0.0011439814611716476,9.015202522247069e-05,0.0017501374377810873,0.0022275754377616345,0.020135517848373866,0.0025079759210667
0.30357142857142855,0.0012647774484422474,7.425745328267415e-05,0.002339100817768892,0.002238377505929136,0.019901741072356736,0.002180864657779788
0.3095238095238095,0.0013368549170315414,0.0007640708375861194,0.000830464000396524,0.0021741863862466534,0.020506204424977283,0.003962307949785629
0.3154761904761905,0.001358337424419647,0.00037906208524008067,0.00399195479941298,0.002038209864486417,0.01974942675146727,0.002362636627879985
0.32142857142857145,0.0014024476210276282,0.0013372550408045439,0.0006476889304490963,0.0018651658569781894,0.020577387524694974,0.004361521624455288
0.3273809523809524,0.0019932234728773737,0.0006760849996851418,0.0030174201745644517,0.0022694318994333092,0.0193177840603341,0.0025554353474921054
0.33333333333333337,0.0018729103936083239,0.001423502409899885,0.002647181483225243,0.0019606494750021132,0.019713784835321477,0.002789072027997076
0.3392857142857143,0.0018634729915195036,0.0015255477693345808,0.0015357965048305722,0.0018198311281532702,0.01918362196836793,0.004329945626488355
0.34523809523809523,0.0018507794097621926,0.0016359405385123354,0.00425643054383268,0.0016251248615960477,0.018436728985625834,0.002844962319450477
0.3511904761904762,0.0018200802582277493,0.0027139981587727866,0.0017125691150330566,0.0013854519188380337,0.018700054835716465,0.004416152423720058
0.35714285714285715,0.0017964177661471895,0.00222780638270908,0.003555247660683745,0.001269199049711284,0.016669422319909172,0.0029584823072796146
0.3630952380952381,0.0017248370029316394,0.003780666048879768,0.0029403421635748645,0.001396451355773951,0.01737564626673675,0.0032210144528934713
0.369047619047619,0.0016500552495320633,0.003608868077949344,0.001700843348496176,0.0016732059265983895,0.016100197493082082,0.004270322055135737
0.375,0.001615823970900641,0.004243188434176973,0.0030024669901730344,0.0018957021083257234,0.015907552448869017,0.0017458264665392632
0.38095238095238093,0.0015567850183553467,0.004797677199045817,0.001795332018574139,0.0020864369255244436,0.015562539662836123,0.0038641309590227344
0.38690476190476186,0.0014564091408696281,0.004728476482408915,0.0027461103567316437,0.0023080422578499295,0.014347815240850171,0.002541825071644832
0.39285714285714285,0.00137628780470954,0.005955621600151059,0.0020317571728804547,0.0025724298570933366,0.014866116107110538,0.0026072150051906972
0.3988095238095238,0.0012920686492211438,0.00567482439456152,0.0012540418532710107,0.0028277966221378174,0.013342206608055625,0.0032521349708824064
0.4047619047619047,0.0011966736228385952,0.006528502261197225,0.0026758639883168165,0.003107939264583093,0.01356873717310194,0.001901419491270896
0.4107142857142857,0.0011525220341152614,0.006624787218040888,0.001609372198993776,0.003415079345895126,0.012898195462291415,0.002651255031451169
0.41666666666666663,0.0011248721016771715,0.006693325660846951,0.0019958695814420724,0.0037125302729562348,0.012456430837379243,0.002174915332537946
0.42261904761904756,0.0011036793390915994,0.007064523244345526,0.002159750463199572,0.003887993795525441,0.012902367457330347,0.0019612903585976807
0.42857142857142855,0.001179840829637315,0.006342265341016981,0.0013195073309313114,0.003779177629660521,0.012286054653888776,0.0025922851807023304
0.42857142857142855,0.001225868860880534,0.006910661856333413,0.002376295190144702,0.003503800401513431,0.01335288444362968,0.0017357964884586578
0.4345238095238095,-0.01668666523915791,0.008252497624467815,0.006678665043976129,0.00392899891608366,0.014994513624598017,0.0015787717025707332
0.4404761904761905,-0.08824313128436072,0.0168406163100842,0.017061909864587763,0.004207512367872523,0.025447994576683508,0.0017261461022466847
0.44642857142857145,-0.2201511007216241,0.03199949860572814,0.0442409405656553,0.006165581385389096,0.042516775315352584,0.0029024481446489744
0.4523809523809524,-0.403807422629109,0.054096927245458254,0.08734446569265297,0.011772381265342089,0.07169077536844186,0.00440183482568372
0.45833333333333337,-0.6213335596300935,0.08780104280621966,0.1441577759151426,0.022678058764845386,0.10904456701268102,0.008101443141665688
0.4642857142857143,-0.8527845972114138,0.13331241077846967,0.2213783168416794,0.043997386434108866,0.15736124987232913,0.008100853135197992
0.47023809523809523,-1.061273800830045,0.19312610297843294,0.30847558143591475,0.07523141285194368,0.20146757085910308,0.010316219578802919
0.4761904761904762,-1.1977317156615075,0.26429285881695985,0.4023408717698354,0.11514832741676533,0.239308613489129,0.013289525487425428
0.48214285714285715,-1.258598474992646,0.3492085884014768,0.5026627923214638,0.1612080068916756,0.28012217940100387,0.013804484506795547
0.4880952380952381,-1.237182677895935,0.4345860772041819,0.6022183978533103,0.20343183404174062,0.31426840174537835,0.014616086245294285
0.49404761904761907,-1.1171875452553788,0.5077028695302076,0.6964213080193584,0.2416417228439208,0.3180443871050236,0.015866527312729327
0.5,-0.9090700083308748,0.5845071644418768,0.7847526601451449,0.2677408970628345,0.30374775880012206,0.01495026278193588
0.5059523809523809,-0.6506161143382401,0.6719873166056699,0.8565955304110539,0.26595617585135295,0.2735713712617911,0.015619263301352635
0.5119047619047619,-0.37411078810691817,0.7501043793227941,0.9166303553238359,0.2426580822224801,0.22216862382028754,0.013651514078783629
0.5178571428571429,-0.10347494648562534,0.8248035899466938,0.9615909866085609,0.20918873011916267,0.15569827699297936,0.010511705650964312
0.5238095238095238,0.15038141497859225,0.9042076490543507,0.9861877445630457,0.16691713195495628,0.08016309318509693,0.010635880028108545
0.5297619047619048,0.3767945700221585,0.9719192602292251,0.999801409555371,0.11457663934708222,0.034589536224205096,0.005800633096421552
0.5357142857142857,0.5263963507281408,0.990829782353507,1.0011314075020843,0.06442084462388646,0.04636922985723524,0.004950741441471546
0.5416666666666666,0.5915979682295407,0.9943794838532254,1.0012499985129344,0.024960283444997042,0.04869942688151507,0.0048424974966953735
0.5476190476190476,0.6477763255437221,1.0167610452130988,1.0012291922203007,0.022924409480362215,0.03331845543258284,0.004178782758918956
0.5535714285714286,0.7867326753007039,1.0247148883839445,0.9998549215238507,0.026931002943807653,0.01560962388738606,0.005144243779919323
0.5595238095238095,0.9331020492094536,1.0076950131743043,1.000367930013092,0.009394116379867291,0.00499742733486507,0.00233824935144159
0.5654761904761905,0.9905466602908238,0.9983518298853324,0.9986169224654651,0.0006138160827241193,0.0020900289988101265,0.003854534342734862
0.5714285714285714,1.0015312168333264,0.9973569048775565,0.9985380237531688,0.0009027199241560846,0.0012411972969556732,0.0037266359064388344
0.5714285714285714,1.001613007651435,0.9964809649520449,0.9985385978057874,0.000960105775549527,0.0020458406297167013,0.0036954046263994733
