model,task_key,sample_size,mean,std,count
Full operator (SE(3)),cream_cheese_in_bowl,8,0.005045228569332332,0.006035422747642017,18
Pdiag pointwise (SE(3)),cream_cheese_in_bowl,8,0.0008444901226282764,0.000614064198768797,18
Pdiag finite (SE(3)),cream_cheese_in_bowl,8,0.0003233584078232106,0.0003137809553343559,18
Frame-weighted (SE(3)),cream_cheese_in_bowl,15,0.14960830496450284,0.002851199154460138,18
Phase scalar GP (SE(3)),cream_cheese_in_bowl,15,0.14961129670836967,0.0028509145758693305,18
TP-GMM additive (SE(3)),cream_cheese_in_bowl,15,0.002097225137544854,0.0008277343459459005,18
TP-GMM SE(3),cream_cheese_in_bowl,15,0.0017802276475590549,0.00042585025827056793,18
Full operator (SE(3)),cream_cheese_in_bowl,15,0.00039287848737419215,0.00020881910945703763,18
Pdiag pointwise (SE(3)),cream_cheese_in_bowl,15,0.0002892220890438701,0.0003062808906471811,18
Pdiag finite (SE(3)),cream_cheese_in_bowl,15,5.116385280211467e-05,8.005625308120723e-06,18
Frame-weighted (SE(3)),cream_cheese_in_bowl,30,0.14735748174686789,0.0005663303676319687,18
Phase scalar GP (SE(3)),cream_cheese_in_bowl,30,0.14736066201445377,0.0005662526145410518,18
TP-GMM additive (SE(3)),cream_cheese_in_bowl,30,0.0048663837519810245,0.0022937173656680603,18
TP-GMM SE(3),cream_cheese_in_bowl,30,0.005359360767259968,0.0017830278280156367,18
Full operator (SE(3)),cream_cheese_in_bowl,30,0.00025757544509432073,0.00012748138187159417,18
Pdiag pointwise (SE(3)),cream_cheese_in_bowl,30,0.00028645107406343617,6.151928422395696e-05,18
Pdiag finite (SE(3)),cream_cheese_in_bowl,30,4.711934024935293e-05,4.41648979106743e-06,18
Frame-weighted (SE(3)),wine_bottle_on_rack,8,0.1433556280093885,0.00723932897251585,18
Phase scalar GP (SE(3)),wine_bottle_on_rack,8,0.14336031930500226,0.007238817013134382,18
TP-GMM additive (SE(3)),wine_bottle_on_rack,8,0.012352260401905289,0.0031201796159757143,18
TP-GMM SE(3),wine_bottle_on_rack,8,0.013961347069693493,0.004099057455063755,18
Full operator (SE(3)),wine_bottle_on_rack,8,0.003831251451549295,0.004631068119741153,18
Pdiag pointwise (SE(3)),wine_bottle_on_rack,8,0.00037298684472602785,0.0001955755158352621,18
Pdiag finite (SE(3)),wine_bottle_on_rack,8,0.00012136373703639698,9.27296172356899e-05,18
Frame-weighted (SE(3)),wine_bottle_on_rack,15,0.14977105215432568,0.0024911846797125445,18
Phase scalar GP (SE(3)),wine_bottle_on_rack,15,0.1497752745595933,0.002491023560909422,18
TP-GMM additive (SE(3)),wine_bottle_on_rack,15,0.007927206210000742,0.000829724341300656,18
TP-GMM SE(3),wine_bottle_on_rack,15,0.007434729864812469,0.000823631096249578,18
Full operator (SE(3)),wine_bottle_on_rack,15,0.0001743152131252205,0.00013356254467518188,18
Pdiag pointwise (SE(3)),wine_bottle_on_rack,15,0.00013321906454744813,3.865755559322154e-05,18
Pdiag finite (SE(3)),wine_bottle_on_rack,15,5.953722306093249e-05,2.3423858705646516e-06,18
Frame-weighted (SE(3)),wine_bottle_on_rack,30,0.147877928935216,0.0024941335137199246,18
