model,task_key,sample_size,alpha_active_du,alpha_active_dv,alpha_active_yaw
TP-GMM SE(2),plate_front_push,30,0.9663206590847587,0.004010553951127113,0.009955103165680481
TP-GMM additive,bowl_on_stove,8,0.9378253515050898,0.9575814610545026,0.0027289579734086984
TP-GMM SE(2),bowl_on_stove,8,0.9421787076616694,0.9620219617807764,0.002801337272150836
TP-GMM additive,bowl_on_stove,15,0.9331547813389365,0.9367781993263081,0.001987931848335886
TP-GMM SE(2),bowl_on_stove,15,0.9394276915328237,0.9406362540935694,0.0018918544383935256
TP-GMM additive,bowl_on_stove,30,0.9448511722041802,0.9207441747509022,0.004270770093526588
TP-GMM SE(2),bowl_on_stove,30,0.9245745294573133,0.9307245589566688,0.013024030620182632
TP-GMM additive,bowl_on_plate,8,0.9378253515048355,0.957581461054309,0.0027289579734081507
TP-GMM SE(2),bowl_on_plate,8,0.9421787076614037,0.9620219617809094,0.0028013372721503835
TP-GMM additive,bowl_on_plate,15,0.9331547813389365,0.9367781993263458,0.0019879318483356054
TP-GMM SE(2),bowl_on_plate,15,0.9394276915328237,0.9406362540936072,0.001891854438393017
TP-GMM additive,bowl_on_plate,30,0.9448511722041802,0.9207441747508098,0.004270770093505122
TP-GMM SE(2),bowl_on_plate,30,0.924574529457325,0.9307245589566543,0.013024030620174489
TP-GMM additive,cream_cheese_in_bowl,8,0.9378253515051015,0.9575814610545257,0.0027289579734087483
TP-GMM SE(2),cream_cheese_in_bowl,8,0.9421787076615655,0.9620219617807328,0.002801337272150311
TP-GMM additive,cream_cheese_in_bowl,15,0.9331547813389943,0.9367781993263224,0.001987931848335942
TP-GMM SE(2),cream_cheese_in_bowl,15,0.939427691532893,0.9406362540935523,0.0018918544383934163
TP-GMM additive,cream_cheese_in_bowl,30,0.9448511722041572,0.92074417475083,0.0042707700935410145
TP-GMM SE(2),cream_cheese_in_bowl,30,0.9245745294573712,0.930724558956686,0.013024030620178595
TP-GMM additive,wine_bottle_on_rack,8,0.9897137380235459,0.9826863805858859,0.9918470539191622
TP-GMM SE(2),wine_bottle_on_rack,8,0.9892114034441383,0.9837995936463328,0.9921004910836076
TP-GMM additive,wine_bottle_on_rack,15,0.9820536347876959,0.9592459904666342,0.9900950413769734
TP-GMM SE(2),wine_bottle_on_rack,15,0.9865661760459383,0.9873781221339777,0.9887099635890275
TP-GMM additive,wine_bottle_on_rack,30,0.9833925180990793,0.969593147540369,0.9752756276841146
TP-GMM SE(2),wine_bottle_on_rack,30,0.9865962717886997,0.9829146287171745,0.9877468558386907
TP-GMM additive,wine_bottle_on_cabinet,8,0.9378253515050089,0.9575814610544161,0.0027289579734085193
TP-GMM SE(2),wine_bottle_on_cabinet,8,0.9421787076615077,0.9620219617808282,0.0028013372721507794
TP-GMM additive,wine_bottle_on_cabinet,15,0.9331547813389481,0.9367781993263223,0.001987931848335795
TP-GMM SE(2),wine_bottle_on_cabinet,15,0.939427691532789,0.9406362540935886,0.0018918544383932795
TP-GMM additive,wine_bottle_on_cabinet,30,0.944851172204215,0.9207441747508902,0.0042707700935100575
TP-GMM SE(2),wine_bottle_on_cabinet,30,0.9245745294573481,0.9307245589566746,0.013024030620183228
TP-GMM additive,moka_pot_on_stove,8,0.9378253515048469,0.9575814610543176,0.002728957973409592
TP-GMM SE(2),moka_pot_on_stove,8,0.942178707661577,0.9620219617809441,0.0028013372721505613
TP-GMM additive,moka_pot_on_stove,15,0.9331547813389596,0.9367781993263341,0.001987931848335594
TP-GMM SE(2),moka_pot_on_stove,15,0.9394276915328584,0.9406362540936042,0.0018918544383930347
TP-GMM additive,moka_pot_on_stove,30,0.944851172204215,0.9207441747509427,0.0042707700934772235
TP-GMM SE(2),moka_pot_on_stove,30,0.9245745294573366,0.9307245589566515,0.013024030620183211
