model,task_key,sample_size,alpha_active_du,alpha_active_dv,alpha_active_dw,alpha_active_roll,alpha_active_pitch,alpha_active_yaw
Pdiag finite (SE(3)),drawer_middle_open,30,1.00609248549164,1.68622834154424e-06,2.0712433681578894e-06,8.223062487948893e-06,8.629357807926839e-06,5.705097956209367e-06
Frame-weighted (SE(3)),stove_knob_turn,8,0.2716875656593147,0.2716875656593147,0.2716875656593147,0.2716875656593147,0.2716875656593147,0.2716875656593147
Phase scalar GP (SE(3)),stove_knob_turn,8,0.273753547786573,0.273753547786573,0.273753547786573,0.273753547786573,0.273753547786573,0.273753547786573
TP-GMM additive (SE(3)),stove_knob_turn,8,0.01476381634306633,0.02774787380558083,0.010838220053763748,0.024096543504320406,0.04173255273454365,0.9959593452977238
TP-GMM SE(3),stove_knob_turn,8,0.01600577140682823,0.013118406847954331,0.013359666550674765,0.0171342448467439,0.028356535795417342,0.9951486302246929
Full operator (SE(3)),stove_knob_turn,8,0.0,0.0,0.0,0.0,0.0,0.9876403003968923
Pdiag pointwise (SE(3)),stove_knob_turn,8,0.0,0.0,0.0,0.0,0.0,0.998281903878039
Pdiag finite (SE(3)),stove_knob_turn,8,3.14122449539306e-06,3.169589498110487e-06,3.1781463105442404e-06,3.485734228434814e-06,3.486892623829854e-06,1.0089278369044412
Frame-weighted (SE(3)),stove_knob_turn,15,0.283506380095542,0.283506380095542,0.283506380095542,0.283506380095542,0.283506380095542,0.283506380095542
Phase scalar GP (SE(3)),stove_knob_turn,15,0.2856622355146614,0.2856622355146614,0.2856622355146614,0.2856622355146614,0.2856622355146614,0.2856622355146614
TP-GMM additive (SE(3)),stove_knob_turn,15,0.006758428058548476,0.003413154277510524,0.004053751810412071,0.010331634925483316,0.0189444367074519,0.9962303664984817
TP-GMM SE(3),stove_knob_turn,15,0.002279312030542569,0.0022021732512474902,0.003752002394105565,0.006407759049045225,0.004774320867807639,0.9970533262772161
Full operator (SE(3)),stove_knob_turn,15,0.0,0.0,0.0,0.0,0.0,0.9933752288215754
Pdiag pointwise (SE(3)),stove_knob_turn,15,0.0,0.0,0.0,0.0,0.0,0.9966666959809629
Pdiag finite (SE(3)),stove_knob_turn,15,1.7420889058303656e-06,1.73413281960357e-06,1.7336188347670698e-06,1.933289837216198e-06,1.9180324491225042e-06,1.010143173862691
Frame-weighted (SE(3)),stove_knob_turn,30,0.2963625953751726,0.2963625953751726,0.2963625953751726,0.2963625953751726,0.2963625953751726,0.2963625953751726
Phase scalar GP (SE(3)),stove_knob_turn,30,0.2986162127174787,0.2986162127174787,0.2986162127174787,0.2986162127174787,0.2986162127174787,0.2986162127174787
TP-GMM additive (SE(3)),stove_knob_turn,30,0.023419128238399922,0.014652685188017248,0.004338988331300728,0.0170953628378027,0.010753189277908767,0.9926573879920038
TP-GMM SE(3),stove_knob_turn,30,0.001045369505242924,0.0020383729576581317,0.0029065634215985022,0.004747771479459632,0.0025928896541200785,0.9964707951843282
Full operator (SE(3)),stove_knob_turn,30,0.0,0.0,0.0,0.0,0.0,0.9997477464706093
Pdiag pointwise (SE(3)),stove_knob_turn,30,0.0,0.0,0.0,0.0,0.0,1.0013148486040633
Pdiag finite (SE(3)),stove_knob_turn,30,1.7448790736482108e-06,1.7512715032920764e-06,1.7461810590544908e-06,1.989567249488149e-06,1.9369467547852373e-06,1.011146546230142
Frame-weighted (SE(3)),microwave_door_revolute,8,0.2716875656593146,0.2716875656593146,0.2716875656593146,0.2716875656593146,0.2716875656593146,0.2716875656593146
Phase scalar GP (SE(3)),microwave_door_revolute,8,0.273753547707033,0.273753547707033,0.273753547707033,0.273753547707033,0.273753547707033,0.273753547707033
TP-GMM additive (SE(3)),microwave_door_revolute,8,0.014763816343061377,0.027747873805439006,0.010838220053752276,0.02409654350429428,0.041732552734458826,0.995959345297724
