task_key,family,seed,subset_id,protocol,sample_size,repeat,model,fit_success,fit_error,fit_seconds,e_alpha_projected,m_relation_projected_correct,alpha_active_du,alpha_active_dv,alpha_active_yaw
microwave_door_revolute,revolute_door,20280818,14,random,30,2,TP-GMM SE(2),True,,1.8151589350309223,0.0010968702738914078,True,0.0023321797036182316,0.004071384602722252,0.980681492705786
microwave_door_revolute,revolute_door,20270818,16,qualified,30,1,TP-GMM additive,True,,3.9072938640601933,0.0009049800724339998,True,0.00872000790536259,0.002639985484823867,0.9971477670328327
microwave_door_revolute,revolute_door,20270818,16,qualified,30,1,TP-GMM SE(2),True,,3.2707854020409286,0.0008416423162096058,True,0.0026269291371663755,0.005281888864984128,0.9943918343921839
plate_front_push,planar_one_axis_push,20260818,2,random,8,2,TP-GMM additive,True,,1.045689799124375,0.0018866049148555553,True,0.9916100933270167,0.007613865028129241,0.0017014633100489833
plate_front_push,planar_one_axis_push,20260818,2,random,8,2,TP-GMM SE(2),True,,1.2566231191158295,0.004766456197142972,True,0.9947940783989334,0.010974113889100879,0.0032058781741495937
plate_front_push,planar_one_axis_push,20260818,4,qualified,8,1,TP-GMM additive,True,,0.7097422950901091,0.003422818444500352,True,0.9370383780622077,0.001982306947873004,0.00166978329830814
plate_front_push,planar_one_axis_push,20260818,4,qualified,8,1,TP-GMM SE(2),True,,0.5835533801000565,0.0012627814599534028,True,0.9767255780425421,0.0027407729460941716,0.001626236349699366
microwave_door_revolute,revolute_door,20280818,16,qualified,30,1,TP-GMM additive,True,,1.956924174213782,0.0009049800724339998,True,0.00872000790536259,0.002639985484823867,0.9971477670328327
microwave_door_revolute,revolute_door,20280818,16,qualified,30,1,TP-GMM SE(2),True,,1.6418545690830797,0.0008416423162096058,True,0.0026269291371663755,0.005281888864984128,0.9943918343921839
plate_front_push,planar_one_axis_push,20260818,3,qualified,8,0,TP-GMM additive,True,,0.9883154730778188,0.004144484059385089,True,0.9680760822491224,0.012118059948000314,0.00921855780050776
plate_front_push,planar_one_axis_push,20260818,3,qualified,8,0,TP-GMM SE(2),True,,0.9610010769683868,0.0008574593567105389,True,0.9500020696860678,0.0034633776849042463,0.00288132487756263
microwave_door_revolute,revolute_door,20280818,15,qualified,30,0,TP-GMM additive,True,,3.042600648943335,0.000869199766286091,True,0.002149290081373011,0.0026706662863577022,0.9902519524527619
microwave_door_revolute,revolute_door,20280818,15,qualified,30,0,TP-GMM SE(2),True,,2.0337041409220546,0.0015764953556875138,True,0.0021108638534244315,0.003004208123641835,0.9962409863872874
microwave_door_revolute,revolute_door,20280818,11,qualified,15,2,TP-GMM additive,True,,3.2352210651151836,0.0038743653579631993,True,0.0021571664346585226,0.0028430948781020603,0.9947755814578902
microwave_door_revolute,revolute_door,20280818,11,qualified,15,2,TP-GMM SE(2),True,,2.6670027659274638,0.00402060697730994,True,0.002068134612153434,0.0031288684140440867,0.9947699895327264
plate_front_push,planar_one_axis_push,20260818,9,qualified,15,0,TP-GMM additive,True,,1.0811755149625242,0.0031113078010573795,True,0.9154823060073675,0.0017697942868191137,0.0014804279452304988
plate_front_push,planar_one_axis_push,20260818,9,qualified,15,0,TP-GMM SE(2),True,,1.2664454460609704,0.003231307007835142,True,0.8942932745824306,0.002114173660274091,0.0013070450974022442
plate_front_push,planar_one_axis_push,20260818,7,random,15,1,TP-GMM additive,True,,1.4632687589619309,0.00813749120246125,True,0.9637427234916035,0.0031345962993874904,0.0019269779667929505
plate_front_push,planar_one_axis_push,20260818,7,random,15,1,TP-GMM SE(2),True,,1.6874071808997542,0.004396099664329052,True,0.9093528238138249,0.002609145769221741,0.0014592230313740704
plate_front_push,planar_one_axis_push,20260818,11,qualified,15,2,TP-GMM additive,True,,1.3228676489088684,0.0013463765263789173,True,0.9827886534571895,0.002984954545502392,0.0025914237644769586
plate_front_push,planar_one_axis_push,20260818,11,qualified,15,2,TP-GMM SE(2),True,,1.239356050034985,0.001305791047616495,True,0.9727758092097083,0.0032815479154907584,0.002855376427106222
plate_front_push,planar_one_axis_push,20260818,5,qualified,8,2,TP-GMM additive,True,,1.9121019560843706,0.0012444669779441211,True,0.9812154992917127,0.00815139725492659,0.002635683351587783
plate_front_push,planar_one_axis_push,20260818,5,qualified,8,2,TP-GMM SE(2),True,,2.697090692818165,0.0006817732990838954,True,0.9786767474059821,0.007495708589843958,0.0026647685716008635
plate_front_push,planar_one_axis_push,20270818,1,random,8,1,TP-GMM additive,True,,0.9555901337880641,0.0022176140435721608,True,0.980993532126162,0.004266720731225253,0.005829915822477722
plate_front_push,planar_one_axis_push,20270818,1,random,8,1,TP-GMM SE(2),True,,0.9026035179849714,0.004369292125539109,True,0.9932651479173382,0.0046743490869152445,0.0063246779947538755
microwave_door_revolute,revolute_door,20280818,13,random,30,1,TP-GMM additive,True,,3.372966794995591,0.0043163846037247225,True,0.0018920962748814668,0.0020112764655919727,0.9966277241916311
microwave_door_revolute,revolute_door,20280818,13,random,30,1,TP-GMM SE(2),True,,4.418614292982966,0.0028512820349339838,True,0.009902484708720129,0.02266044963458062,0.966587990192662
plate_front_push,planar_one_axis_push,20260818,16,qualified,30,1,TP-GMM additive,True,,1.7311704109888524,0.00313291410574697,True,0.9049225240078534,0.001982263395488454,0.0015398710950365452
plate_front_push,planar_one_axis_push,20260818,16,qualified,30,1,TP-GMM SE(2),True,,1.8197583709843457,0.0005012796258137066,True,0.9872663627510936,0.0024501547475916235,0.004849258679989601
plate_front_push,planar_one_axis_push,20270818,3,qualified,8,0,TP-GMM additive,True,,0.985760300885886,0.004144484059385089,True,0.9680760822491224,0.012118059948000314,0.00921855780050776
plate_front_push,planar_one_axis_push,20270818,3,qualified,8,0,TP-GMM SE(2),True,,0.9574948418885469,0.0008574593567105389,True,0.9500020696860678,0.0034633776849042463,0.00288132487756263
plate_front_push,planar_one_axis_push,20270818,2,random,8,2,TP-GMM additive,True,,1.6007080229464918,0.0018866049148555553,True,0.9916100933270167,0.007613865028129241,0.0017014633100489833
plate_front_push,planar_one_axis_push,20270818,2,random,8,2,TP-GMM SE(2),True,,1.105610238853842,0.004766456197142972,True,0.9947940783989334,0.010974113889100879,0.0032058781741495937
microwave_door_revolute,revolute_door,20280818,17,qualified,30,2,TP-GMM additive,True,,4.538107166998088,0.0015843637956397636,True,0.008845116046946034,0.0028423076221936717,0.987541023694476
microwave_door_revolute,revolute_door,20280818,17,qualified,30,2,TP-GMM SE(2),True,,3.5900509380735457,0.0056328575875192475,True,0.00257334493420239,0.0031217351367613146,0.9909871604882119
plate_front_push,planar_one_axis_push,20260818,17,qualified,30,2,TP-GMM additive,True,,1.9889077569823712,0.0024000496176802264,True,0.9838928357974036,0.04584605983711129,0.07373123540207001
plate_front_push,planar_one_axis_push,20260818,17,qualified,30,2,TP-GMM SE(2),True,,1.6948395259678364,0.000491909920407833,True,0.9841713530485408,0.0024240461693353556,0.005966573631420392
plate_front_push,planar_one_axis_push,20270818,5,qualified,8,2,TP-GMM additive,True,,0.7339264850597829,0.0012444669779441211,True,0.9812154992917127,0.00815139725492659,0.002635683351587783
plate_front_push,planar_one_axis_push,20270818,5,qualified,8,2,TP-GMM SE(2),True,,1.0538201921153814,0.0006817732990838954,True,0.9786767474059821,0.007495708589843958,0.0026647685716008635
