dataset,episode,frame,time_s,stage
insert_jc_fix_3,19,505,16.83333396911621,released
insert_jc_fix_3,20,0,0.0,approach
insert_jc_fix_3,20,190,6.333333492279053,grasp_lift
insert_jc_fix_3,20,231,7.699999809265137,transport
insert_jc_fix_3,20,270,9.0,prealignment
insert_jc_fix_3,20,360,12.0,axial_advance_candidate
insert_jc_fix_3,20,376,12.533333778381348,terminal_settle_candidate
insert_jc_fix_3,20,479,15.966666221618652,axial_advance_candidate
insert_jc_fix_3,20,490,16.33333396911621,released
insert_jc_fix_3,21,0,0.0,approach
insert_jc_fix_3,21,207,6.900000095367432,grasp_lift
insert_jc_fix_3,21,254,8.466666221618652,transport
insert_jc_fix_3,21,305,10.166666984558105,prealignment
insert_jc_fix_3,21,331,11.033333778381348,axial_advance_candidate
insert_jc_fix_3,21,424,14.133333206176758,terminal_settle_candidate
insert_jc_fix_3,21,446,14.866666793823242,axial_advance_candidate
insert_jc_fix_3,21,456,15.199999809265137,terminal_settle_candidate
insert_jc_fix_3,21,468,15.600000381469727,axial_advance_candidate
insert_jc_fix_3,21,486,16.200000762939453,terminal_settle_candidate
insert_jc_fix_3,21,519,17.299999237060547,axial_advance_candidate
insert_jc_fix_3,21,528,17.600000381469727,released
insert_jc_fix_3,22,0,0.0,approach
insert_jc_fix_3,22,163,5.433333396911621,grasp_lift
insert_jc_fix_3,22,206,6.866666793823242,transport
insert_jc_fix_3,22,260,8.666666984558105,prealignment
insert_jc_fix_3,22,284,9.466666221618652,axial_advance_candidate
insert_jc_fix_3,22,371,12.366666793823242,terminal_settle_candidate
insert_jc_fix_3,22,390,13.0,axial_advance_candidate
insert_jc_fix_3,22,425,14.166666984558105,terminal_settle_candidate
insert_jc_fix_3,22,453,15.100000381469727,released
insert_jc_fix_3,23,0,0.0,approach
insert_jc_fix_3,23,161,5.366666793823242,grasp_lift
insert_jc_fix_3,23,201,6.699999809265137,transport
insert_jc_fix_3,23,243,8.100000381469727,prealignment
insert_jc_fix_3,23,300,10.0,axial_advance_candidate
insert_jc_fix_3,23,358,11.933333396911621,terminal_settle_candidate
insert_jc_fix_3,23,367,12.233333587646484,axial_advance_candidate
insert_jc_fix_3,23,401,13.366666793823242,terminal_settle_candidate
insert_jc_fix_3,23,475,15.833333015441895,axial_advance_candidate
insert_jc_fix_3,23,486,16.200000762939453,released
insert_jc_fix_3,24,0,0.0,approach
insert_jc_fix_3,24,138,4.599999904632568,grasp_lift
insert_jc_fix_3,24,174,5.800000190734863,transport
insert_jc_fix_3,24,203,6.766666889190674,prealignment
insert_jc_fix_3,24,233,7.766666889190674,axial_advance_candidate
insert_jc_fix_3,24,361,12.033333778381348,terminal_settle_candidate
insert_jc_fix_3,24,366,12.199999809265137,axial_advance_candidate
insert_jc_fix_3,24,403,13.433333396911621,terminal_settle_candidate
insert_jc_fix_3,24,414,13.800000190734863,axial_advance_candidate
insert_jc_fix_3,24,429,14.300000190734863,released
insert_jc_fix_3,25,0,0.0,approach
insert_jc_fix_3,25,137,4.566666603088379,grasp_lift
insert_jc_fix_3,25,169,5.633333206176758,transport
insert_jc_fix_3,25,218,7.266666889190674,prealignment
insert_jc_fix_3,25,269,8.966666221618652,axial_advance_candidate
insert_jc_fix_3,25,301,10.033333778381348,terminal_settle_candidate
insert_jc_fix_3,25,313,10.433333396911621,axial_advance_candidate
insert_jc_fix_3,25,333,11.100000381469727,terminal_settle_candidate
insert_jc_fix_3,25,347,11.566666603088379,axial_advance_candidate
insert_jc_fix_3,25,388,12.933333396911621,terminal_settle_candidate
insert_jc_fix_3,25,451,15.033333778381348,axial_advance_candidate
insert_jc_fix_3,25,461,15.366666793823242,released
insert_jc_fix_3,26,0,0.0,approach
insert_jc_fix_3,26,148,4.933333396911621,grasp_lift
insert_jc_fix_3,26,182,6.066666603088379,transport
insert_jc_fix_3,26,225,7.5,prealignment
insert_jc_fix_3,26,322,10.733333587646484,axial_advance_candidate
insert_jc_fix_3,26,343,11.433333396911621,terminal_settle_candidate
insert_jc_fix_3,26,422,14.066666603088379,axial_advance_candidate
insert_jc_fix_3,26,442,14.733333587646484,released
insert_jc_fix_3,27,0,0.0,approach
insert_jc_fix_3,27,203,6.766666889190674,grasp_lift
insert_jc_fix_3,27,224,7.4666666984558105,transport
insert_jc_fix_3,27,283,9.433333396911621,prealignment
insert_jc_fix_3,27,311,10.366666793823242,axial_advance_candidate
insert_jc_fix_3,27,366,12.199999809265137,terminal_settle_candidate
insert_jc_fix_3,27,384,12.800000190734863,axial_advance_candidate
insert_jc_fix_3,27,398,13.266666412353516,terminal_settle_candidate
insert_jc_fix_3,27,427,14.233333587646484,axial_advance_candidate
