dataset,episode,normalized_grasp_progress,stage_code
insert_jc_fix_3,0,0.9033333333333333,5
insert_jc_fix_3,0,0.9066666666666666,5
insert_jc_fix_3,0,0.91,5
insert_jc_fix_3,0,0.9133333333333333,5
insert_jc_fix_3,0,0.9166666666666666,5
insert_jc_fix_3,0,0.92,5
insert_jc_fix_3,0,0.9233333333333333,5
insert_jc_fix_3,0,0.9266666666666666,5
insert_jc_fix_3,0,0.93,5
insert_jc_fix_3,0,0.9333333333333333,5
insert_jc_fix_3,0,0.9366666666666666,5
insert_jc_fix_3,0,0.94,5
insert_jc_fix_3,0,0.9433333333333334,5
insert_jc_fix_3,0,0.9466666666666667,5
insert_jc_fix_3,0,0.95,5
insert_jc_fix_3,0,0.9533333333333334,5
insert_jc_fix_3,0,0.9566666666666667,5
insert_jc_fix_3,0,0.96,5
insert_jc_fix_3,0,0.9633333333333334,5
insert_jc_fix_3,0,0.9666666666666667,5
insert_jc_fix_3,0,0.97,5
insert_jc_fix_3,0,0.9733333333333334,5
insert_jc_fix_3,0,0.9766666666666667,5
insert_jc_fix_3,0,0.98,5
insert_jc_fix_3,0,0.9833333333333333,5
insert_jc_fix_3,0,0.9866666666666667,0
insert_jc_fix_3,0,0.99,0
insert_jc_fix_3,0,0.9933333333333333,0
insert_jc_fix_3,0,0.9966666666666667,0
insert_jc_fix_3,0,1.0,0
insert_jc_fix_3,1,0.0,1
insert_jc_fix_3,1,0.0033333333333333335,1
insert_jc_fix_3,1,0.006666666666666667,1
insert_jc_fix_3,1,0.01,1
insert_jc_fix_3,1,0.013333333333333334,1
insert_jc_fix_3,1,0.016666666666666666,1
insert_jc_fix_3,1,0.02,1
insert_jc_fix_3,1,0.023333333333333334,1
insert_jc_fix_3,1,0.02666666666666667,1
insert_jc_fix_3,1,0.03,1
insert_jc_fix_3,1,0.03333333333333333,1
insert_jc_fix_3,1,0.03666666666666667,1
insert_jc_fix_3,1,0.04,1
insert_jc_fix_3,1,0.043333333333333335,1
insert_jc_fix_3,1,0.04666666666666667,1
insert_jc_fix_3,1,0.05,1
insert_jc_fix_3,1,0.05333333333333334,1
insert_jc_fix_3,1,0.056666666666666664,1
insert_jc_fix_3,1,0.06,1
insert_jc_fix_3,1,0.06333333333333334,1
insert_jc_fix_3,1,0.06666666666666667,1
