dataset,episode,reference_split,event,frame,time_s,status,threshold_time_spread_s,threshold_detection_count,video_duration_mismatch
insert_jc_fix_3,11,reference_heldout,lift_clearance,189.0,6.300000190734863,kinematic_proxy,0.0,3,False
insert_jc_fix_3,11,reference_heldout,assembly_region,225.0,7.5,kinematic_proxy,0.0,3,False
insert_jc_fix_3,11,reference_heldout,axial_advance_candidate,261.0,8.699999809265137,kinematic_proxy,4.033333333333333,3,False
insert_jc_fix_3,11,reference_heldout,terminal_settle_candidate,405.0,13.5,kinematic_proxy,0.0,3,False
insert_jc_fix_3,11,reference_heldout,release,445.0,14.833333015441895,kinematic_proxy,0.0,3,False
insert_jc_fix_3,12,reference_heldout,grasp,222.0,7.400000095367432,kinematic_proxy,0.0,3,False
insert_jc_fix_3,12,reference_heldout,lift_clearance,264.0,8.800000190734863,kinematic_proxy,0.0,3,False
insert_jc_fix_3,12,reference_heldout,assembly_region,322.0,10.733333587646484,kinematic_proxy,0.0,3,False
insert_jc_fix_3,12,reference_heldout,axial_advance_candidate,411.0,13.699999809265137,kinematic_proxy,0.8333333333333334,3,False
insert_jc_fix_3,12,reference_heldout,terminal_settle_candidate,451.0,15.033333778381348,kinematic_proxy,0.0,3,False
insert_jc_fix_3,12,reference_heldout,release,517.0,17.233333587646484,kinematic_proxy,0.0,3,False
insert_jc_fix_3,13,reference_heldout,grasp,157.0,5.233333110809326,kinematic_proxy,0.0,3,False
insert_jc_fix_3,13,reference_heldout,lift_clearance,192.0,6.400000095367432,kinematic_proxy,0.0,3,False
insert_jc_fix_3,13,reference_heldout,assembly_region,216.0,7.199999809265137,kinematic_proxy,0.0,3,False
insert_jc_fix_3,13,reference_heldout,axial_advance_candidate,294.0,9.800000190734863,kinematic_proxy,2.466666666666667,3,False
insert_jc_fix_3,13,reference_heldout,terminal_settle_candidate,315.0,10.5,kinematic_proxy,0.0,3,False
insert_jc_fix_3,13,reference_heldout,release,364.0,12.133333206176758,kinematic_proxy,0.0,3,False
insert_jc_fix_3,14,reference_heldout,grasp,212.0,7.066666603088379,kinematic_proxy,0.0,3,False
insert_jc_fix_3,14,reference_heldout,lift_clearance,250.0,8.333333015441895,kinematic_proxy,0.0,3,False
insert_jc_fix_3,14,reference_heldout,assembly_region,302.0,10.066666603088379,kinematic_proxy,0.0,3,False
insert_jc_fix_3,14,reference_heldout,axial_advance_candidate,334.0,11.133333206176758,kinematic_proxy,0.26666666666666666,2,False
insert_jc_fix_3,14,reference_heldout,terminal_settle_candidate,466.0,15.533333778381348,kinematic_proxy,0.0,2,False
insert_jc_fix_3,14,reference_heldout,release,536.0,17.866666793823242,kinematic_proxy,0.0,3,False
insert_jc_fix_3,15,calibration,grasp,167.0,5.566666603088379,kinematic_proxy,0.0,3,False
insert_jc_fix_3,15,calibration,lift_clearance,202.0,6.733333110809326,kinematic_proxy,0.0,3,False
insert_jc_fix_3,15,calibration,assembly_region,241.0,8.033333778381348,kinematic_proxy,0.0,3,False
insert_jc_fix_3,15,calibration,axial_advance_candidate,277.0,9.233333587646484,kinematic_proxy,0.0,3,False
insert_jc_fix_3,15,calibration,terminal_settle_candidate,429.0,14.300000190734863,kinematic_proxy,0.0,3,False
insert_jc_fix_3,15,calibration,release,464.0,15.466666221618652,kinematic_proxy,0.0,3,False
insert_jc_fix_3,16,reference_heldout,grasp,180.0,6.0,kinematic_proxy,0.0,3,False
insert_jc_fix_3,16,reference_heldout,lift_clearance,216.0,7.199999809265137,kinematic_proxy,0.0,3,False
insert_jc_fix_3,16,reference_heldout,assembly_region,242.0,8.066666603088379,kinematic_proxy,0.0,3,False
insert_jc_fix_3,16,reference_heldout,axial_advance_candidate,300.0,10.0,kinematic_proxy,0.0,3,False
insert_jc_fix_3,16,reference_heldout,terminal_settle_candidate,361.0,12.033333778381348,kinematic_proxy,0.0,3,False
insert_jc_fix_3,16,reference_heldout,release,381.0,12.699999809265137,kinematic_proxy,0.0,3,False
insert_jc_fix_3,17,reference_heldout,grasp,145.0,4.833333492279053,kinematic_proxy,0.0,3,False
insert_jc_fix_3,17,reference_heldout,lift_clearance,177.0,5.900000095367432,kinematic_proxy,0.0,3,False
insert_jc_fix_3,17,reference_heldout,assembly_region,208.0,6.933333396911621,kinematic_proxy,0.0,3,False
insert_jc_fix_3,17,reference_heldout,axial_advance_candidate,235.0,7.833333492279053,kinematic_proxy,3.033333333333333,3,False
insert_jc_fix_3,17,reference_heldout,terminal_settle_candidate,342.0,11.399999618530273,kinematic_proxy,0.0,3,False
