dataset,episode,variant,event,frame,time_s
insert_jc_fix_3,4,own_terminal_offline,assembly_region,297.0,9.899999618530273
insert_jc_fix_3,4,own_terminal_offline,axial_advance_candidate,323.0,10.766666412353516
insert_jc_fix_3,4,own_terminal_offline,terminal_settle_candidate,388.0,12.933333396911621
insert_jc_fix_3,4,own_terminal_offline,release,441.0,14.699999809265137
insert_jc_fix_3,5,strict,grasp,200.0,6.666666507720947
insert_jc_fix_3,5,strict,lift_clearance,241.0,8.033333778381348
insert_jc_fix_3,5,strict,assembly_region,298.0,9.933333396911621
insert_jc_fix_3,5,strict,axial_advance_candidate,445.0,14.833333015441895
insert_jc_fix_3,5,strict,terminal_settle_candidate,456.0,15.199999809265137
insert_jc_fix_3,5,strict,release,497.0,16.566667556762695
insert_jc_fix_3,5,main,grasp,200.0,6.666666507720947
insert_jc_fix_3,5,main,lift_clearance,241.0,8.033333778381348
insert_jc_fix_3,5,main,assembly_region,298.0,9.933333396911621
insert_jc_fix_3,5,main,axial_advance_candidate,370.0,12.333333015441895
insert_jc_fix_3,5,main,terminal_settle_candidate,456.0,15.199999809265137
insert_jc_fix_3,5,main,release,497.0,16.566667556762695
insert_jc_fix_3,5,loose,grasp,200.0,6.666666507720947
insert_jc_fix_3,5,loose,lift_clearance,241.0,8.033333778381348
insert_jc_fix_3,5,loose,assembly_region,298.0,9.933333396911621
insert_jc_fix_3,5,loose,axial_advance_candidate,326.0,10.866666793823242
insert_jc_fix_3,5,loose,terminal_settle_candidate,456.0,15.199999809265137
insert_jc_fix_3,5,loose,release,497.0,16.566667556762695
insert_jc_fix_3,5,own_terminal_offline,grasp,200.0,6.666666507720947
insert_jc_fix_3,5,own_terminal_offline,lift_clearance,241.0,8.033333778381348
insert_jc_fix_3,5,own_terminal_offline,assembly_region,298.0,9.933333396911621
insert_jc_fix_3,5,own_terminal_offline,axial_advance_candidate,326.0,10.866666793823242
insert_jc_fix_3,5,own_terminal_offline,terminal_settle_candidate,456.0,15.199999809265137
insert_jc_fix_3,5,own_terminal_offline,release,497.0,16.566667556762695
insert_jc_fix_3,6,strict,grasp,176.0,5.866666793823242
insert_jc_fix_3,6,strict,lift_clearance,211.0,7.0333333015441895
insert_jc_fix_3,6,strict,assembly_region,267.0,8.899999618530273
insert_jc_fix_3,6,strict,axial_advance_candidate,344.0,11.466666221618652
insert_jc_fix_3,6,strict,terminal_settle_candidate,401.0,13.366666793823242
insert_jc_fix_3,6,strict,release,439.0,14.633333206176758
insert_jc_fix_3,6,main,grasp,176.0,5.866666793823242
insert_jc_fix_3,6,main,lift_clearance,211.0,7.0333333015441895
insert_jc_fix_3,6,main,assembly_region,267.0,8.899999618530273
insert_jc_fix_3,6,main,axial_advance_candidate,344.0,11.466666221618652
insert_jc_fix_3,6,main,terminal_settle_candidate,401.0,13.366666793823242
insert_jc_fix_3,6,main,release,439.0,14.633333206176758
insert_jc_fix_3,6,loose,grasp,176.0,5.866666793823242
insert_jc_fix_3,6,loose,lift_clearance,211.0,7.0333333015441895
insert_jc_fix_3,6,loose,assembly_region,267.0,8.899999618530273
insert_jc_fix_3,6,loose,axial_advance_candidate,344.0,11.466666221618652
insert_jc_fix_3,6,loose,terminal_settle_candidate,401.0,13.366666793823242
insert_jc_fix_3,6,loose,release,439.0,14.633333206176758
insert_jc_fix_3,6,own_terminal_offline,grasp,176.0,5.866666793823242
insert_jc_fix_3,6,own_terminal_offline,lift_clearance,211.0,7.0333333015441895
insert_jc_fix_3,6,own_terminal_offline,assembly_region,270.0,9.0
