time_s,nominal_frame,event_progress,alpha_pitch,applied_rotation_deg,delta_x_mm,delta_y_mm,delta_z_mm
1.3666666666666667,271.54332976245,1.0308665952490004,0.004666534651220742,0.046665346512207426,0.07219012413373083,-0.0737930023595526,-0.05523281842320649
1.4,271.6531341147654,1.0330626822953082,0.005178015067288679,0.05178015067288679,0.08011362986459769,-0.08189928399679469,-0.060779303363872605
1.4333333333333333,271.7677306612951,1.0353546132259022,0.005711818036506175,0.05711818036506175,0.08838530270749434,-0.09036320469285597,-0.06646096425882986
1.4666666666666666,271.88719473499447,1.0377438946998894,0.00626829446783571,0.0626829446783571,0.09701089661473539,-0.09919083825055824,-0.07226773005181153
1.5,272.0116,1.0402319999999998,0.006906342068946662,0.06906342068946662,0.10689261829854857,-0.10930501336098991,-0.07884544397424031
1.5333333333333332,272.1410184607989,1.0428203692159774,0.008162466635514634,0.08162466635514634,0.12622570847320436,-0.1290879173372339,-0.09208885030209668
1.5666666666666667,272.27552047139807,1.0455104094279613,0.009467931703817253,0.09467931703817253,0.14628301235852792,-0.149616314118306,-0.10549463188097574
1.6,272.4151747444938,1.0483034948898762,0.010823404193436581,0.10823404193436581,0.16707077383826263,-0.17089711161298593,-0.1190279799037075
1.6333333333333333,272.56004836064096,1.0512009672128193,0.012229535182529262,0.12229535182529262,0.18859478333810298,-0.1929367830467016,-0.1326515653968796
1.6666666666666667,272.7102067774221,1.0542041355484424,0.013686959996821232,0.13686959996821232,0.21086037705297933,-0.2157413667850383,-0.1463254924550239
1.7,272.8657138386173,1.057314276772346,0.015196298298608133,0.15196298298608132,0.23387243648920197,-0.23931646646106058,-0.16000725296666518
1.7333333333333334,273.02663178337286,1.0605326356674574,0.016989561086734342,0.16989561086734342,0.2611745029642565,-0.2672881811203037,-0.17611578993989574
1.7666666666666666,273.1930212553712,1.0638604251074242,0.02005030216428099,0.20050302164280992,0.307751739288431,-0.3149909822383057,-0.20486669708036365
1.8,273.364941312,1.0672988262399996,0.023212778570138422,0.23212778570138423,0.35572635225089577,-0.3641363698991054,-0.23361809341404527
