model,global_progress,phase,phase_progress,alpha_x,alpha_y,g_translation,g_yaw
Empirical isolated,0.4895833333333333,Enter key,0.9583333333333334,1.0022831770280995,1.0080569410800102,1.0051700590540549,0.9999917390745261
Empirical isolated,0.5,Enter key,1.0,1.0018467903137205,1.0114518304665883,1.0066493103901544,0.999987269113459
Empirical isolated,0.5,Unlock yaw,0.0,1.002296557029088,1.0129232890903948,1.0076099230597415,0.9999325772457865
Empirical isolated,0.5104166666666666,Unlock yaw,0.041666666666666664,1.0019707803924875,1.0157791897654533,1.0088749850789704,0.9970170933759096
Empirical isolated,0.5208333333333334,Unlock yaw,0.08333333333333333,1.001645003755887,1.0185731885333855,1.0101090961446362,0.9860207918263365
Empirical isolated,0.53125,Unlock yaw,0.125,1.0014056228101251,1.0202241906275347,1.01081490671883,0.9642808526523245
Empirical isolated,0.5416666666666666,Unlock yaw,0.16666666666666666,1.0013390332460401,1.02002319569389,1.010681114469965,0.9312284193941965
Empirical isolated,0.5520833333333334,Unlock yaw,0.20833333333333334,1.0012724436819551,1.018555803845326,1.0099141237636404,0.8859540007705273
Empirical isolated,0.5625,Unlock yaw,0.25,1.0012252256274223,1.0166415013372898,1.008933363482356,0.8287616465521357
Empirical isolated,0.5729166666666666,Unlock yaw,0.2916666666666667,1.0011876933276649,1.0137404159953194,1.0074640546614921,0.7595568855020863
Empirical isolated,0.5833333333333334,Unlock yaw,0.3333333333333333,1.001150161027908,1.0101379516224065,1.0056440563251572,0.6782770331271585
Empirical isolated,0.59375,Unlock yaw,0.375,1.0011034086346626,1.0044484709699946,1.0027759398023286,0.5853689057208519
Empirical isolated,0.6041666666666666,Unlock yaw,0.4166666666666667,1.001056656241417,0.9965085114041958,0.9987825838228064,0.4866831556601258
Empirical isolated,0.6145833333333334,Unlock yaw,0.4583333333333333,1.001011611272891,0.9884019227077562,0.9947067669903236,0.390182005134853
Empirical isolated,0.625,Unlock yaw,0.5,1.000969981153806,0.9805907495319839,0.9907803653428949,0.3016571927617619
Empirical isolated,0.6354166666666666,Unlock yaw,0.5416666666666666,1.0009283510347207,0.9757235646247859,0.9883259578297533,0.22343977184492075
Empirical isolated,0.6458333333333333,Unlock yaw,0.5833333333333334,1.0008985797564187,0.9722038482626278,0.9865512140095233,0.15665656281779924
Empirical isolated,0.65625,Unlock yaw,0.625,1.0008747378985086,0.9706095171471436,0.9857421275228261,0.10137469088057728
Empirical isolated,0.6666666666666666,Unlock yaw,0.6666666666666666,1.0008508960405986,0.9704901215930776,0.985670508816838,0.05811753204392593
Empirical isolated,0.6770833333333333,Unlock yaw,0.7083333333333334,1.00082807863752,0.971312153463562,0.9860701160505411,0.027147981570406977
Empirical isolated,0.6875,Unlock yaw,0.75,1.000805261234442,0.9732984316845733,0.9870518464595077,0.008230196150510717
Empirical isolated,0.6979166666666666,Unlock yaw,0.7916666666666666,1.0007836855947967,0.9754035156220195,0.9880936006084081,0.0007495746309999343
Empirical isolated,0.7083333333333333,Unlock yaw,0.8333333333333334,1.0007645934820173,0.9774250909686086,0.989094842225313,9.104129653036835e-05
Empirical isolated,0.71875,Unlock yaw,0.875,1.0007455013692377,0.9788086793075005,0.9897770903383691,0.00018601180995749672
Empirical isolated,0.7291666666666666,Unlock yaw,0.9166666666666666,1.0007374609510102,0.9798763940731681,0.9903069275120892,2.563959493424486e-05
Empirical isolated,0.7395833333333333,Unlock yaw,0.9583333333333334,1.0007349463800586,0.9803272318094965,0.9905310890947776,-0.00012242463025605074
Empirical isolated,0.75,Unlock yaw,1.0,1.0007324318091073,0.9807842783629892,0.9907583550860483,-0.0002082075826268837
Empirical isolated,0.75,Circular insert,0.0,1.0010557870070138,0.9802599747975667,0.9906578809022902,-0.0002528130744239661
Empirical isolated,0.7604166666666666,Circular insert,0.041666666666666664,1.0009823366999624,0.9802925503916207,0.9906374435457915,-0.0002461864847964904
Empirical isolated,0.7708333333333334,Circular insert,0.08333333333333333,1.000908886392911,0.9803251259856752,0.9906170061892932,-0.00023955989516901511
Empirical isolated,0.78125,Circular insert,0.125,1.0008354360858596,0.9803577015797296,0.9905965688327946,-0.00023293330554153974
Empirical isolated,0.7916666666666666,Circular insert,0.16666666666666666,1.0007619857788084,0.9803902771737838,0.9905761314762961,-0.00022630671591406442
Empirical isolated,0.8020833333333334,Circular insert,0.20833333333333334,1.0006885354717574,0.98037994466722,0.9905342400694888,-0.00022281590053881565
Empirical isolated,0.8125,Circular insert,0.25,1.0006150851647055,0.9803939610719679,0.9905045231183367,-0.00023186818217247408
Empirical isolated,0.8229166666666666,Circular insert,0.2916666666666667,1.0005416348576543,0.9804079774767158,0.9904748061671851,-0.00024092046380613252
Empirical isolated,0.8333333333333334,Circular insert,0.3333333333333333,1.000468184550603,0.980421993881464,0.9904450892160335,-0.00024997274543979106
Empirical isolated,0.84375,Circular insert,0.375,1.0001867699126399,0.9806734820206958,0.9904301259666679,-0.00025902502707344946
Empirical isolated,0.8541666666666666,Circular insert,0.4166666666666667,0.9999053552746772,0.9809637183530461,0.9904345368138616,-0.0002702082202546297
Empirical isolated,0.8645833333333334,Circular insert,0.4583333333333333,0.9996239406367141,0.981312076975074,0.9904680088058941,-0.0002845877807570929
Empirical isolated,0.875,Circular insert,0.5,0.9993425259987512,0.9816604355971015,0.9905014807979263,-0.0002989673412595562
Empirical isolated,0.8854166666666666,Circular insert,0.5416666666666666,0.9990611113607881,0.981899736345642,0.990480423853215,-0.00031334690176201916
Empirical isolated,0.8958333333333333,Circular insert,0.5833333333333334,0.9987796967228251,0.9821390370941825,0.9904593669085038,-0.0003277264622644824
Empirical isolated,0.90625,Circular insert,0.625,0.9984982820848621,0.9824474109336733,0.9904728465092677,-0.0003489858486933289
Empirical isolated,0.9166666666666666,Circular insert,0.6666666666666666,0.9982168674468991,0.9828018335004647,0.9905093504736819,-0.00037483178573976487
Empirical isolated,0.9270833333333333,Circular insert,0.7083333333333334,0.9978083272775014,0.9835244777301945,0.9906664025038479,-0.0004006777227862004
Empirical isolated,0.9375,Circular insert,0.75,0.9973997871081032,0.9842471219599244,0.9908234545340138,-0.0004265236598326363
Empirical isolated,0.9479166666666666,Circular insert,0.7916666666666666,0.9969912469387056,0.9849697661896544,0.9909805065641799,-0.00045236959687907193
Empirical isolated,0.9583333333333333,Circular insert,0.8333333333333334,0.9965827067693072,0.9858022081769173,0.9911924574731122,-0.0004780793804435685
Empirical isolated,0.96875,Circular insert,0.875,0.996174166599909,0.9864604760271806,0.9913173213135448,-0.0005037551256375805
Empirical isolated,0.9791666666666666,Circular insert,0.9166666666666666,0.9957656264305114,0.9871187438774438,0.9914421851539776,-0.0005294308708315923
Empirical isolated,0.9895833333333333,Circular insert,0.9583333333333334,0.9953570862611134,0.9877770117277069,0.9915670489944102,-0.0005551066160256044
Empirical isolated,1.0,Circular insert,1.0,0.9949485460917152,0.9884352795779704,0.9916919128348428,-0.0005807823612196162
Frame-weighted,0.0,Align keyed,0.0,0.008858375351769568,0.008858375351769568,0.008858375351769568,0.008858375351769568
Frame-weighted,0.010416666666666666,Align keyed,0.041666666666666664,0.01137224783621019,0.01137224783621019,0.01137224783621019,0.01137224783621019
Frame-weighted,0.020833333333333332,Align keyed,0.08333333333333333,0.023923608816624788,0.023923608816624788,0.023923608816624788,0.023923608816624788
Frame-weighted,0.03125,Align keyed,0.125,0.04601059766371264,0.04601059766371264,0.04601059766371264,0.04601059766371264
Frame-weighted,0.041666666666666664,Align keyed,0.16666666666666666,0.07952857486516254,0.07952857486516254,0.07952857486516254,0.07952857486516254
Frame-weighted,0.05208333333333333,Align keyed,0.20833333333333334,0.12831583645780825,0.12831583645780825,0.12831583645780825,0.12831583645780825
Frame-weighted,0.0625,Align keyed,0.25,0.19310491186102885,0.19310491186102885,0.19310491186102885,0.19310491186102885
