baseline,episode,condition_id,generator,metric,baseline_minus_pdiag_mm_equiv
TP-GMM SE(2),episode_1,1,yaw,response_error_mm_equiv,1.6095621526456805
TP-GMM SE(2),episode_4,3,yaw,response_error_mm_equiv,-0.1752370951984792
TP-GMM SE(2),episode_5,4,yaw,response_error_mm_equiv,0.7632922712368373
TP-GMM SE(2),episode_7,5,translation,response_error_mm_equiv,1.1451863789637153
TP-GMM SE(2),episode_9,6,translation,response_error_mm_equiv,0.5257721590585156
TP-GMM SE(2),episode_11,7,translation,response_error_mm_equiv,-0.11419936505413197
TP-GMM SE(2),episode_12,8,translation,response_error_mm_equiv,0.7573685227290066
TP-GMM SE(2),episode_0,0,yaw,response_endpoint_error_mm_equiv,-0.27545372898851583
TP-GMM SE(2),episode_1,1,yaw,response_endpoint_error_mm_equiv,-0.20566464978432206
TP-GMM SE(2),episode_4,3,yaw,response_endpoint_error_mm_equiv,-0.2815707951139921
TP-GMM SE(2),episode_5,4,yaw,response_endpoint_error_mm_equiv,-0.32149010457827976
TP-GMM SE(2),episode_7,5,translation,response_endpoint_error_mm_equiv,-0.15045965088076996
TP-GMM SE(2),episode_9,6,translation,response_endpoint_error_mm_equiv,-0.07124855148881226
TP-GMM SE(2),episode_11,7,translation,response_endpoint_error_mm_equiv,-0.3147024421365314
TP-GMM SE(2),episode_12,8,translation,response_endpoint_error_mm_equiv,-0.11773858991391803
TP-GMM SE(2),episode_0,0,yaw,task_error_mm_equiv,1.7321627617559514
TP-GMM SE(2),episode_1,1,yaw,task_error_mm_equiv,1.519500735156634
TP-GMM SE(2),episode_4,3,yaw,task_error_mm_equiv,-0.315113449950696
TP-GMM SE(2),episode_5,4,yaw,task_error_mm_equiv,0.5981577946814913
TP-GMM SE(2),episode_7,5,translation,task_error_mm_equiv,1.075129925710819
TP-GMM SE(2),episode_9,6,translation,task_error_mm_equiv,0.48883078784403544
TP-GMM SE(2),episode_11,7,translation,task_error_mm_equiv,-0.1373791795193533
TP-GMM SE(2),episode_12,8,translation,task_error_mm_equiv,0.7270500699747711
TP-GMM SE(2),episode_0,0,yaw,task_endpoint_error_mm_equiv,-0.011013358402772871
TP-GMM SE(2),episode_1,1,yaw,task_endpoint_error_mm_equiv,-0.16423847926832402
TP-GMM SE(2),episode_4,3,yaw,task_endpoint_error_mm_equiv,-0.21004104869142265
TP-GMM SE(2),episode_5,4,yaw,task_endpoint_error_mm_equiv,0.006643670406590252
TP-GMM SE(2),episode_7,5,translation,task_endpoint_error_mm_equiv,-0.15044512154171963
TP-GMM SE(2),episode_9,6,translation,task_endpoint_error_mm_equiv,-0.06896504844976459
TP-GMM SE(2),episode_11,7,translation,task_endpoint_error_mm_equiv,-0.31555725191568873
TP-GMM SE(2),episode_12,8,translation,task_endpoint_error_mm_equiv,-0.11973600752874206
Generic RBF,episode_0,0,yaw,response_error_mm_equiv,-0.32816253157706576
Generic RBF,episode_1,1,yaw,response_error_mm_equiv,-0.2439678951522981
Generic RBF,episode_4,3,yaw,response_error_mm_equiv,-0.13173817879267236
Generic RBF,episode_5,4,yaw,response_error_mm_equiv,-0.5523134408834829
Generic RBF,episode_7,5,translation,response_error_mm_equiv,0.23857429524401308
Generic RBF,episode_9,6,translation,response_error_mm_equiv,-0.006513380802596558
Generic RBF,episode_11,7,translation,response_error_mm_equiv,-0.22199950190453377
Generic RBF,episode_12,8,translation,response_error_mm_equiv,-0.005942096409207509
Generic RBF,episode_0,0,yaw,response_endpoint_error_mm_equiv,-0.22686764451212638
Generic RBF,episode_1,1,yaw,response_endpoint_error_mm_equiv,-0.2976405688710968
Generic RBF,episode_4,3,yaw,response_endpoint_error_mm_equiv,-0.25380953316732385
Generic RBF,episode_5,4,yaw,response_endpoint_error_mm_equiv,-0.4619607959822437
Generic RBF,episode_7,5,translation,response_endpoint_error_mm_equiv,-0.23193963574530085
Generic RBF,episode_9,6,translation,response_endpoint_error_mm_equiv,-0.2152037660868215
Generic RBF,episode_11,7,translation,response_endpoint_error_mm_equiv,-0.25187903219828967
Generic RBF,episode_12,8,translation,response_endpoint_error_mm_equiv,-0.17396285244988022
Generic RBF,episode_0,0,yaw,task_error_mm_equiv,-0.19506498195871336
Generic RBF,episode_1,1,yaw,task_error_mm_equiv,-0.22780184014987642
Generic RBF,episode_4,3,yaw,task_error_mm_equiv,-0.11752309854824694
Generic RBF,episode_5,4,yaw,task_error_mm_equiv,-0.5117698749668285
Generic RBF,episode_7,5,translation,task_error_mm_equiv,0.23652190996102074
Generic RBF,episode_9,6,translation,task_error_mm_equiv,-0.00584886143301766
Generic RBF,episode_11,7,translation,task_error_mm_equiv,-0.22168714068258932
Generic RBF,episode_12,8,translation,task_error_mm_equiv,-0.009969882581336909
Generic RBF,episode_0,0,yaw,task_endpoint_error_mm_equiv,0.03996740293018833
Generic RBF,episode_1,1,yaw,task_endpoint_error_mm_equiv,-0.2559139093568172
Generic RBF,episode_4,3,yaw,task_endpoint_error_mm_equiv,-0.18176646781731085
Generic RBF,episode_5,4,yaw,task_endpoint_error_mm_equiv,-0.13338647157653405
Generic RBF,episode_7,5,translation,task_endpoint_error_mm_equiv,-0.23241952475485117
Generic RBF,episode_9,6,translation,task_endpoint_error_mm_equiv,-0.21319990772454883
Generic RBF,episode_11,7,translation,task_endpoint_error_mm_equiv,-0.25318649830317086
Generic RBF,episode_12,8,translation,task_endpoint_error_mm_equiv,-0.17821590656269903
Full operator,episode_0,0,yaw,response_error_mm_equiv,-0.34879096613825755
Full operator,episode_1,1,yaw,response_error_mm_equiv,-0.27074937184502046
Full operator,episode_4,3,yaw,response_error_mm_equiv,-0.14623213954942083
Full operator,episode_5,4,yaw,response_error_mm_equiv,-0.5678250671226519
Full operator,episode_7,5,translation,response_error_mm_equiv,0.2362555522047769
Full operator,episode_9,6,translation,response_error_mm_equiv,-0.010608607704293505
Full operator,episode_11,7,translation,response_error_mm_equiv,-0.22833360403217462
Full operator,episode_12,8,translation,response_error_mm_equiv,-0.016703752435136665
Full operator,episode_0,0,yaw,response_endpoint_error_mm_equiv,-0.2264546356429753
