task,seed,subset_id,protocol,sample_size,repeat,model,fit_success,fit_error,fit_seconds,alpha_pre,alpha_post,e_alpha,switch_detected,switch_status,switch_location
circular_honest,20270818,18,random,3,0,TP-GMM SE(2),True,,0.49419543985277414,0.0014864557800588834,0.001579259035487027,3.5052517648133283e-06,False,left_censored,
circular_honest,20270818,19,random,3,1,TP-GMM SE(2),True,,0.3100965949706733,0.001555242486896615,0.0013927297332766695,2.2569533391309263e-06,False,left_censored,
circular_honest,20270818,20,random,3,2,TP-GMM SE(2),True,,0.6089698509313166,0.0029759425655080008,0.0023558325416520027,8.611618939437747e-06,False,left_censored,
circular_honest,20270818,21,qualified,3,0,TP-GMM SE(2),True,,0.40128927724435925,0.03308170841935085,0.028301174955585012,0.0011004161988135124,False,left_censored,
circular_honest,20270818,22,qualified,3,1,TP-GMM SE(2),True,,0.335590205155313,0.004366009426283103,0.001179515426641076,7.117118195109807e-05,False,left_censored,
circular_honest,20270818,23,qualified,3,2,TP-GMM SE(2),True,,0.6353927496820688,0.11508780255505592,0.11487492474582066,0.013245959577152307,False,left_censored,
circular_honest,20280818,18,random,3,0,TP-GMM SE(2),True,,0.43178034108132124,0.002029262782869372,0.0021376635308271146,6.379343849138155e-06,False,left_censored,
circular_honest,20280818,19,random,3,1,TP-GMM SE(2),True,,0.5752009097486734,0.0018004949587311907,0.001388103816797158,2.7634575360480967e-06,False,left_censored,
circular_honest,20280818,20,random,3,2,TP-GMM SE(2),True,,0.4539604801684618,0.0025164800697012536,0.0020214500210781606,5.9751000648073274e-06,False,left_censored,
circular_honest,20280818,21,qualified,3,0,TP-GMM SE(2),True,,0.4794943118467927,0.03764832727294521,0.029837026117639994,0.0013969482629218775,False,left_censored,
circular_honest,20280818,22,qualified,3,1,TP-GMM SE(2),True,,0.39847479201853275,0.004634614644756104,0.0011004826134116427,8.196637487755328e-05,False,left_censored,
circular_honest,20280818,23,qualified,3,2,TP-GMM SE(2),True,,0.45981947192922235,0.1526160313749498,0.17713818450690624,0.027570968952239306,False,left_censored,
circular_placebo,20260818,18,random,3,0,TP-GMM SE(2),True,,0.6052985340356827,0.019602735582818408,0.029060042110915375,0.0006387024621369422,False,left_censored,
circular_placebo,20260818,19,random,3,1,TP-GMM SE(2),True,,0.4790337001904845,0.004150485415795692,0.00513422132777534,5.1764108694912155e-05,False,left_censored,
circular_placebo,20260818,20,random,3,2,TP-GMM SE(2),True,,0.6420559287071228,0.025538788926337576,0.039913677771393846,0.001315385045883825,False,left_censored,
circular_placebo,20260818,21,qualified,3,0,TP-GMM SE(2),True,,0.387704785913229,0.0717420710520898,0.05210576350068478,0.011910634339734574,False,left_censored,
circular_placebo,20260818,22,qualified,3,1,TP-GMM SE(2),True,,0.5880845179781318,0.013003902813289791,0.021468586040519204,0.00037877215156245924,False,left_censored,
circular_placebo,20260818,23,qualified,3,2,TP-GMM SE(2),True,,0.3944021239876747,0.21388906695677115,0.13524968747907956,0.0432427174432982,False,left_censored,
circular_placebo,20270818,18,random,3,0,TP-GMM SE(2),True,,0.4306676331907511,0.022318141972652267,0.0290564006297552,0.0007127249346405718,False,left_censored,
circular_placebo,20270818,19,random,3,1,TP-GMM SE(2),True,,0.49800688587129116,0.019483717109558495,0.02728912008046932,0.0006448464678871694,False,left_censored,
circular_placebo,20270818,20,random,3,2,TP-GMM SE(2),True,,0.3686275170184672,0.028619423127095468,0.041463510575025786,0.001420357002825256,False,left_censored,
circular_placebo,20270818,21,qualified,3,0,TP-GMM SE(2),True,,0.6491939993575215,0.07078064981624306,0.07918127146619419,0.009190841877463843,False,left_censored,
circular_placebo,20270818,22,qualified,3,1,TP-GMM SE(2),True,,0.39990948187187314,0.013649944296792284,0.02386379335963283,0.00047433712186495175,False,left_censored,
circular_placebo,20270818,23,qualified,3,2,TP-GMM SE(2),True,,0.38672534190118313,0.20769326470743033,0.1409963140585573,0.04107822512879583,False,left_censored,
circular_placebo,20280818,18,random,3,0,TP-GMM SE(2),True,,0.5287564778700471,0.02265461712911637,0.029344940543257963,0.000727397498069052,False,left_censored,
circular_placebo,20280818,19,random,3,1,TP-GMM SE(2),True,,0.3474776721559465,0.021059240317211302,0.029369270388062786,0.0007315689262998937,False,left_censored,
circular_placebo,20280818,20,random,3,2,TP-GMM SE(2),True,,0.47397827496752143,0.02905545746810911,0.04118431980115683,0.0013982887231290637,False,left_censored,
circular_placebo,20280818,21,qualified,3,0,TP-GMM SE(2),True,,0.5937312599271536,0.06885755012246357,0.0374318299411253,0.008608885923384036,False,left_censored,
circular_placebo,20280818,22,qualified,3,1,TP-GMM SE(2),True,,0.3501577158458531,0.014721899728787522,0.022901994225999166,0.0004296558582253068,False,left_censored,
circular_placebo,20280818,23,qualified,3,2,TP-GMM SE(2),True,,0.73020782135427,0.19228360088806085,0.21659368266793602,0.04513836928371636,False,left_censored,
