model,sample_size,seed,fit_task,eval_task,cross_task_error,in_task_error,mismatch_gap
TP-GMM SE(2),10,20280818,keyed,circular_placebo,12.82977901064566,4.207926690323504,8.621852320322157
Generic RBF,10,20280818,keyed,circular_honest,5.081257504509793,5.187941692872498,-0.10668418836270543
Generic RBF,10,20280818,keyed,circular_placebo,13.606792676770239,5.187941692872498,8.418850983897741
Full operator,10,20280818,keyed,circular_honest,4.946819453893097,2.4733606216108104,2.4734588322822866
Full operator,10,20280818,keyed,circular_placebo,13.459951570092016,2.4733606216108104,10.986590948481206
Pdiag pointwise,10,20280818,keyed,circular_honest,4.357808945543954,2.1590903827141408,2.198718562829813
Pdiag pointwise,10,20280818,keyed,circular_placebo,12.984105731247631,2.1590903827141408,10.82501534853349
Pdiag finite,10,20280818,keyed,circular_honest,4.620540500670192,2.298797168241562,2.3217433324286296
Pdiag finite,10,20280818,keyed,circular_placebo,13.143371403518161,2.298797168241562,10.8445742352766
Frame-weighted,20,20280818,keyed,circular_honest,5.089026582513822,4.891607324766944,0.19741925774687807
Frame-weighted,20,20280818,keyed,circular_placebo,13.963760857899125,4.891607324766944,9.07215353313218
Phase scalar GP,20,20280818,keyed,circular_honest,5.088915373128943,4.891675835830214,0.19723953729872878
Phase scalar GP,20,20280818,keyed,circular_placebo,13.963711474253792,4.891675835830214,9.072035638423579
TP-GMM additive,20,20280818,keyed,circular_honest,4.946809874815864,3.692409605417412,1.2544002693984524
TP-GMM additive,20,20280818,keyed,circular_placebo,12.691295422076125,3.692409605417412,8.998885816658714
TP-GMM SE(2),20,20280818,keyed,circular_honest,5.124306665892138,3.266360510293657,1.8579461555984809
TP-GMM SE(2),20,20280818,keyed,circular_placebo,13.02848347925997,3.266360510293657,9.762122968966313
Generic RBF,20,20280818,keyed,circular_honest,4.509568672833626,3.955970792599896,0.5535978802337298
Generic RBF,20,20280818,keyed,circular_placebo,13.011574365379365,3.955970792599896,9.05560357277947
Full operator,20,20280818,keyed,circular_honest,4.48321275183815,1.8342767460458633,2.6489360057922866
Full operator,20,20280818,keyed,circular_placebo,12.994557693541715,1.8342767460458633,11.160280947495853
Pdiag pointwise,20,20280818,keyed,circular_honest,4.161447724080551,1.9419041011210507,2.2195436229595003
Pdiag pointwise,20,20280818,keyed,circular_placebo,12.894449871716171,1.9419041011210507,10.95254577059512
Pdiag finite,20,20280818,keyed,circular_honest,4.398704626714249,1.9526376268280603,2.4460669998861886
Pdiag finite,20,20280818,keyed,circular_placebo,12.92541050603081,1.9526376268280603,10.972772879202749
Frame-weighted,5,20260818,circular_honest,keyed,5.715399762526253,5.074976619199777,0.6404231433264762
Frame-weighted,5,20260818,circular_honest,circular_placebo,14.425561717562644,5.074976619199777,9.350585098362867
Phase scalar GP,5,20260818,circular_honest,keyed,5.71564871242953,5.074974147912693,0.6406745645168375
Phase scalar GP,5,20260818,circular_honest,circular_placebo,14.425549269648224,5.074974147912693,9.350575121735531
TP-GMM additive,5,20260818,circular_honest,keyed,7.382123991743335,5.56972347811371,1.8124005136296244
TP-GMM additive,5,20260818,circular_honest,circular_placebo,10.714020116102143,5.56972347811371,5.1442966379884325
TP-GMM SE(2),5,20260818,circular_honest,keyed,8.033658241794557,5.1319589991042065,2.9016992426903503
TP-GMM SE(2),5,20260818,circular_honest,circular_placebo,10.21719751816538,5.1319589991042065,5.085238519061173
Generic RBF,5,20260818,circular_honest,keyed,16.845307350226257,8.135675749139109,8.709631601087148
Generic RBF,5,20260818,circular_honest,circular_placebo,23.141756379219547,8.135675749139109,15.006080630080438
Full operator,5,20260818,circular_honest,keyed,5.187927018871252,3.433094905718638,1.7548321131526143
Full operator,5,20260818,circular_honest,circular_placebo,11.487268989443002,3.433094905718638,8.054174083724364
Pdiag pointwise,5,20260818,circular_honest,keyed,4.637396104523398,2.391871281895833,2.245524822627565
Pdiag pointwise,5,20260818,circular_honest,circular_placebo,11.100875090585303,2.391871281895833,8.70900380868947
Pdiag finite,5,20260818,circular_honest,keyed,4.888813147170324,2.4970710859289986,2.391742061241325
Pdiag finite,5,20260818,circular_honest,circular_placebo,11.495886049726366,2.4970710859289986,8.998814963797367
Frame-weighted,10,20260818,circular_honest,keyed,5.874462798206633,5.102666001969131,0.7717967962375019
Frame-weighted,10,20260818,circular_honest,circular_placebo,14.534950506194592,5.102666001969131,9.43228450422546
Phase scalar GP,10,20260818,circular_honest,keyed,5.874502325306494,5.102748788048903,0.7717535372575917
Phase scalar GP,10,20260818,circular_honest,circular_placebo,14.534948942375609,5.102748788048903,9.432200154326706
TP-GMM additive,10,20260818,circular_honest,keyed,6.3521199895746925,4.558650866733733,1.7934691228409596
TP-GMM additive,10,20260818,circular_honest,circular_placebo,9.500151370453633,4.558650866733733,4.9415005037199
TP-GMM SE(2),10,20260818,circular_honest,keyed,6.113359497001304,4.2742465303901795,1.8391129666111246
TP-GMM SE(2),10,20260818,circular_honest,circular_placebo,9.207190993165485,4.2742465303901795,4.932944462775305
Generic RBF,10,20260818,circular_honest,keyed,14.203930083650091,6.041214412592807,8.162715671057285
Generic RBF,10,20260818,circular_honest,circular_placebo,20.533684991672324,6.041214412592807,14.492470579079516
Full operator,10,20260818,circular_honest,keyed,4.6414813792071525,2.3122214151933327,2.32925996401382
Full operator,10,20260818,circular_honest,circular_placebo,11.295881102740381,2.3122214151933327,8.983659687547048
Pdiag pointwise,10,20260818,circular_honest,keyed,4.313258189522901,2.1503299934602103,2.1629281960626905
Pdiag pointwise,10,20260818,circular_honest,circular_placebo,11.067769532847224,2.1503299934602103,8.917439539387015
Pdiag finite,10,20260818,circular_honest,keyed,4.394501268103421,2.2141354779600992,2.180365790143322
Pdiag finite,10,20260818,circular_honest,circular_placebo,11.275611080475558,2.2141354779600992,9.06147560251546
Frame-weighted,20,20260818,circular_honest,keyed,5.669601565256348,4.896273133727286,0.7733284315290616
Frame-weighted,20,20260818,circular_honest,circular_placebo,14.243814835134097,4.896273133727286,9.347541701406811
Phase scalar GP,20,20260818,circular_honest,keyed,5.6696621877164235,4.896405197264542,0.7732569904518813
Phase scalar GP,20,20260818,circular_honest,circular_placebo,14.243872003670381,4.896405197264542,9.347466806405839
TP-GMM additive,20,20260818,circular_honest,keyed,6.505315507644855,3.4200293386164202,3.085286169028435
