task,seed,subset_id,protocol,sample_size,repeat,model,fit_success,fit_error,fit_seconds,alpha_pre,alpha_post,e_alpha,switch_detected,switch_status,switch_location
keyed,20280818,9,qualified,10,0,Pdiag pointwise,True,,0.0078112962655723095,0.8139063663297654,0.26649149808388856,0.1637049151734151,True,detected,0.6099608682403838
keyed,20280818,9,qualified,10,0,Pdiag finite,True,,2.3150174128822982,0.7377070576727172,0.2924629815461931,0.1970869858844164,True,detected,0.6118468043600054
keyed,20280818,10,qualified,10,1,Frame-weighted,True,,0.006158073432743549,0.6564348889339994,0.6801861429865614,0.41161186180031983,False,right_censored,
keyed,20280818,10,qualified,10,1,Phase scalar GP,True,,0.22942071594297886,0.6564688073453145,0.6801552842588852,0.41155295596990693,False,right_censored,
keyed,20280818,10,qualified,10,1,TP-GMM additive,True,,19.91074453899637,0.8117858923726401,0.2715363476502196,0.12956896407336643,True,detected,0.5944435055415693
keyed,20280818,10,qualified,10,1,TP-GMM SE(2),True,,20.580536575056612,0.8057221660749961,0.2400965636394364,0.11323451149202515,True,detected,0.5628831342976224
keyed,20280818,10,qualified,10,1,Generic RBF,True,,0.3649846138432622,0.8030196757756357,0.28138439557061706,0.16090734597713066,True,detected,0.6091613861030828
keyed,20280818,10,qualified,10,1,Full operator,True,,0.0020966441370546818,0.8109243326444958,0.28422635708772725,0.16277219109169716,True,detected,0.6095532233545085
keyed,20280818,10,qualified,10,1,Pdiag pointwise,True,,0.008068159688264132,0.8136866914270727,0.2735709509744997,0.16010347710189504,True,detected,0.6081409383017689
keyed,20280818,10,qualified,10,1,Pdiag finite,True,,1.313433603849262,0.7460399441291073,0.2859042741219483,0.18973388945039804,True,detected,0.6092076153515059
keyed,20280818,11,qualified,10,2,Frame-weighted,True,,0.006176185794174671,0.6662796101514823,0.7206186191472647,0.4345539198897056,False,right_censored,
keyed,20280818,11,qualified,10,2,Phase scalar GP,True,,0.22468125307932496,0.6662874471291983,0.7206116511111391,0.4345386945174225,False,right_censored,
keyed,20280818,11,qualified,10,2,TP-GMM additive,True,,23.16892411187291,0.6624284387762939,0.19003964058496492,0.12081508725342129,True,detected,0.5807290702362689
keyed,20280818,11,qualified,10,2,TP-GMM SE(2),True,,19.93401503097266,0.7742351977209307,0.1853106054773812,0.1379189375771306,True,detected,0.5786010645737132
keyed,20280818,11,qualified,10,2,Generic RBF,True,,0.19744105683639646,0.8215884605918342,0.15980511450572943,0.13865631625847027,True,detected,0.5868875062500718
keyed,20280818,11,qualified,10,2,Full operator,True,,0.0020837299525737762,0.8237751160387261,0.1601771790599198,0.13926264779912037,True,detected,0.5872667335736547
keyed,20280818,11,qualified,10,2,Pdiag pointwise,True,,0.007760055363178253,0.8195533822857309,0.19880928125769118,0.14957904889983983,True,detected,0.5979610416875243
keyed,20280818,11,qualified,10,2,Pdiag finite,True,,2.6216061618179083,0.7764375857201228,0.22681908852834226,0.16634423759522626,True,detected,0.5998644495439279
keyed,20280818,12,random,20,0,Frame-weighted,True,,0.0064291818998754025,0.7241048830425676,0.6611538514291649,0.3470634984880236,True,detected,0.9933858358175606
keyed,20280818,12,random,20,0,Phase scalar GP,True,,0.2057848540134728,0.724098365623142,0.661160711953745,0.3470685945665106,True,detected,0.9933760254543627
keyed,20280818,12,random,20,0,TP-GMM additive,True,,41.63810698501766,0.8024246592813233,0.24784759608308288,0.13172684637430873,True,detected,0.5872811433248835
keyed,20280818,12,random,20,0,TP-GMM SE(2),True,,41.7185033718124,0.8080211959707354,0.25921434767341955,0.14269172823408632,True,detected,0.5932550218697054
keyed,20280818,12,random,20,0,Generic RBF,True,,0.5758231738582253,0.8102919331468006,0.24533968624380434,0.1599862447939104,True,detected,0.6063887778344145
keyed,20280818,12,random,20,0,Full operator,True,,0.0020880941301584244,0.8129205558452823,0.2461418152742457,0.1608341371466308,True,detected,0.6063662722871825
keyed,20280818,12,random,20,0,Pdiag pointwise,True,,0.007750208955258131,0.8132982387185108,0.2402126781000941,0.15977674526788124,True,detected,0.6056625732370324
keyed,20280818,12,random,20,0,Pdiag finite,True,,3.210745483171195,0.7398250914817021,0.26711801205549135,0.1947171482987397,True,detected,0.6076199351894288
keyed,20280818,13,random,20,1,Frame-weighted,True,,0.006180841010063887,0.7734077501680514,0.6494634989023276,0.3125928930669014,False,right_censored,
keyed,20280818,13,random,20,1,Phase scalar GP,True,,0.19865348795428872,0.7734255836486562,0.6494461846118972,0.3125724366169397,False,right_censored,
keyed,20280818,13,random,20,1,TP-GMM additive,True,,38.949453722219914,0.7988202757275579,0.24076678642548427,0.1406808957712524,True,detected,0.6016730024065113
keyed,20280818,13,random,20,1,TP-GMM SE(2),True,,45.03410699684173,0.8253751149903,0.24537718100842415,0.1336118198844817,True,detected,0.6040323695343687
keyed,20280818,13,random,20,1,Generic RBF,True,,0.6672671311534941,0.8164167678957709,0.2247886848690775,0.1568171336970487,True,detected,0.6051803554713585
keyed,20280818,13,random,20,1,Full operator,True,,0.002108885906636715,0.8164110217030266,0.22478708795201796,0.1568183884219056,True,detected,0.6054134164644556
keyed,20280818,13,random,20,1,Pdiag pointwise,True,,0.007870671804994345,0.8171081233206289,0.22330904447024197,0.15669343380878734,True,detected,0.6053560581702098
keyed,20280818,13,random,20,1,Pdiag finite,True,,1.725323316641152,0.7490728298941117,0.24496778758026058,0.1882915549175067,True,detected,0.6068911522726963
