episode,condition_id,attempt_id,generator,steps,success,complete,max_contact_force_N,contact_frames,max_socket_drift_m,final_distance_m,final_axis_error_rad,final_key_clearance_m,dx,dy,dyaw,solver_error
episode_34,27,0,mixed,358,True,True,0.0,0,0.0,0.001387850963510573,0.0020550545305013657,0.023352395743131638,0.008541769008218795,0.004022032916112337,0.03196049633811415,
episode_35,28,0,mixed,379,True,True,0.0,0,3.725290298461914e-09,0.0013431778643280268,0.0020113694481551647,0.023337814956903458,0.002939942549023515,-0.009348660801151388,0.3077043496696418,
episode_36,29,0,mixed,372,True,True,0.0,0,0.0,0.0013016973389312625,0.0019468284444883466,0.02328820526599884,-0.006089367938036382,-0.010627967707550005,0.38299308163426515,
episode_37,30,0,mixed,363,True,True,0.0,0,0.0,0.0015246724942699075,0.0022742683067917824,0.023507408797740936,0.009080504039630437,0.0012646056698357323,0.01733541423828555,
episode_38,31,0,mixed,389,True,True,0.0,0,3.725290298461914e-09,0.0014580677961930633,0.0021791132166981697,0.023454289883375168,0.011910616875627975,0.00261372197217654,0.510092460033387,
episode_39,32,0,mixed,387,True,True,0.0,0,3.725290298461914e-09,0.0010843835771083832,0.0019200831884518266,0.023071084171533585,-0.005195427073254344,0.0013924329836661215,-0.346447262945213,
episode_40,33,0,mixed,150,False,False,0.0,0,0.0,0.3851378560066223,1.5843054056167603,0.0683930292725563,0.00038940294977674907,0.009918567515302294,-0.16978677020606076,RuntimeError('motion planning failed')
episode_41,33,1,mixed,390,True,True,0.0,0,0.0,0.0013165331911295652,0.0021030576899647713,0.023302562534809113,0.00038940294977674907,0.009918567515302294,-0.16978677020606076,
episode_42,34,0,mixed,372,True,True,0.0,0,0.0,0.0010789288207888603,0.0018196578603237867,0.023034218698740005,0.0019049604993052333,0.011545663344423165,-0.32687843647994297,
episode_43,35,0,mixed,407,True,True,0.0,0,0.0,0.001036082161590457,0.0016634913627058268,0.02300150692462921,-0.003747792048091088,0.010245802483035374,-0.4766883462474212,
episode_44,36,0,mixed,522,False,False,0.0,0,0.0,0.2107817679643631,1.5843061208724976,0.0683930516242981,-0.011241414553279885,-0.0008387961906365701,0.23442581763406956,RuntimeError('motion planning failed')
episode_45,36,1,mixed,381,True,True,0.0,0,0.0,0.0013127531856298447,0.002004335168749094,0.023298092186450958,-0.011241414553279885,-0.0008387961906365701,0.23442581763406956,
episode_46,37,0,mixed,358,True,True,0.0,0,3.725290298461914e-09,0.0012765447609126568,0.0018903184682130814,0.023257344961166382,-0.0024197706407490596,-0.009121479235809632,0.370931685048412,
episode_47,38,0,mixed,157,False,False,0.0,0,3.725290298461914e-09,0.3417342007160187,1.584307074546814,0.06839305907487869,0.0008451924919283486,0.008550435502034787,0.1446787842603401,RuntimeError('motion planning failed')
episode_48,38,1,mixed,396,True,True,0.0,0,3.725290298461914e-09,0.0013593942858278751,0.0020319849718362093,0.023344166576862335,0.0008451924919283486,0.008550435502034787,0.1446787842603401,
