phase,phase_code,phase_progress,global_bin,alpha_x,alpha_y,alpha_yaw,alpha_x_ci_low,alpha_x_ci_high,alpha_y_ci_low,alpha_y_ci_high,alpha_yaw_ci_low,alpha_yaw_ci_high,off_diagonal_fro
Align keyed,3,0.625,15,0.9538975857901377,1.0244909804971043,0.9513666798623324,0.7726885446328468,1.139546631079209,0.832542486095052,1.211579229025761,0.9438021188698423,0.9586470669270107,0.3470750015156674
Align keyed,3,0.6666666666666666,16,0.9801478915171101,1.044351349001448,0.9777434537999399,0.8632013280490686,1.0985540482212073,0.9085852387040858,1.1709734318626999,0.9724127948757625,0.9829463172835808,0.2571775688263992
Align keyed,3,0.7083333333333334,17,0.9909223052531899,1.0557423359541225,0.9921428050080192,0.9384312527595098,1.0473822740906658,0.9712674677283142,1.1362860862403317,0.9882714669012256,0.995799356239478,0.1951652393744914
Align keyed,3,0.75,18,0.9829546242831464,1.0609760784518079,0.9971834175420669,0.9567651238668522,1.0142759498535074,0.9798627817169484,1.1317212173225162,0.9929024848634548,1.000193582452165,0.14147105157099296
Align keyed,3,0.7916666666666666,19,0.9791897016677351,1.0587276615885937,0.9977726865261923,0.9554021626404569,1.0134084297295096,0.9779801792445733,1.132581818070855,0.9936131541658961,1.0007003941315016,0.1299396594615051
Align keyed,3,0.8333333333333334,20,0.9791549966947392,1.0484703108819158,0.997465904742394,0.9544145560646322,1.0149350834448707,0.977183620917596,1.1164039904115164,0.9935660664010011,1.0002980535668753,0.1140925653962453
Align keyed,3,0.875,21,0.9784908204944319,1.018977533940412,0.997616449192638,0.9462914009663213,1.0339718177380228,0.9692988372055963,1.0648262855138062,0.9951550354254999,0.9996034496692648,0.07882959026049625
Align keyed,3,0.9166666666666666,22,0.9935010162911138,1.0029944529118555,0.9993502816330025,0.972936072935376,1.0216051940919881,0.9678667358655451,1.030439413863612,0.9981990189172201,1.000313934056939,0.035420568574411226
Align keyed,3,0.9583333333333334,23,1.0005526871886723,1.0024534644882375,1.0004022894135332,0.9971109691958979,1.0054015812191688,0.9718979787692218,1.0247608229751577,0.9998200527214056,1.0010255815544273,0.0076408861967233845
Align keyed,3,1.0,24,1.000620508372024,1.000482349306543,0.9999918505165998,0.9980566505767514,1.004727301343911,0.9721404845564338,1.0209353943377064,0.9993678906367112,1.0004814735413061,0.026931842135218903
Enter key,4,0.0,25,1.0007425001017707,0.9998131739270517,1.0001280558591956,0.9978906021951129,1.0048831380839391,0.9750135404102687,1.0213136774082068,0.9995054062181896,1.0007278267844384,0.0045081897405040245
Enter key,4,0.041666666666666664,26,1.0004369096258356,0.9992509990198906,1.0000969158447248,0.9975922143083618,1.0041167481581266,0.975189661440319,1.0195549359741536,0.9994262052723341,1.0007289630747942,0.003480305377772193
Enter key,4,0.08333333333333333,27,0.998957437648785,0.9957792393384449,1.0000204397319734,0.996099971001047,1.0019754840260782,0.9750608491480172,1.0142982864934806,0.9992436357688027,1.0007797826729359,0.004381625390042831
Enter key,4,0.125,28,1.0019812177567835,0.9888299159270937,1.0000517329586454,0.9987066259294965,1.0064577770083205,0.9670872782767171,1.0093768780972185,0.9992221713453517,1.0008393567808884,0.007007097280274084
Enter key,4,0.16666666666666666,29,1.005472126168671,0.9836164807322331,1.0001342061847782,0.9996901895986426,1.0129822247293694,0.9578859558188423,1.0075369602604265,0.9994181048672759,1.0007956872307213,0.011385621276124643
Enter key,4,0.20833333333333334,30,1.0047456254583695,0.9822020065213157,1.0001643225950567,1.0002750869832815,1.0109654726257116,0.9544037614522172,1.0069920872840412,0.9995297166355644,1.0007152540329645,0.013217248921528474
Enter key,4,0.25,31,1.0033344363642154,0.982206381268556,1.000148058315565,1.000273250484459,1.008000822759167,0.9541180067176835,1.0070521343273187,0.9995326114076173,1.0006612956265026,0.014317056158833545
Enter key,4,0.2916666666666667,32,1.0038755369674888,0.9820002545540287,1.0001097883080545,1.0003370163856526,1.0087725981029216,0.9540794979899947,1.0067655720924131,0.9994216806938877,1.0006314755782373,0.01714426980764284
Enter key,4,0.3333333333333333,33,1.001305290321293,0.9839991792738877,1.0000097418434293,0.9979659371549476,1.0054470987461084,0.9595409553762502,1.0063109365137337,0.9992587026263212,1.0005772508590034,0.020878744941093524
Enter key,4,0.375,34,1.0031703905784608,0.9893429728696113,0.9999478569456812,1.0000994900813769,1.0073178172244215,0.9685429934055817,1.0057441801982079,0.9991405635681604,1.0005023565771096,0.023430477234834036
Enter key,4,0.4166666666666667,35,1.0040733950524765,0.9931234868036015,1.0000153871981468,0.999996600689811,1.0093330066080335,0.9675171627049663,1.0114932726154662,0.9992583550617673,1.000510168098331,0.02706665316184679
Enter key,4,0.4583333333333333,36,1.0033921871219458,0.9944478003797522,1.000037265301235,0.9999681648732494,1.0080174858808701,0.9667665160965023,1.0151146296704996,0.9993381888283558,1.0004524656291807,0.02862853264206139
Enter key,4,0.5,37,1.0023666035980245,0.9946439622720925,1.0000028900175586,0.9997850667038928,1.0060545025011782,0.9671072132309195,1.015096341277732,0.9993016922497137,1.0004307544497708,0.031089641910467813
Enter key,4,0.5416666666666666,38,1.0029602108302151,0.9940019816002297,1.0000110305800423,1.0002963296691414,1.006873683445854,0.9669927993073415,1.013797603735923,0.9992805048562747,1.000457697897328,0.028973940420863577
Enter key,4,0.5833333333333334,39,1.0000731134704053,0.9912104012732006,0.9999742618547074,0.996982743234859,1.0034424223572367,0.9677016381252548,1.0074927786338073,0.9992237965079435,1.000491945955891,0.02346406271516136
Enter key,4,0.625,40,1.0012933983523116,0.9853514285658648,0.999996302925945,0.998055526837855,1.0037073697182877,0.9642794664908143,1.0021690139901345,0.9991403004766922,1.0005477832757468,0.021872315950234318
Enter key,4,0.6666666666666666,41,1.001939057595292,0.9808997600553786,1.0001508896803781,0.9991593931866327,1.004572345114049,0.956182014430811,1.0018762929622675,0.9993289044555358,1.0007327470682406,0.02102278928832136
Enter key,4,0.7083333333333334,42,1.0015416198319698,0.9800075066154035,1.0002436229326217,0.9983211483488398,1.0045348578414977,0.9541172979337398,1.0024449172883085,0.9995301127023317,1.0008162665779237,0.01692600176398785
Enter key,4,0.75,43,1.000503624825482,0.9799577321925842,1.0002862375162862,0.9976325019625629,1.0026490587855472,0.9541016343663036,1.0024527050303862,0.9995794969006437,1.0009220396553882,0.012953840359153096
